ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2006,2006-10-01,4,25.364,SEA,@,CHI,L 6-37,,3,8,2.67,0,0,0,,0
2,2006,2006-10-15,5,26.013,SEA,@,STL,W 30-28,,0,0,,0,0,0,,0
3,2006,2006-10-22,6,26.020,SEA,,MIN,L 13-31,,0,0,,0,0,0,,0
4,2006,2006-10-29,7,26.027,SEA,@,KAN,L 28-35,,0,0,,0,0,0,,0
5,2006,2006-11-06,8,26.035,SEA,,OAK,W 16-0,,0,0,,0,0,0,,0
6,2006,2006-11-12,9,26.041,SEA,,STL,W 24-22,,0,0,,0,0,0,,0
7,2006,2006-12-10,13,26.069,SEA,@,ARI,L 21-27,,0,0,,0,0,0,,0
8,2006,2006-12-14,14,26.073,SEA,,SFO,L 14-24,,0,0,,0,1,3,3.00,0
9,2006,2006-12-24,15,26.083,SEA,,SDG,L 17-20,,0,0,,0,0,0,,0
10,2006,2006-12-31,16,26.090,SEA,@,TAM,W 23-7,,0,0,,0,0,0,,0
