ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-10-21,6,21.280,PHI,,CHI,L 16-19,,,,,,,,,,
2,2007,2007-11-11,9,21.301,PHI,@,WAS,W 33-25,*,,,,,,,,,
3,2007,2007-11-18,10,21.308,PHI,,MIA,W 17-7,,,,,,,,,,
4,2007,2007-12-16,14,21.336,PHI,@,DAL,W 10-6,,,,,,,,,,
5,2007,2007-12-23,15,21.343,PHI,@,NOR,W 38-23,,,,,,,,,,
6,2007,2007-12-30,16,21.350,PHI,,BUF,W 17-9,,,,,,,,,,
7,2008,2008-10-12,6,22.272,PHI,@,SFO,W 40-26,,,,,,,,,,
8,2008,2008-10-26,7,22.286,PHI,,ATL,W 27-14,,,,,,,,,,
9,2008,2008-11-02,8,22.293,PHI,@,SEA,W 26-7,,0,0,,0,0,0,0.0,1,0
10,2008,2008-11-09,9,22.300,PHI,,NYG,L 31-36,,0,0,,0,0,0,0.0,0,0
11,2008,2008-11-16,10,22.307,PHI,@,CIN,T 13-13,,0,0,,0,0,0,0.0,0,2
12,2008,2008-11-23,11,22.314,PHI,@,BAL,L 7-36,,1,3,3.00,0,0,0,1.0,2,1
13,2008,2008-11-27,12,22.318,PHI,,ARI,W 48-20,,0,0,,0,0,0,0.0,0,0
14,2008,2008-12-07,13,22.328,PHI,@,NYG,W 20-14,,0,0,,0,0,0,0.0,0,2
15,2008,2008-12-15,14,22.336,PHI,,CLE,W 30-10,,0,0,,0,0,0,0.0,1,0
16,2008,2008-12-21,15,22.342,PHI,@,WAS,L 3-10,,0,0,,0,0,0,1.0,1,1
17,2009,2009-09-13,1,23.242,PHI,@,CAR,W 38-10,*,0,0,,0,1,6,0.0,4,1
18,2009,2009-09-20,2,23.249,PHI,,NOR,L 22-48,*,0,0,,0,0,0,0.0,3,0
19,2009,2009-09-27,3,23.256,PHI,,KAN,W 34-14,*,0,0,,0,0,0,0.0,1,0
20,2009,2009-10-11,4,23.270,PHI,,TAM,W 33-14,*,0,0,,0,0,0,1.0,2,0
21,2009,2009-10-18,5,23.277,PHI,@,OAK,L 9-13,*,0,0,,0,0,0,0.0,1,0
22,2009,2009-11-15,9,23.305,PHI,@,SDG,L 23-31,,0,0,,0,0,0,0.5,0,1
23,2009,2009-11-22,10,23.312,PHI,@,CHI,W 24-20,,0,0,,0,0,0,0.0,2,0
24,2009,2009-11-29,11,23.319,PHI,,WAS,W 27-24,,,,,,,,,,
25,2009,2009-12-06,12,23.326,PHI,@,ATL,W 34-7,,,,,,,,,,
26,2009,2009-12-13,13,23.333,PHI,@,NYG,W 45-38,,0,0,,0,0,0,0.5,0,1
27,2009,2009-12-20,14,23.340,PHI,,SFO,W 27-13,,0,0,,0,0,0,0.0,0,0
28,2009,2009-12-27,15,23.347,PHI,,DEN,W 30-27,,0,0,,0,0,0,0.0,0,0
29,2009,2010-01-03,16,23.354,PHI,@,DAL,L 0-24,,,,,,,,,,
