ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1976,1976-09-13,1,22.006,MIA,@,BUF,W 30-21,0,0,,0,0,0,,0,2,50,25.00,0,0,0,,0,0,0
2,1976,1976-09-19,2,22.012,MIA,@,NWE,L 14-30,1,12,12.00,0,0,0,,0,1,29,29.00,0,0,0,,0,0,0
3,1976,1976-09-26,3,22.019,MIA,,NYJ,W 16-0,2,11,5.50,0,0,0,,0,1,33,33.00,0,0,0,,0,0,0
4,1976,1976-10-03,4,22.026,MIA,,RAM,L 28-31,0,0,,0,0,0,,0,4,103,25.75,0,0,0,,0,0,0
5,1976,1976-10-10,5,22.033,MIA,@,BAL,L 14-28,0,0,,0,0,0,,0,4,117,29.25,0,0,0,,0,0,0
6,1976,1976-10-17,6,22.040,MIA,,KAN,L 17-20,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0,0,0
7,1976,1976-10-24,7,22.047,MIA,@,TAM,W 23-20,,,,,,,,,,,,,,,,,,
8,1976,1976-10-31,8,22.054,MIA,,NWE,W 10-3,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
9,1976,1976-11-07,9,22.061,MIA,@,NYJ,W 27-7,5,32,6.40,1,1,2,2.00,0,1,29,29.00,0,0,0,,0,1,6
10,1976,1976-11-14,10,22.068,MIA,@,PIT,L 3-14,0,0,,0,0,0,,0,2,43,21.50,0,0,0,,0,0,0
11,1976,1976-11-22,11,22.076,MIA,,BAL,L 16-17,0,0,,0,0,0,,0,3,69,23.00,0,0,0,,0,0,0
12,1976,1976-11-28,12,22.082,MIA,@,CLE,L 13-17,0,0,,0,0,0,,0,3,48,16.00,0,0,0,,0,0,0
13,1976,1976-12-05,13,22.089,MIA,,BUF,W 45-27,7,79,11.29,0,1,6,6.00,0,1,26,26.00,0,0,0,,0,0,0
14,1976,1976-12-11,14,22.095,MIA,,MIN,L 7-29,15,20,1.33,0,0,0,,0,3,48,16.00,0,0,0,,0,0,0
15,1977,1977-09-18,1,23.011,MIA,@,BUF,W 13-0,6,12,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
16,1977,1977-09-25,2,23.018,MIA,@,SFO,W 19-15,13,45,3.46,0,1,6,6.00,0,1,25,25.00,0,0,0,,0,0,0
17,1977,1977-10-02,3,23.025,MIA,,HOU,W 27-7,6,8,1.33,0,0,0,,0,0,0,,0,0,0,,0,0,0
18,1977,1977-10-09,4,23.032,MIA,@,BAL,L 28-45,0,0,,0,0,0,,0,1,23,23.00,0,0,0,,0,0,0
19,1977,1977-10-16,5,23.039,MIA,,NYJ,W 21-17,0,0,,0,0,0,,0,1,24,24.00,0,0,0,,0,0,0
20,1977,1977-10-23,6,23.046,MIA,,SEA,W 31-13,1,0,0.00,0,0,0,,0,1,63,63.00,0,0,0,,0,0,0
21,1977,1977-10-30,7,23.053,MIA,,SDG,L 13-14,5,15,3.00,0,2,16,8.00,0,0,0,,0,0,0,,0,0,0
22,1977,1977-11-06,8,23.060,MIA,@,NYJ,W 14-10,13,44,3.38,0,1,6,6.00,0,1,23,23.00,0,0,0,,0,0,0
23,1977,1977-11-13,9,23.067,MIA,,NWE,W 17-5,10,31,3.10,1,3,27,9.00,0,2,84,42.00,0,0,0,,0,1,6
24,1977,1977-11-20,10,23.074,MIA,@,CIN,L 17-23,8,38,4.75,0,0,0,,0,4,95,23.75,0,0,0,,0,0,0
25,1977,1977-11-24,11,23.078,MIA,@,STL,W 55-14,20,104,5.20,0,3,62,20.67,1,1,25,25.00,0,1,11,11.00,0,1,6
26,1977,1977-12-05,12,23.089,MIA,,BAL,W 17-6,12,56,4.67,0,1,12,12.00,0,2,52,26.00,0,0,0,,0,0,0
27,1977,1977-12-11,13,23.095,MIA,@,NWE,L 10-14,6,8,1.33,0,1,6,6.00,0,0,0,,0,0,0,,0,0,0
28,1977,1977-12-17,14,23.101,MIA,,BUF,W 31-14,26,172,6.62,1,2,16,8.00,0,0,0,,0,0,0,,0,1,6
29,1978,1978-09-03,1,23.361,MIA,@,NYJ,L 20-33,4,2,0.50,0,1,9,9.00,0,5,104,20.80,0,0,0,,0,0,0
30,1978,1978-09-10,2,24.003,MIA,@,BAL,W 42-0,8,48,6.00,1,4,29,7.25,0,0,0,,0,0,0,,0,1,6
31,1978,1978-09-17,3,24.010,MIA,,BUF,W 31-24,3,89,29.67,1,0,0,,0,2,40,20.00,0,0,0,,0,1,6
32,1978,1978-09-24,4,24.017,MIA,@,PHI,L 3-17,0,0,,0,1,17,17.00,0,0,0,,0,0,0,,0,0,0
33,1978,1978-10-01,5,24.024,MIA,,STL,W 24-10,5,12,2.40,0,2,14,7.00,0,1,27,27.00,0,0,0,,0,0,0
34,1978,1978-10-09,6,24.032,MIA,,CIN,W 21-0,4,27,6.75,0,1,34,34.00,0,0,0,,0,0,0,,0,0,0
35,1978,1978-10-29,9,24.052,MIA,,BAL,W 26-8,,,,,,,,,,,,,,,,,,
36,1978,1978-11-05,10,24.059,MIA,,DAL,W 23-16,2,6,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
37,1978,1978-11-12,11,24.066,MIA,@,BUF,W 25-24,3,7,2.33,0,1,5,5.00,0,3,53,17.67,0,1,25,25.00,0,0,0
38,1978,1978-11-20,12,24.074,MIA,@,HOU,L 30-35,0,0,,0,1,9,9.00,0,2,27,13.50,0,0,0,,0,0,0
39,1978,1978-11-26,13,24.080,MIA,,NYJ,L 13-24,2,14,7.00,0,7,57,8.14,0,0,0,,0,0,0,,0,0,0
40,1978,1978-12-03,14,24.087,MIA,@,WAS,W 16-0,4,10,2.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
41,1978,1978-12-10,15,24.094,MIA,,OAK,W 23-6,14,49,3.50,0,4,38,9.50,0,0,0,,0,0,0,,0,0,0
42,1978,1978-12-18,16,24.102,MIA,,NWE,W 23-3,13,49,3.77,1,2,6,3.00,0,0,0,,0,1,11,11.00,0,1,6
43,1979,1979-09-02,1,24.360,MIA,@,BUF,W 9-7,7,36,5.14,0,1,14,14.00,0,0,0,,0,0,0,,0,0,0
44,1979,1979-09-09,2,25.002,MIA,,SEA,W 19-10,3,20,6.67,0,0,0,,0,0,0,,0,0,0,,0,0,0
45,1979,1979-09-16,3,25.009,MIA,@,MIN,W 27-12,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
46,1979,1979-09-23,4,25.016,MIA,,CHI,W 31-16,4,21,5.25,0,2,14,7.00,0,0,0,,0,0,0,,0,0,0
47,1979,1979-09-30,5,25.023,MIA,@,NYJ,L 27-33,0,0,,0,3,20,6.67,0,0,0,,0,0,0,,0,0,0
48,1979,1979-10-08,6,25.031,MIA,@,OAK,L 3-13,1,-1,-1.00,0,1,7,7.00,0,0,0,,0,0,0,,0,0,0
49,1979,1979-10-14,7,25.037,MIA,,BUF,W 17-7,4,48,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
50,1979,1979-10-21,8,25.044,MIA,@,NWE,L 13-28,2,4,2.00,0,3,19,6.33,0,1,16,16.00,0,0,0,,0,0,0
51,1979,1979-10-28,9,25.051,MIA,,GNB,W 27-7,14,75,5.36,0,2,21,10.50,0,0,0,,0,0,0,,0,0,0
52,1979,1979-11-05,10,25.059,MIA,,HOU,L 6-9,16,51,3.19,0,8,58,7.25,0,0,0,,0,0,0,,0,0,0
53,1979,1979-11-11,11,25.065,MIA,,BAL,W 19-0,15,67,4.47,0,3,7,2.33,0,0,0,,0,0,0,,0,0,0
54,1979,1979-11-18,12,25.072,MIA,@,CLE,L 24-30,7,9,1.29,0,4,8,2.00,0,0,0,,0,0,0,,0,0,0
55,1979,1979-11-25,13,25.079,MIA,@,BAL,W 28-24,2,2,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
56,1979,1979-11-29,14,25.083,MIA,,NWE,W 39-24,8,26,3.25,0,1,3,3.00,0,0,0,,0,0,0,,0,0,0
57,1979,1979-12-09,15,25.093,MIA,@,DET,W 28-10,7,10,1.43,1,2,11,5.50,0,1,11,11.00,0,0,0,,0,1,6
58,1979,1979-12-15,16,25.099,MIA,,NYJ,L 24-27,7,10,1.43,0,4,33,8.25,0,0,0,,0,0,0,,0,0,0
59,1980,1980-09-11,2,26.004,TAM,,RAM,W 10-9,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0,0,0
60,1980,1980-09-21,3,26.014,TAM,@,DAL,L 17-28,0,0,,0,0,0,,0,3,82,27.33,0,0,0,,0,0,0
61,1980,1980-09-28,4,26.021,TAM,,CLE,L 27-34,0,0,,0,4,45,11.25,0,5,92,18.40,0,0,0,,0,0,0
62,1980,1980-10-06,5,26.029,TAM,@,CHI,L 0-23,1,2,2.00,0,2,11,5.50,0,3,100,33.33,0,0,0,,0,0,0
63,1980,1980-10-12,6,26.035,TAM,,GNB,T 14-14,0,0,,0,0,0,,0,3,51,17.00,0,0,0,,0,0,0
64,1980,1980-10-19,7,26.042,TAM,@,HOU,L 14-20,0,0,,0,0,0,,0,4,60,15.00,0,0,0,,0,0,0
65,1980,1980-10-26,8,26.049,TAM,@,SFO,W 24-23,0,0,,0,0,0,,0,4,109,27.25,0,0,0,,0,0,0
66,1980,1980-11-02,9,26.056,TAM,,NYG,W 30-13,0,0,,0,0,0,,0,2,55,27.50,0,0,0,,0,0,0
67,1980,1980-11-09,10,26.063,TAM,,PIT,L 21-24,0,0,,0,0,0,,0,4,76,19.00,0,0,0,,0,0,0
68,1980,1980-11-16,11,26.070,TAM,@,MIN,L 30-38,2,14,7.00,0,0,0,,0,4,89,22.25,0,0,0,,0,0,0
69,1980,1980-11-23,12,26.077,TAM,,DET,L 10-24,1,1,1.00,0,2,12,6.00,0,2,43,21.50,0,0,0,,0,0,0
70,1980,1980-11-30,13,26.084,TAM,@,GNB,W 20-17,2,4,2.00,0,1,11,11.00,0,2,32,16.00,0,0,0,,0,0,0
71,1980,1980-12-07,14,26.091,TAM,,MIN,L 10-21,0,0,,0,0,0,,0,1,13,13.00,0,0,0,,0,0,0
72,1980,1980-12-14,15,26.098,TAM,@,DET,L 14-27,1,0,0.00,0,0,0,,0,3,47,15.67,0,0,0,,0,0,0
73,1980,1980-12-20,16,26.104,TAM,,CHI,L 13-14,0,0,,0,0,0,,0,3,80,26.67,0,0,0,,0,0,0
74,1981,1981-09-05,1,26.363,TAM,,MIN,W 21-13,0,0,,0,0,0,,0,2,38,19.00,0,0,0,,0,0,0
75,1981,1981-09-13,2,27.006,TAM,@,KAN,L 10-19,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0,0,0
76,1981,1981-09-20,3,27.013,TAM,@,CHI,L 17-28,0,0,,0,0,0,,0,1,12,12.00,0,0,0,,0,0,0
77,1981,1981-09-27,4,27.020,TAM,,STL,W 20-10,,,,,,,,,0,0,,0,,,,,,
78,1981,1981-10-04,5,27.027,TAM,,DET,W 28-10,,,,,,,,,0,0,,0,,,,,,
79,1981,1981-10-11,6,27.034,TAM,@,GNB,W 21-10,,,,,,,,,0,0,,0,,,,,,
80,1981,1981-10-18,7,27.041,TAM,@,OAK,L 16-18,0,0,,0,0,0,,0,1,10,10.00,0,0,0,,0,0,0
