ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1993,1993-11-14,9,26.217,SDG,,CHI,L 13-16,,,,,,0.0%,,,,,,,,,,,
2,1994,1994-09-04,1,27.146,SDG,@,DEN,W 37-34,7,1,29,29.00,1,14.3%,4.14,0,0,,0,0,0,,0,1,6
3,1994,1994-09-11,2,27.153,SDG,,CIN,W 27-10,11,8,119,14.88,2,72.7%,10.82,0,0,,0,0,0,,0,2,12
4,1994,1994-09-18,3,27.160,SDG,@,SEA,W 24-10,3,0,0,,0,0.0%,0.00,,,,,,,,,,
5,1994,1994-09-25,4,27.167,SDG,@,RAI,W 26-24,7,5,59,11.80,0,71.4%,8.43,0,0,,0,0,0,,0,0,0
6,1994,1994-10-09,5,27.181,SDG,,KAN,W 20-6,7,6,38,6.33,1,85.7%,5.43,0,0,,0,0,0,,0,1,6
7,1994,1994-10-16,6,27.188,SDG,@,NOR,W 36-22,2,0,0,,0,0.0%,0.00,,,,,,,,,,
8,1994,1994-10-23,7,27.195,SDG,,DEN,L 15-20,5,1,8,8.00,0,20.0%,1.60,0,0,,0,0,0,,0,0,0
9,1994,1994-10-30,8,27.202,SDG,,SEA,W 35-15,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0
10,1994,1994-11-06,9,27.209,SDG,@,ATL,L 9-10,11,6,65,10.83,0,54.5%,5.91,0,0,,0,0,0,,0,0,0
11,1994,1994-11-13,10,27.216,SDG,@,KAN,W 14-13,7,4,49,12.25,0,57.1%,7.00,0,0,,0,0,0,,0,0,0
12,1994,1994-11-20,11,27.223,SDG,@,NWE,L 17-23,5,4,48,12.00,0,80.0%,9.60,0,0,,0,0,0,,0,0,0
13,1994,1994-11-27,12,27.230,SDG,,RAM,W 31-17,7,4,42,10.50,0,57.1%,6.00,0,0,,0,0,0,,0,0,0
14,1994,1994-12-05,13,27.238,SDG,,RAI,L 17-24,8,4,61,15.25,0,50.0%,7.63,0,0,,0,0,0,,0,0,0
