ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1964,1964-11-01,8,25.047,HOU,@,BUF,L 10-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,96,32.00,0,0,0,,0,0,0,0,0,,0
2,1964,1964-11-06,9,25.052,HOU,@,BOS,L 24-25,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,83,27.67,0,0,0,,0,0,0,0,0,,0
3,1964,1964-11-15,10,25.061,HOU,@,OAK,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,26,13.00,0,0,0,,0,0,0,0,0,,0
4,1964,1964-11-22,11,25.068,HOU,,KAN,L 19-28,3,8,2.67,0,1,13,13.00,0,0,0,,0,0,0,,0,0,,,4,105,26.25,0,0,0,,0,0,0,0,0,,0
5,1964,1964-11-29,12,25.075,HOU,,BOS,L 17-34,1,5,5.00,0,2,36,18.00,0,0,0,,0,0,0,,0,0,,,3,114,38.00,1,0,0,,0,1,6,0,0,,0
6,1964,1964-12-13,13,25.089,HOU,,NYJ,W 33-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,22,11.00,0,0,0,,0,0,0,0,0,,0
7,1964,1964-12-20,14,25.096,HOU,,DEN,W 34-15,4,-3,-0.75,0,2,24,12.00,0,0,0,,0,0,0,,0,0,,,1,3,3.00,0,0,0,,0,0,0,0,0,,0
8,1965,1965-09-12,1,25.362,HOU,,NYJ,W 27-21,15,54,3.60,0,3,18,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
9,1965,1965-09-19,2,26.004,HOU,,BOS,W 31-10,11,83,7.55,1,3,19,6.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
10,1965,1965-09-26,3,26.011,HOU,@,OAK,L 17-21,13,37,2.85,0,2,68,34.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
11,1965,1965-10-03,4,26.018,HOU,@,SDG,L 14-31,9,30,3.33,0,4,54,13.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
12,1965,1965-10-17,5,26.032,HOU,@,DEN,L 17-28,1,-6,-6.00,0,3,18,6.00,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,0,0,,0,0,0,0,0,,0
13,1965,1965-10-24,6,26.039,HOU,,KAN,W 38-36,10,44,4.40,0,5,82,16.40,1,0,0,,0,0,0,,0,0,,,1,32,32.00,0,0,0,,0,1,6,0,0,,0
14,1965,1965-10-31,7,26.046,HOU,@,BUF,W 19-17,10,72,7.20,0,5,66,13.20,1,0,0,,0,0,0,,0,0,,,1,30,30.00,0,0,0,,0,1,6,0,0,,0
15,1965,1965-11-07,8,26.053,HOU,,OAK,L 21-33,8,14,1.75,0,7,88,12.57,0,0,0,,0,0,0,,0,0,,,2,39,19.50,0,1,33,33.00,0,0,0,0,0,,0
16,1965,1965-11-14,9,26.060,HOU,,DEN,L 21-31,7,33,4.71,0,4,29,7.25,1,0,0,,0,0,0,,0,0,,,1,24,24.00,0,0,0,,0,1,6,0,0,,0
17,1965,1965-11-21,10,26.067,HOU,@,NYJ,L 14-41,4,-1,-0.25,0,3,26,8.67,0,0,0,,0,0,0,,0,0,,,1,13,13.00,0,0,0,,0,0,0,0,0,,0
18,1965,1965-11-28,11,26.074,HOU,@,KAN,L 21-52,14,112,8.00,2,4,57,14.25,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0,0,,0
19,1965,1965-12-05,12,26.081,HOU,,BUF,L 18-29,12,45,3.75,0,3,25,8.33,0,0,0,,0,0,0,,0,0,,,1,38,38.00,0,0,0,,0,0,0,0,0,,0
20,1965,1965-12-12,13,26.088,HOU,,SDG,L 26-37,10,13,1.30,0,4,42,10.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,0,0,0,0,,0
21,1965,1965-12-18,14,26.094,HOU,@,BOS,L 14-42,6,-2,-0.33,0,5,58,11.60,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,0,0,,0
22,1966,1966-09-03,1,26.353,HOU,,DEN,W 45-7,17,81,4.76,0,2,18,9.00,0,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,1,4,4.00,0,0,0,0,0,,0
23,1966,1966-09-10,2,26.360,HOU,,OAK,W 31-0,9,20,2.22,0,4,63,15.75,2,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0,0,,0
24,1966,1966-09-18,3,27.003,HOU,@,NYJ,L 13-52,11,20,1.82,0,3,24,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
25,1966,1966-09-25,4,27.010,HOU,@,BUF,L 20-27,8,3,0.38,0,3,44,14.67,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
26,1966,1966-10-02,5,27.017,HOU,@,DEN,L 38-40,4,5,1.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
27,1966,1966-10-16,6,27.031,HOU,,NYJ,W 24-0,11,36,3.27,0,3,55,18.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
28,1966,1966-10-23,7,27.038,HOU,,MIA,L 13-20,7,51,7.29,0,4,32,8.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,1,6,0,0,,0
29,1966,1966-10-30,8,27.045,HOU,@,KAN,L 23-48,14,49,3.50,0,5,43,8.60,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,11,11.00,0,1,6,0,0,,0
30,1966,1966-11-06,9,27.052,HOU,@,OAK,L 23-38,8,12,1.50,0,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0,0,,0
31,1966,1966-11-13,10,27.059,HOU,@,BOS,L 21-27,6,28,4.67,0,2,17,8.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
32,1966,1966-11-20,11,27.066,HOU,,BUF,L 20-42,4,13,3.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,24,12.00,0,0,0,0,0,,0
33,1966,1966-12-04,12,27.080,HOU,,SDG,L 22-28,11,40,3.64,0,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,0,0,0,0,,0
34,1966,1966-12-11,13,27.087,HOU,,BOS,L 14-38,3,3,1.00,0,2,22,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
35,1966,1966-12-18,14,27.094,HOU,@,MIA,L 28-29,9,45,5.00,0,3,73,24.33,0,0,0,,0,0,0,,0,0,,,1,16,16.00,0,1,29,29.00,0,0,0,0,0,,0
36,1967,1967-09-24,3,28.009,HOU,@,SDG,L 3-13,1,2,2.00,0,1,14,14.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
37,1967,1967-10-15,5,28.030,HOU,@,NYJ,T 28-28,1,-5,-5.00,0,1,14,14.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
38,1967,1967-10-29,7,28.044,HOU,,BUF,W 10-3,0,0,,0,3,41,13.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
39,1967,1967-11-12,9,28.058,HOU,@,DEN,W 20-18,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
40,1967,1967-11-26,10,28.072,HOU,,BOS,W 27-6,0,0,,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
41,1967,1967-12-03,11,28.079,HOU,,MIA,W 17-14,0,0,,0,1,18,18.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
42,1967,1967-12-16,13,28.092,HOU,,SDG,W 24-17,0,0,,0,5,97,19.40,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
43,1968,1968-09-09,1,28.360,HOU,,KAN,L 21-26,0,0,,0,2,35,17.50,0,0,0,,0,0,0,,0,0,,,2,70,35.00,0,2,26,13.00,0,0,0,0,0,,0
44,1969,1969-09-21,2,30.006,HOU,@,BUF,W 17-3,4,17,4.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,0,0,0,0,,0
45,1969,1969-10-26,7,30.041,HOU,,DEN,W 24-21,11,39,3.55,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
46,1969,1969-11-02,8,30.048,HOU,@,BOS,L 0-24,1,11,11.00,0,3,12,4.00,0,0,0,,0,0,0,,0,0,,,2,29,14.50,0,0,0,,0,0,0,7,238,34.00,0
47,1969,1969-11-09,9,30.055,HOU,,CIN,T 31-31,9,42,4.67,0,1,8,8.00,0,0,0,,0,0,0,,0,0,,,1,32,32.00,0,0,0,,0,0,0,3,130,43.33,0
48,1969,1969-11-16,10,30.062,HOU,@,DEN,T 20-20,10,38,3.80,0,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,5,182,36.40,0
49,1969,1969-11-23,11,30.069,HOU,@,MIA,W 32-7,6,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,112,37.33,0
50,1969,1969-11-27,12,30.073,HOU,,SDG,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,0,0,,0,0,0,6,221,36.83,0
51,1969,1969-12-06,13,30.082,HOU,,NYJ,L 26-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,108,36.00,0
52,1969,1969-12-14,14,30.090,HOU,,BOS,W 27-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,0,0,,0,0,0,2,75,37.50,0
