ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1991,1991-09-01,1,22.025,IND,,NWE,L 7-16,,0,0,,0,,,,,,,,
2,1991,1991-09-08,2,22.032,IND,@,MIA,L 6-17,,0,0,,0,,,,,,,,
3,1991,1991-09-15,3,22.039,IND,@,RAI,L 0-16,,0,0,,0,,,,,,,,
4,1991,1991-09-22,4,22.046,IND,,DET,L 24-33,,1,18,18.00,0,,,0,0,,0,0,0
5,1992,1992-09-06,1,23.030,IND,,CLE,W 14-3,2,0,0,,0,0.0%,0.00,,,,,,
6,1992,1992-09-13,2,23.037,IND,,HOU,L 10-20,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0
7,1992,1992-09-20,3,23.044,IND,@,BUF,L 0-38,5,3,37,12.33,0,60.0%,7.40,0,0,,0,0,0
8,1992,1992-10-04,4,23.058,IND,@,TAM,W 24-14,2,1,14,14.00,1,50.0%,7.00,0,0,,0,1,6
9,1992,1992-10-11,5,23.065,IND,,NYJ,W 6-3,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0
10,1992,1992-10-18,6,23.072,IND,,SDG,L 14-34,5,2,55,27.50,0,40.0%,11.00,0,0,,0,0,0
11,1992,1992-10-25,7,23.079,IND,@,MIA,W 31-20,6,6,66,11.00,0,100.0%,11.00,0,0,,0,0,0
12,1992,1992-11-01,8,23.086,IND,@,SDG,L 0-26,5,1,10,10.00,0,20.0%,2.00,0,0,,0,0,0
13,1992,1992-11-08,9,23.093,IND,,MIA,L 0-28,6,4,24,6.00,0,66.7%,4.00,0,0,,0,0,0
14,1992,1992-11-15,10,23.100,IND,,NWE,L 34-37,3,1,23,23.00,1,33.3%,7.67,0,0,,0,1,6
15,1992,1992-11-22,11,23.107,IND,@,PIT,L 14-30,6,1,22,22.00,0,16.7%,3.67,0,0,,0,0,0
16,1992,1992-11-29,12,23.114,IND,,BUF,W 16-13,3,2,42,21.00,0,66.7%,14.00,0,0,,0,0,0
17,1992,1992-12-06,13,23.121,IND,@,NWE,W 6-0,8,7,65,9.29,0,87.5%,8.13,0,0,,0,0,0
18,1992,1992-12-13,14,23.128,IND,@,NYJ,W 10-6,12,7,104,14.86,0,58.3%,8.67,0,0,,0,0,0
19,1992,1992-12-20,15,23.135,IND,,PHO,W 16-13,5,2,14,7.00,0,40.0%,2.80,0,0,,0,0,0
20,1992,1992-12-27,16,23.142,IND,@,CIN,W 21-17,4,3,18,6.00,1,75.0%,4.50,0,0,,0,1,6
21,1993,1993-09-05,1,24.029,IND,,MIA,L 20-24,8,5,29,5.80,0,62.5%,3.63,0,0,,0,0,0
22,1993,1993-09-12,2,24.036,IND,@,CIN,W 9-6,11,7,54,7.71,0,63.6%,4.91,0,0,,0,0,0
23,1993,1993-09-26,3,24.050,IND,,CLE,W 23-10,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0
24,1993,1993-10-03,4,24.057,IND,@,DEN,L 13-35,4,4,62,15.50,1,100.0%,15.50,0,0,,0,1,6
25,1993,1993-10-10,5,24.064,IND,,DAL,L 3-27,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0
26,1993,1993-10-24,6,24.078,IND,@,MIA,L 27-41,9,4,43,10.75,0,44.4%,4.78,0,0,,0,0,0
27,1993,1993-10-31,7,24.085,IND,,NWE,W 9-6,9,5,62,12.40,0,55.6%,6.89,0,0,,0,0,0
28,1993,1993-11-07,8,24.092,IND,@,WAS,L 24-30,4,2,10,5.00,1,50.0%,2.50,0,0,,0,1,6
29,1993,1993-11-14,9,24.099,IND,,NYJ,L 17-31,5,3,12,4.00,1,60.0%,2.40,0,0,,0,1,6
30,1993,1993-11-21,10,24.106,IND,@,BUF,L 9-23,5,3,45,15.00,0,60.0%,9.00,0,0,,0,0,0
31,1993,1993-11-29,11,24.114,IND,,SDG,L 0-31,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0
32,1993,1993-12-05,12,24.120,IND,@,NYJ,W 9-6,,0,0,,0,0.0%,,1,11,11.00,0,0,0
33,1993,1993-12-12,13,24.127,IND,@,NYG,L 6-20,,0,0,,0,0.0%,,0,0,,0,,
34,1993,1993-12-19,14,24.134,IND,,PHI,L 10-20,7,3,31,10.33,0,42.9%,4.43,0,0,,0,0,0
35,1993,1993-12-26,15,24.141,IND,@,NWE,L 0-38,4,1,7,7.00,0,25.0%,1.75,0,0,,0,0,0
36,1993,1994-01-02,16,24.148,IND,,BUF,L 10-30,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0
37,1994,1994-09-04,1,25.028,IND,,HOU,W 45-21,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0
38,1994,1994-09-11,2,25.035,IND,@,TAM,L 10-24,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0
39,1994,1994-09-18,3,25.042,IND,@,PIT,L 21-31,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0
40,1994,1994-09-25,4,25.049,IND,,CLE,L 14-21,2,2,42,21.00,0,100.0%,21.00,0,0,,0,0,0
41,1994,1994-10-02,5,25.056,IND,,SEA,W 17-15,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
42,1994,1994-10-09,6,25.063,IND,@,NYJ,L 6-16,1,0,0,,0,0.0%,0.00,,,,,,
43,1994,1994-10-16,7,25.070,IND,@,BUF,W 27-17,3,2,16,8.00,1,66.7%,5.33,0,0,,0,1,6
44,1994,1994-10-23,8,25.077,IND,,WAS,L 27-41,3,1,24,24.00,0,33.3%,8.00,0,0,,0,0,0
45,1994,1994-10-30,9,25.084,IND,,NYJ,W 28-25,3,1,18,18.00,0,33.3%,6.00,0,0,,0,0,0
46,1994,1994-11-06,10,25.091,IND,@,MIA,L 21-22,,0,0,,0,0.0%,,,,,,,
47,1994,1994-11-20,11,25.105,IND,@,CIN,W 17-13,1,0,0,,0,0.0%,0.00,,,,,,
48,1994,1994-11-27,12,25.112,IND,,NWE,L 10-12,,0,0,,0,0.0%,,,,,,,
49,1994,1994-12-04,13,25.119,IND,@,SEA,W 31-19,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0
50,1994,1994-12-11,14,25.126,IND,@,NWE,L 13-28,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0
51,1994,1994-12-18,15,25.133,IND,,MIA,W 10-6,2,0,0,,0,0.0%,0.00,,,,,,
52,1994,1994-12-24,16,25.139,IND,,BUF,W 10-9,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
53,1995,1995-09-03,1,26.027,OAK,,SDG,W 17-7,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0
54,1995,1995-09-10,2,26.034,OAK,@,WAS,W 20-8,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0
55,1995,1995-09-17,3,26.041,OAK,@,KAN,L 17-23,4,3,49,16.33,0,75.0%,12.25,0,0,,0,0,0
56,1995,1995-09-24,4,26.048,OAK,,PHI,W 48-17,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0
57,1995,1995-10-01,5,26.055,OAK,@,NYJ,W 47-10,1,0,0,,0,0.0%,0.00,,,,,,
58,1995,1995-10-08,6,26.062,OAK,,SEA,W 34-14,3,2,28,14.00,1,66.7%,9.33,0,0,,0,1,6
59,1995,1995-10-16,7,26.070,OAK,@,DEN,L 0-27,1,0,0,,0,0.0%,0.00,,,,,,
60,1995,1995-10-22,8,26.076,OAK,,IND,W 30-17,1,0,0,,0,0.0%,0.00,,,,,,
61,1995,1995-11-05,9,26.090,OAK,@,CIN,W 20-17,3,2,31,15.50,0,66.7%,10.33,0,0,,0,0,0
62,1995,1995-11-12,10,26.097,OAK,@,NYG,W 17-13,,0,0,,0,0.0%,,,,,,,
63,1995,1995-11-19,11,26.104,OAK,,DAL,L 21-34,5,3,34,11.33,1,60.0%,6.80,0,0,,0,1,6
64,1995,1995-11-27,12,26.112,OAK,@,SDG,L 6-12,1,0,0,,0,0.0%,0.00,,,,,,
65,1995,1995-12-03,13,26.118,OAK,,KAN,L 23-29,5,4,38,9.50,0,80.0%,7.60,0,0,,0,0,0
66,1995,1995-12-10,14,26.125,OAK,,PIT,L 10-29,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0
67,1995,1995-12-17,15,26.132,OAK,@,SEA,L 10-44,4,3,10,3.33,0,75.0%,2.50,0,0,,0,0,0
68,1995,1995-12-24,16,26.139,OAK,,DEN,L 28-31,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
