ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1978,1978-09-03,1,30.190,KAN,@,CIN,W 24-23,1,0,0.00,0,5,181,36.20,1
2,1978,1978-09-10,2,30.197,KAN,,HOU,L 17-20,0,0,,0,3,134,44.67,0
3,1978,1978-09-17,3,30.204,KAN,@,NYG,L 10-26,0,0,,0,7,250,35.71,0
4,1978,1978-09-24,4,30.211,KAN,,DEN,L 17-23,0,0,,0,4,197,49.25,0
5,1978,1978-10-01,5,30.218,KAN,@,BUF,L 13-28,0,0,,0,5,189,37.80,0
6,1978,1978-10-08,6,30.225,KAN,,TAM,L 13-30,0,0,,0,6,290,48.33,0
7,1978,1978-10-15,7,30.232,KAN,@,OAK,L 6-28,0,0,,0,7,273,39.00,0
8,1978,1978-10-22,8,30.239,KAN,,CLE,W 17-3,0,0,,0,7,306,43.71,0
9,1978,1978-10-29,9,30.246,KAN,@,PIT,L 24-27,0,0,,0,4,155,38.75,0
10,1978,1978-11-05,10,30.253,KAN,,OAK,L 10-20,0,0,,0,5,264,52.80,0
11,1978,1978-11-12,11,30.260,KAN,@,SDG,L 23-29,0,0,,0,5,191,38.20,0
12,1978,1978-11-19,12,30.267,KAN,,SEA,L 10-13,0,0,,0,5,201,40.20,0
13,1978,1978-11-26,13,30.274,KAN,,SDG,W 23-0,0,0,,0,4,142,35.50,0
14,1978,1978-12-03,14,30.281,KAN,,BUF,W 14-10,0,0,,0,2,54,27.00,0
15,1978,1978-12-10,15,30.288,KAN,@,DEN,L 3-24,0,0,,0,6,245,40.83,0
16,1978,1978-12-17,16,30.295,KAN,@,SEA,L 19-23,0,0,,0,4,175,43.75,0
