ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,1999,1999-09-12,1,21.042,IND,,BUF,W 31-14,*,26,112,4.31,1,4,4,14,3.50,0,100.0%,3.50,,1,6
2,1999,1999-09-19,2,21.049,IND,@,NWE,L 28-31,*,32,118,3.69,1,2,1,9,9.00,0,50.0%,4.50,,1,6
3,1999,1999-09-26,3,21.056,IND,@,SDG,W 27-19,*,17,46,2.71,0,8,3,36,12.00,0,37.5%,4.50,,0,0
4,1999,1999-10-10,4,21.070,IND,,MIA,L 31-34,*,22,81,3.68,0,2,2,1,0.50,0,100.0%,0.50,,0,0
5,1999,1999-10-17,5,21.077,IND,@,NYJ,W 16-13,*,26,111,4.27,0,0,4,20,5.00,0,,,,0,0
6,1999,1999-10-24,6,21.084,IND,,CIN,W 31-10,*,26,52,2.00,2,4,1,33,33.00,0,25.0%,8.25,,2,12
7,1999,1999-10-31,7,21.091,IND,,DAL,W 34-24,*,27,117,4.33,1,12,7,92,13.14,0,58.3%,7.67,,1,6
8,1999,1999-11-07,8,21.098,IND,,KAN,W 25-17,*,20,109,5.45,0,8,7,90,12.86,1,87.5%,11.25,,1,6
9,1999,1999-11-14,9,21.105,IND,@,NYG,W 27-19,*,16,108,6.75,0,5,5,72,14.40,0,100.0%,14.40,,0,0
10,1999,1999-11-21,10,21.112,IND,@,PHI,W 44-17,*,22,152,6.91,2,6,5,47,9.40,1,83.3%,7.83,,3,18
11,1999,1999-11-28,11,21.119,IND,,NYJ,W 13-6,*,24,74,3.08,0,8,7,53,7.57,0,87.5%,6.63,,0,0
12,1999,1999-12-05,12,21.126,IND,@,MIA,W 37-34,*,23,130,5.65,2,3,3,1,0.33,0,100.0%,0.33,,2,12
13,1999,1999-12-12,13,21.133,IND,,NWE,W 20-15,*,20,101,5.05,0,5,2,8,4.00,1,40.0%,1.60,,1,6
14,1999,1999-12-19,14,21.140,IND,,WAS,W 24-21,*,22,89,4.05,1,5,4,59,14.75,1,80.0%,11.80,,2,12
15,1999,1999-12-26,15,21.147,IND,@,CLE,W 29-28,*,28,103,3.68,3,4,3,18,6.00,0,75.0%,4.50,,3,18
16,1999,2000-01-02,16,21.154,IND,@,BUF,L 6-31,*,18,50,2.78,0,6,4,33,8.25,0,66.7%,5.50,,0,0
17,2000,2000-09-03,1,22.033,IND,@,KAN,W 27-14,,28,124,4.43,1,7,6,40,6.67,1,85.7%,5.71,,2,12
18,2000,2000-09-10,2,22.040,IND,,OAK,L 31-38,*,18,91,5.06,1,7,6,36,6.00,1,85.7%,5.14,,2,12
19,2000,2000-09-25,3,22.055,IND,,JAX,W 43-14,*,22,89,4.05,1,4,2,65,32.50,0,50.0%,16.25,,1,6
20,2000,2000-10-01,4,22.061,IND,@,BUF,W 18-16,*,19,60,3.16,0,5,4,43,10.75,0,80.0%,8.60,,0,0
21,2000,2000-10-08,5,22.068,IND,@,NWE,L 16-24,*,24,75,3.13,0,8,3,34,11.33,0,37.5%,4.25,,0,0
22,2000,2000-10-15,6,22.075,IND,@,SEA,W 37-24,*,38,219,5.76,3,1,1,9,9.00,0,100.0%,9.00,,3,18
23,2000,2000-10-22,7,22.082,IND,,NWE,W 30-23,,20,124,6.20,1,3,2,5,2.50,1,66.7%,1.67,,2,12
24,2000,2000-10-29,8,22.089,IND,,DET,W 30-18,*,31,139,4.48,1,3,2,24,12.00,0,66.7%,8.00,,1,6
25,2000,2000-11-05,9,22.096,IND,@,CHI,L 24-27,*,17,68,4.00,1,5,4,49,12.25,1,80.0%,9.80,,2,12
26,2000,2000-11-12,10,22.103,IND,,NYJ,W 23-15,*,31,131,4.23,1,7,5,24,4.80,0,71.4%,3.43,,1,6
27,2000,2000-11-19,11,22.110,IND,@,GNB,L 24-26,,17,71,4.18,0,8,7,66,9.43,0,87.5%,8.25,,0,0
28,2000,2000-11-26,12,22.117,IND,,MIA,L 14-17,,26,118,4.54,0,7,5,37,7.40,0,71.4%,5.29,,0,0
29,2000,2000-12-03,13,22.124,IND,@,NYJ,L 17-27,*,11,49,4.45,0,5,3,31,10.33,0,60.0%,6.20,,0,0
30,2000,2000-12-11,14,22.132,IND,,BUF,W 44-20,*,27,111,4.11,3,4,3,21,7.00,0,75.0%,5.25,,3,18
31,2000,2000-12-17,15,22.138,IND,@,MIA,W 20-13,*,32,112,3.50,0,5,5,31,6.20,0,100.0%,6.20,,0,0
32,2000,2000-12-24,16,22.145,IND,,MIN,W 31-10,*,26,128,4.92,0,8,5,79,15.80,1,62.5%,9.88,,1,6
33,2001,2001-09-09,1,23.039,IND,@,NYJ,W 45-24,*,28,135,4.82,2,3,2,13,6.50,0,66.7%,4.33,,2,12
34,2001,2001-09-23,2,23.053,IND,,BUF,W 42-26,*,23,111,4.83,1,4,4,48,12.00,0,100.0%,12.00,,1,6
35,2001,2001-09-30,3,23.060,IND,@,NWE,L 13-44,*,17,55,3.24,0,7,6,38,6.33,0,85.7%,5.43,,0,0
36,2001,2001-10-14,4,23.074,IND,,OAK,L 18-23,*,26,116,4.46,0,7,6,51,8.50,0,85.7%,7.29,,0,0
37,2001,2001-10-21,5,23.081,IND,,NWE,L 17-38,*,30,143,4.77,0,6,4,34,8.50,0,66.7%,5.67,,0,0
38,2001,2001-10-25,6,23.085,IND,@,KAN,W 35-28,*,27,102,3.78,0,2,2,9,4.50,0,100.0%,4.50,,0,0
39,2002,2002-09-08,1,24.038,IND,@,JAX,W 28-25,*,26,99,3.81,0,9,2,11,5.50,0,22.2%,1.22,,0,0
40,2002,2002-09-15,2,24.045,IND,,MIA,L 13-21,*,30,138,4.60,0,10,8,82,10.25,0,80.0%,8.20,,0,0
41,2002,2002-09-22,3,24.052,IND,@,HOU,W 23-3,*,25,88,3.52,0,4,4,29,7.25,0,100.0%,7.25,,0,0
42,2002,2002-10-06,4,24.066,IND,,CIN,W 28-21,*,22,60,2.73,1,4,3,10,3.33,0,75.0%,2.50,,1,6
43,2002,2002-10-13,5,24.073,IND,,BAL,W 22-20,*,17,43,2.53,0,4,4,8,2.00,0,100.0%,2.00,,0,0
44,2002,2002-10-21,6,24.081,IND,@,PIT,L 10-28,*,20,62,3.10,0,12,11,83,7.55,0,91.7%,6.92,,0,0
45,2002,2002-10-27,7,24.087,IND,@,WAS,L 21-26,*,14,33,2.36,0,7,5,14,2.80,1,71.4%,2.00,,1,6
46,2002,2002-11-17,10,24.108,IND,,DAL,W 20-3,*,24,106,4.42,0,4,4,6,1.50,0,100.0%,1.50,,0,0
47,2002,2002-11-24,11,24.115,IND,@,DEN,W 23-20,*,26,84,3.23,1,6,6,31,5.17,0,100.0%,5.17,,1,6
48,2002,2002-12-01,12,24.122,IND,,HOU,W 19-3,*,20,65,3.25,0,3,0,0,,0,0.0%,0.00,,0,0
49,2002,2002-12-08,13,24.129,IND,@,TEN,L 17-27,*,18,70,3.89,0,4,4,25,6.25,0,100.0%,6.25,,0,0
50,2002,2002-12-15,14,24.136,IND,@,CLE,W 28-23,*,10,42,4.20,0,3,3,20,6.67,0,100.0%,6.67,,0,0
51,2002,2002-12-22,15,24.143,IND,,NYG,L 27-44,*,10,13,1.30,0,6,3,2,0.67,0,50.0%,0.33,,0,0
52,2002,2002-12-29,16,24.150,IND,,JAX,W 20-13,*,15,86,5.73,0,4,4,33,8.25,0,100.0%,8.25,,0,0
53,2003,2003-09-07,1,25.037,IND,@,CLE,W 9-6,*,15,67,4.47,0,11,5,29,5.80,0,45.5%,2.64,,0,0
54,2003,2003-09-14,2,25.044,IND,,TEN,W 33-7,*,30,120,4.00,1,3,2,9,4.50,0,66.7%,3.00,,1,6
55,2003,2003-09-21,3,25.051,IND,,JAX,W 23-13,*,27,76,2.81,0,6,3,28,9.33,0,50.0%,4.67,,0,0
56,2003,2003-10-26,7,25.086,IND,,HOU,W 30-21,*,23,104,4.52,0,1,1,5,5.00,0,100.0%,5.00,,0,0
57,2003,2003-11-02,8,25.093,IND,@,MIA,W 23-17,*,26,89,3.42,1,8,5,19,3.80,0,62.5%,2.38,,1,6
58,2003,2003-11-09,9,25.100,IND,@,JAX,L 23-28,*,15,44,2.93,0,7,6,26,4.33,0,85.7%,3.71,,0,0
59,2003,2003-11-16,10,25.107,IND,,NYJ,W 38-31,*,36,127,3.53,3,7,6,33,5.50,0,85.7%,4.71,,3,18
60,2003,2003-11-23,11,25.114,IND,@,BUF,W 17-14,*,28,108,3.86,2,6,6,39,6.50,0,100.0%,6.50,,2,12
61,2003,2003-11-30,12,25.121,IND,,NWE,L 34-38,*,25,88,3.52,0,10,8,50,6.25,0,80.0%,5.00,,0,0
62,2003,2003-12-07,13,25.128,IND,@,TEN,W 29-27,*,28,97,3.46,2,2,2,13,6.50,0,100.0%,6.50,,2,12
63,2003,2003-12-14,14,25.135,IND,,ATL,W 38-7,*,20,126,6.30,0,2,2,6,3.00,0,100.0%,3.00,,0,0
64,2003,2003-12-21,15,25.142,IND,,DEN,L 17-31,*,10,42,4.20,1,2,0,0,,0,0.0%,0.00,,1,6
65,2003,2003-12-28,16,25.149,IND,@,HOU,W 20-17,*,27,171,6.33,1,6,5,35,7.00,0,83.3%,5.83,,1,6
66,2004,2004-09-09,1,26.039,IND,@,NWE,L 24-27,*,30,142,4.73,0,3,3,29,9.67,0,100.0%,9.67,,0,0
67,2004,2004-09-19,2,26.049,IND,@,TEN,W 31-17,*,21,124,5.90,2,2,2,3,1.50,0,100.0%,1.50,,2,12
68,2004,2004-09-26,3,26.056,IND,,GNB,W 45-31,*,21,62,2.95,1,1,1,17,17.00,0,100.0%,17.00,,1,6
69,2004,2004-10-03,4,26.063,IND,@,JAX,W 24-17,*,19,83,4.37,1,4,3,25,8.33,0,75.0%,6.25,,1,6
70,2004,2004-10-10,5,26.070,IND,,OAK,W 35-14,*,32,136,4.25,1,3,2,19,9.50,0,66.7%,6.33,,1,6
71,2004,2004-10-24,6,26.084,IND,,JAX,L 24-27,*,18,87,4.83,0,7,6,54,9.00,0,85.7%,7.71,,0,0
72,2004,2004-10-31,7,26.091,IND,@,KAN,L 35-45,*,10,34,3.40,0,7,6,90,15.00,0,85.7%,12.86,,0,0
73,2004,2004-11-08,8,26.099,IND,,MIN,W 31-28,*,26,123,4.73,0,6,5,56,11.20,0,83.3%,9.33,,0,0
74,2004,2004-11-14,9,26.105,IND,,HOU,W 49-14,*,20,86,4.30,0,2,2,14,7.00,0,100.0%,7.00,,0,0
75,2004,2004-11-21,10,26.112,IND,@,CHI,W 41-10,*,23,204,8.87,1,1,1,11,11.00,0,100.0%,11.00,,1,6
76,2004,2004-11-25,11,26.116,IND,@,DET,W 41-9,*,23,105,4.57,0,3,3,16,5.33,0,100.0%,5.33,,0,0
77,2004,2004-12-05,12,26.126,IND,,TEN,W 51-24,*,18,105,5.83,2,4,4,31,7.75,0,100.0%,7.75,,2,12
78,2004,2004-12-12,13,26.133,IND,@,HOU,W 23-14,*,28,104,3.71,0,7,7,54,7.71,0,100.0%,7.71,,0,0
79,2004,2004-12-19,14,26.140,IND,,BAL,W 20-10,*,22,69,3.14,1,2,1,23,23.00,0,50.0%,11.50,,1,6
80,2004,2004-12-26,15,26.147,IND,,SDG,W 34-31,*,22,86,3.91,0,8,5,41,8.20,0,62.5%,5.13,,0,0
81,2004,2005-01-02,16,26.154,IND,@,DEN,L 14-33,*,1,-2,-2.00,0,0,0,0,,0,0.0%,,,0,0
82,2005,2005-09-11,1,27.041,IND,@,BAL,W 24-7,*,23,88,3.83,0,3,3,26,8.67,0,100.0%,8.67,,0,0
83,2005,2005-09-18,2,27.048,IND,,JAX,W 10-3,*,27,128,4.74,0,5,4,39,9.75,0,80.0%,7.80,,0,0
84,2005,2005-09-25,3,27.055,IND,,CLE,W 13-6,*,27,108,4.00,1,2,2,29,14.50,0,100.0%,14.50,,1,6
85,2005,2005-10-02,4,27.062,IND,@,TEN,W 31-10,*,21,90,4.29,0,2,2,12,6.00,1,100.0%,6.00,,1,6
86,2005,2005-10-09,5,27.069,IND,@,SFO,W 28-3,*,21,105,5.00,1,5,4,42,10.50,0,80.0%,8.40,,1,6
87,2005,2005-10-17,6,27.077,IND,,STL,W 45-28,*,23,143,6.22,3,4,3,16,5.33,0,75.0%,4.00,,3,18
88,2005,2005-10-23,7,27.083,IND,@,HOU,W 38-20,*,21,139,6.62,2,1,1,8,8.00,0,100.0%,8.00,,2,12
89,2005,2005-11-07,8,27.098,IND,@,NWE,W 40-21,*,34,104,3.06,1,3,3,9,3.00,0,100.0%,3.00,,1,6
90,2005,2005-11-13,9,27.104,IND,,HOU,W 31-17,*,26,122,4.69,1,4,3,26,8.67,0,75.0%,6.50,,1,6
91,2005,2005-11-20,10,27.111,IND,@,CIN,W 45-37,*,24,89,3.71,2,3,3,18,6.00,0,100.0%,6.00,,2,12
92,2005,2005-11-28,11,27.119,IND,,PIT,W 26-7,*,29,124,4.28,0,0,0,0,,0,0.0%,,,0,0
93,2005,2005-12-04,12,27.125,IND,,TEN,W 35-3,*,28,107,3.82,1,3,2,17,8.50,0,66.7%,5.67,,1,6
94,2005,2005-12-11,13,27.132,IND,@,JAX,W 26-18,*,30,93,3.10,0,9,9,61,6.78,0,100.0%,6.78,,0,0
95,2005,2005-12-18,14,27.139,IND,,SDG,L 17-26,*,13,25,1.92,1,2,2,20,10.00,0,100.0%,10.00,,1,6
96,2005,2005-12-24,15,27.145,IND,@,SEA,L 13-28,*,13,41,3.15,0,4,3,14,4.67,0,75.0%,3.50,,0,0
97,2006,2006-09-10,1,28.040,ARI,,SFO,W 34-27,*,26,73,2.81,1,6,3,13,4.33,0,50.0%,2.17,,1,6
98,2006,2006-09-17,2,28.047,ARI,@,SEA,L 10-21,*,18,64,3.56,0,8,7,33,4.71,0,87.5%,4.13,,0,0
99,2006,2006-09-24,3,28.054,ARI,,STL,L 14-16,*,24,94,3.92,1,1,1,5,5.00,0,100.0%,5.00,,1,6
100,2006,2006-10-01,4,28.061,ARI,@,ATL,L 10-32,*,20,41,2.05,0,7,5,31,6.20,0,71.4%,4.43,,0,0
101,2006,2006-10-08,5,28.068,ARI,,KAN,L 20-23,*,24,71,2.96,0,6,6,44,7.33,0,100.0%,7.33,,0,0
102,2006,2006-10-16,6,28.076,ARI,,CHI,L 23-24,*,36,55,1.53,0,2,1,7,7.00,0,50.0%,3.50,,0,0
103,2006,2006-10-22,7,28.082,ARI,@,OAK,L 9-22,*,13,34,2.62,0,3,1,4,4.00,0,33.3%,1.33,,0,0
104,2006,2006-10-29,8,28.089,ARI,@,GNB,L 14-31,*,24,84,3.50,1,7,3,25,8.33,0,42.9%,3.57,,1,6
105,2006,2006-11-12,9,28.103,ARI,,DAL,L 10-27,*,15,68,4.53,0,6,2,11,5.50,0,33.3%,1.83,,0,0
