ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1974,1974-09-29,3,23.007,SDG,,MIA,L 21-28,,,,,,,,
2,1974,1974-10-06,4,23.014,SDG,,PHI,L 7-13,,,,,,,,
3,1974,1974-10-13,5,23.021,SDG,,OAK,L 10-14,,,,,,,,
4,1974,1974-10-20,6,23.028,SDG,@,DEN,L 7-27,,,,,,,,
5,1974,1974-10-27,7,23.035,SDG,,KAN,L 14-24,0,0,,0,4,108,27.00,0
6,1974,1974-11-03,8,23.042,SDG,,CLE,W 36-35,0,0,,0,2,40,20.00,0
7,1974,1974-11-10,9,23.049,SDG,@,KAN,W 14-7,0,0,,0,2,54,27.00,0
8,1974,1974-11-17,10,23.056,SDG,@,OAK,L 10-17,0,0,,0,3,40,13.33,0
9,1974,1974-11-24,11,23.063,SDG,@,GNB,L 0-34,4,16,4.00,0,0,0,,0
10,1974,1974-12-01,12,23.070,SDG,@,NYJ,L 14-27,,,,,,,,
11,1974,1974-12-08,13,23.077,SDG,,CHI,W 28-21,1,-6,-6.00,0,1,0,0.00,0
12,1974,1974-12-15,14,23.084,SDG,,DEN,W 17-0,1,-2,-2.00,0,0,0,,0
