ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2003,2003-09-07,1,22.019,MIN,@,GNB,W 30-25,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,
2,2003,2003-09-14,2,22.026,MIN,,CHI,W 24-13,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
3,2003,2003-09-21,3,22.033,MIN,@,DET,W 23-13,,5,1,29,29.00,0,20.0%,5.80,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
4,2003,2003-09-28,4,22.040,MIN,,SFO,W 35-7,*,5,3,54,18.00,1,60.0%,10.80,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,,
5,2003,2003-10-05,5,22.047,MIN,@,ATL,W 39-26,*,4,3,71,23.67,0,75.0%,17.75,0,0,,0,0,0,,0,1,0,0.00,0,,0,0,0.0,,
6,2003,2003-10-19,6,22.061,MIN,,DEN,W 28-20,*,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,
7,2003,2003-10-26,7,22.068,MIN,,NYG,L 17-29,*,5,3,52,17.33,0,60.0%,10.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
8,2003,2003-11-02,8,22.075,MIN,,GNB,L 27-30,*,5,3,51,17.00,0,60.0%,10.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
9,2003,2003-11-09,9,22.082,MIN,@,SDG,L 28-42,,1,1,19,19.00,1,100.0%,19.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,,
10,2003,2003-11-16,10,22.089,MIN,@,OAK,L 18-28,*,8,3,32,10.67,0,37.5%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
11,2003,2003-11-23,11,22.096,MIN,,DET,W 24-14,*,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
12,2003,2003-11-30,12,22.103,MIN,@,STL,L 17-48,*,5,2,28,14.00,0,40.0%,5.60,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
13,2003,2003-12-07,13,22.110,MIN,,SEA,W 34-7,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,
14,2003,2003-12-14,14,22.117,MIN,@,CHI,L 10-13,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
15,2003,2003-12-20,15,22.123,MIN,,KAN,W 45-20,,5,3,57,19.00,0,60.0%,11.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
16,2003,2003-12-28,16,22.131,MIN,@,ARI,L 17-18,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
17,2004,2004-09-12,1,23.024,MIN,,DAL,W 35-17,*,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
18,2004,2004-09-20,2,23.032,MIN,@,PHI,L 16-27,*,9,5,67,13.40,0,55.6%,7.44,1,9,9.00,0,0,0,,0,0,0,,0,,0,0,0.0,,
19,2004,2004-09-26,3,23.038,MIN,,CHI,W 27-22,*,5,2,71,35.50,0,40.0%,14.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
20,2004,2004-10-10,4,23.052,MIN,@,HOU,W 34-28,,4,3,16,5.33,1,75.0%,4.00,0,0,,0,2,51,25.50,0,2,17,8.50,0,,1,6,0.0,,
21,2004,2004-10-17,5,23.059,MIN,@,NOR,W 38-31,*,9,6,134,22.33,0,66.7%,14.89,0,0,,0,0,0,,0,2,11,5.50,0,,0,0,0.0,,
22,2004,2004-10-24,6,23.066,MIN,,TEN,W 20-3,*,9,6,53,8.83,0,66.7%,5.89,0,0,,0,0,0,,0,1,2,2.00,0,,0,0,0.0,,
23,2004,2004-10-31,7,23.073,MIN,,NYG,L 13-34,*,10,6,43,7.17,1,60.0%,4.30,1,8,8.00,0,0,0,,0,2,6,3.00,0,,1,6,0.0,,
24,2004,2004-11-08,8,23.081,MIN,@,IND,L 28-31,*,1,1,8,8.00,1,100.0%,8.00,0,0,,0,0,0,,0,2,96,48.00,1,,2,12,0.0,,
25,2004,2004-11-14,9,23.087,MIN,@,GNB,L 31-34,*,18,11,141,12.82,1,61.1%,7.83,1,11,11.00,0,0,0,,0,1,-1,-1.00,0,,1,6,0.0,,
26,2004,2004-11-21,10,23.094,MIN,,DET,W 22-19,*,5,5,52,10.40,1,100.0%,10.40,0,0,,0,0,0,,0,4,13,3.25,0,,1,6,0.0,,
27,2004,2004-11-28,11,23.101,MIN,,JAX,W 27-16,*,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,2,32,16.00,0,,0,0,0.0,,
