ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,24.007,SFO,,STL,W 28-25,,0,,,,,0.0%,,,,
2,2005,2005-09-18,2,24.014,SFO,@,PHI,L 3-42,,0,,,,,0.0%,,,,
3,2005,2005-09-25,3,24.021,SFO,,DAL,L 31-34,,,,,,,0.0%,,,,
4,2005,2005-10-02,4,24.028,SFO,@,ARI,L 14-31,,0,,,,,0.0%,,,,
5,2005,2005-10-09,5,24.035,SFO,,IND,L 3-28,,0,,,,,0.0%,,,,
6,2005,2005-10-23,6,24.049,SFO,@,WAS,L 17-52,,0,,,,,0.0%,,,,
7,2005,2005-10-30,7,24.056,SFO,,TAM,W 15-10,,0,,,,,0.0%,,,,
8,2005,2005-11-06,8,24.063,SFO,,NYG,L 6-24,,0,,,,,0.0%,,,,
9,2005,2005-11-13,9,24.070,SFO,@,CHI,L 9-17,,0,,,,,0.0%,,,,
10,2005,2005-11-20,10,24.077,SFO,,SEA,L 25-27,,0,,,,,0.0%,,,,
11,2005,2005-11-27,11,24.084,SFO,@,TEN,L 22-33,*,0,,,,,0.0%,,,,
12,2005,2005-12-04,12,24.091,SFO,,ARI,L 10-17,,0,,,,,0.0%,,,,
13,2005,2005-12-11,13,24.098,SFO,@,SEA,L 3-41,,0,,,,,0.0%,,,,
14,2005,2005-12-18,14,24.105,SFO,@,JAX,L 9-10,,,,,,,0.0%,,,,
15,2005,2005-12-24,15,24.111,SFO,@,STL,W 24-20,,,,,,,0.0%,,,,
16,2005,2006-01-01,16,24.119,SFO,,HOU,W 20-17,,0,,,,,0.0%,,,,
17,2006,2006-09-10,1,25.006,SFO,@,ARI,L 27-34,,0,,,,,0.0%,,,,
18,2006,2006-09-17,2,25.013,SFO,,STL,W 20-13,,0,,,,,0.0%,,,,
19,2006,2006-09-24,3,25.020,SFO,,PHI,L 24-38,,0,0,0,,0,0.0%,,0.5,,
20,2006,2006-10-01,4,25.027,SFO,@,KAN,L 0-41,,,,,,,0.0%,,,,
21,2006,2006-10-08,5,25.034,SFO,,OAK,W 34-20,,0,,,,,0.0%,,,,
22,2006,2006-10-15,6,25.041,SFO,,SDG,L 19-48,,0,,,,,0.0%,,,,
23,2006,2006-11-05,8,25.062,SFO,,MIN,W 9-3,,0,,,,,0.0%,,,,
24,2006,2006-11-12,9,25.069,SFO,@,DET,W 19-13,,,,,,,0.0%,,,,
25,2006,2006-11-19,10,25.076,SFO,,SEA,W 20-14,,0,,,,,0.0%,,,,
26,2006,2006-11-26,11,25.083,SFO,@,STL,L 17-20,,0,,,,,0.0%,,,,
27,2006,2006-12-03,12,25.090,SFO,@,NOR,L 10-34,,0,,,,,0.0%,,,,
28,2006,2006-12-10,13,25.097,SFO,,GNB,L 19-30,,0,,,,,0.0%,,,,
29,2006,2006-12-14,14,25.101,SFO,@,SEA,W 24-14,,,0,0,,0,0.0%,,1.0,,
30,2006,2006-12-24,15,25.111,SFO,,ARI,L 20-26,*,0,,,,,0.0%,,,,
31,2006,2006-12-31,16,25.118,SFO,@,DEN,W 26-23,*,0,,,,,0.0%,,,,
32,2007,2007-09-10,1,26.006,SFO,,ARI,W 20-17,,0,,,,,0.0%,,,,
