ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1986,1986-09-07,1,21.318,SEA,,PIT,W 30-0,,,,,,,,,,
2,1986,1986-09-14,2,21.325,SEA,,KAN,W 23-17,,,,,,,,,,
3,1986,1986-09-21,3,21.332,SEA,@,NWE,W 38-31,,,,,,,,,,
4,1986,1986-09-28,4,21.339,SEA,@,WAS,L 14-19,,,,,,,,,,
5,1986,1986-10-06,5,21.347,SEA,,SDG,W 33-7,,,,,,,,,,
6,1986,1986-10-12,6,21.353,SEA,@,RAI,L 10-14,,,,,,,,,,
7,1986,1986-10-19,7,21.360,SEA,,NYG,W 17-12,,,,,,,,,,
8,1986,1986-10-26,8,22.002,SEA,@,DEN,L 13-20,,,,,,,,,,
9,1986,1986-11-02,9,22.009,SEA,,NYJ,L 7-38,,,,,,,,,,
10,1986,1986-11-09,10,22.016,SEA,@,KAN,L 7-27,,,,,,,,,,
11,1986,1986-11-16,11,22.023,SEA,@,CIN,L 7-34,,,,,,,,,,
12,1986,1986-11-23,12,22.030,SEA,,PHI,W 24-20,,,,,,,,,,
13,1986,1986-11-27,13,22.034,SEA,@,DAL,W 31-14,,,,,,,,,,
14,1986,1986-12-08,14,22.045,SEA,,RAI,W 37-0,,,,,,,,,,
15,1986,1986-12-14,15,22.051,SEA,@,SDG,W 34-24,,,,,,,,,,
16,1986,1986-12-20,16,22.057,SEA,,DEN,W 41-16,,,,,,,,,,
17,1987,1987-09-20,2,22.331,SEA,,KAN,W 43-14,0,0,,0,0,0,0.0,1,3,0
18,1987,1987-10-25,6,23.001,SEA,@,RAI,W 35-13,,,,,,,,,,
19,1987,1987-11-01,7,23.008,SEA,,MIN,W 28-17,,,,,,,,,,
20,1987,1987-11-09,8,23.016,SEA,@,NYJ,L 14-30,,,,,,,,,,
21,1987,1987-11-15,9,23.022,SEA,,GNB,W 24-13,,,,,,,,,,
22,1987,1987-11-22,10,23.029,SEA,,SDG,W 34-3,,,,,,,,,,
23,1987,1987-11-30,11,23.037,SEA,,RAI,L 14-37,,,,,,,,,,
24,1987,1987-12-06,12,23.043,SEA,@,PIT,L 9-13,,,,,,,,,,
25,1987,1987-12-13,13,23.050,SEA,,DEN,W 28-21,,,,,,,,,,
26,1987,1987-12-20,14,23.057,SEA,@,CHI,W 34-21,,,,,,,,,,
27,1987,1987-12-27,15,23.064,SEA,@,KAN,L 20-41,,,,,,,,,,
