ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1976,1976-10-31,8,22.241,ATL,,NOR,W 23-20,,,,
2,1977,1977-09-18,1,23.198,MIA,@,BUF,W 13-0,,,,
3,1977,1977-09-25,2,23.205,MIA,@,SFO,W 19-15,,,,
4,1977,1977-10-02,3,23.212,MIA,,HOU,W 27-7,,,,
5,1977,1977-10-09,4,23.219,MIA,@,BAL,L 28-45,,,,
6,1977,1977-10-16,5,23.226,MIA,,NYJ,W 21-17,,,,
7,1977,1977-10-23,6,23.233,MIA,,SEA,W 31-13,,,,
8,1977,1977-10-30,7,23.240,MIA,,SDG,L 13-14,,,,
9,1977,1977-11-06,8,23.247,MIA,@,NYJ,W 14-10,,,,
10,1977,1977-11-13,9,23.254,MIA,,NWE,W 17-5,,,,
11,1977,1977-11-20,10,23.261,MIA,@,CIN,L 17-23,,,,
12,1977,1977-11-24,11,23.265,MIA,@,STL,W 55-14,,,,
13,1977,1977-12-05,12,23.276,MIA,,BAL,W 17-6,,,,
14,1977,1977-12-11,13,23.282,MIA,@,NWE,L 10-14,,,,
15,1977,1977-12-17,14,23.288,MIA,,BUF,W 31-14,,,,
16,1978,1978-09-03,1,24.183,MIA,@,NYJ,L 20-33,,,,
17,1978,1978-09-10,2,24.190,MIA,@,BAL,W 42-0,,,,
18,1978,1978-09-17,3,24.197,MIA,,BUF,W 31-24,,,,
19,1978,1978-09-24,4,24.204,MIA,@,PHI,L 3-17,,,,
20,1978,1978-10-01,5,24.211,MIA,,STL,W 24-10,,,,
21,1978,1978-10-09,6,24.219,MIA,,CIN,W 21-0,,,,
22,1978,1978-10-15,7,24.225,MIA,@,SDG,W 28-21,,,,
23,1978,1978-10-22,8,24.232,MIA,@,NWE,L 24-33,,,,
24,1978,1978-10-29,9,24.239,MIA,,BAL,W 26-8,,,,
25,1978,1978-11-05,10,24.246,MIA,,DAL,W 23-16,,,,
26,1978,1978-11-12,11,24.253,MIA,@,BUF,W 25-24,,,,
27,1978,1978-11-20,12,24.261,MIA,@,HOU,L 30-35,,,,
28,1978,1978-11-26,13,24.267,MIA,,NYJ,L 13-24,,,,
29,1978,1978-12-03,14,24.274,MIA,@,WAS,W 16-0,,,,
30,1978,1978-12-10,15,24.281,MIA,,OAK,W 23-6,,,,
31,1978,1978-12-18,16,24.289,MIA,,NWE,W 23-3,,,,
32,1979,1979-09-01,1,25.181,DET,@,TAM,L 16-31,,,,
33,1979,1979-09-09,2,25.189,DET,,WAS,L 24-27,,,,
34,1979,1979-09-16,3,25.196,DET,@,NYJ,L 10-31,,,,
35,1979,1979-09-23,4,25.203,DET,,ATL,W 24-23,,,,
36,1979,1979-09-30,5,25.210,DET,,MIN,L 10-13,,,,
37,1979,1979-10-07,6,25.217,DET,@,NWE,L 17-24,,,,
38,1979,1979-10-14,7,25.224,DET,@,GNB,L 16-24,,,,
39,1979,1979-10-21,8,25.231,DET,@,NOR,L 7-17,,,,
40,1979,1979-10-28,9,25.238,DET,,BUF,L 17-20,,,,
41,1979,1979-11-04,10,25.245,DET,@,CHI,L 7-35,1,5,5.00,0
42,1979,1979-11-11,11,25.252,DET,,TAM,L 14-16,,,,
43,1979,1979-11-18,12,25.259,DET,@,MIN,L 7-14,,,,
44,1979,1979-11-22,13,25.263,DET,,CHI,W 20-0,,,,
45,1979,1979-12-02,14,25.273,DET,@,PHI,L 7-44,,,,
46,1979,1979-12-09,15,25.280,DET,,MIA,L 10-28,,,,
47,1979,1979-12-15,16,25.286,DET,,GNB,L 13-18,,,,
48,1980,1980-11-02,9,26.243,DET,,SFO,W 17-13,,,,
