ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1984,1984-09-02,1,22.024,PIT,,KAN,L 27-37,,6,183,30.50,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,36,9.00,0,2,12
2,1984,1984-09-06,2,22.028,PIT,@,NYJ,W 23-17,,4,77,19.25,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,48,12.00,0,1,6
3,1984,1984-09-16,3,22.038,PIT,,RAM,W 24-14,,5,77,15.40,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,69,13.80,0,1,6
4,1984,1984-09-23,4,22.045,PIT,@,CLE,L 10-20,,3,43,14.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,6,2.00,0,0,0
5,1984,1984-10-01,5,22.053,PIT,,CIN,W 38-17,,2,21,10.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,5,2.50,0,0,0
6,1984,1984-10-21,8,22.073,PIT,@,IND,L 16-17,,1,62,62.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,6,56,9.33,0,1,6
7,1984,1984-10-28,9,22.080,PIT,,ATL,W 35-10,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,82,16.40,0,0,0
8,1984,1984-11-04,10,22.087,PIT,,HOU,W 35-7,,1,8,8.00,0,,,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,4,52,13.00,0,0,0
9,1984,1984-11-11,11,22.094,PIT,@,CIN,L 20-22,,2,18,9.00,0,,,1,36,36.00,1,0,0,,0,0,0,,,,,,0,0,,0,4,47,11.75,0,1,6
10,1984,1984-11-19,12,22.102,PIT,@,NOR,L 24-27,,4,81,20.25,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,128,32.00,1,2,12
11,1984,1984-11-25,13,22.108,PIT,,SDG,W 52-24,,7,118,16.86,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,16,8.00,0,1,6
12,1984,1984-12-02,14,22.115,PIT,@,HOU,L 20-23,,4,43,10.75,1,,,1,31,31.00,0,0,0,,0,0,0,,,,,,0,0,,0,5,35,7.00,0,1,6
13,1984,1984-12-09,15,22.122,PIT,,CLE,W 23-20,,3,97,32.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,38,12.67,0,1,6
14,1984,1984-12-16,16,22.129,PIT,@,RAI,W 13-7,,3,32,10.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,38,19.00,0,0,0
15,1985,1985-09-08,1,23.030,PIT,,IND,W 45-3,,9,154,17.11,3,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,3,18
16,1985,1985-09-16,2,23.038,PIT,@,CLE,L 7-17,,2,23,11.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,43,14.33,0,0,0
17,1985,1985-09-22,3,23.044,PIT,,HOU,W 20-0,,6,98,16.33,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,15,15.00,0,2,12
18,1985,1985-09-30,4,23.052,PIT,,CIN,L 24-37,,5,100,20.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,14,7.00,0,1,6
19,1985,1985-10-06,5,23.058,PIT,@,MIA,L 20-24,,3,43,14.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,5,5.00,0,0,0
20,1985,1985-10-13,6,23.065,PIT,@,DAL,L 13-27,,2,56,28.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,13,13.00,0,0,0
21,1985,1985-10-20,7,23.072,PIT,,STL,W 23-10,,3,70,23.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,30,10.00,0,1,6
22,1985,1985-10-27,8,23.079,PIT,@,CIN,L 21-26,,3,86,28.67,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,69,34.50,1,2,12
23,1985,1985-11-03,9,23.086,PIT,,CLE,W 10-9,,3,42,14.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,15,7.50,0,0,0
