ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1962,1962-09-09,1,24.098,OAK,,NYT,L 17-28,0,0,,0,1,29,0,4,167,41.75,0
2,1962,1962-09-23,2,24.112,OAK,,DTX,L 16-26,0,0,,0,0,0,0,4,152,38.00,0
3,1962,1962-09-30,3,24.119,OAK,,SDG,L 33-42,0,0,,0,1,1,0,7,254,36.29,0
4,1962,1962-10-05,4,24.124,OAK,@,DEN,L 7-44,0,0,,0,1,0,0,2,82,41.00,0
5,1962,1962-10-14,5,24.133,OAK,,DEN,L 6-23,0,0,,0,0,0,0,7,264,37.71,0
6,1962,1962-10-20,6,24.139,OAK,@,BUF,L 6-14,2,13,6.50,0,0,0,0,6,180,30.00,0
7,1962,1962-11-04,8,24.154,OAK,@,NYT,L 21-31,0,0,,0,2,58,0,4,131,32.75,0
8,1962,1962-11-11,9,24.161,OAK,,HOU,L 20-28,0,0,,0,1,30,0,0,0,,0
9,1962,1962-11-25,11,24.175,OAK,@,DTX,L 7-35,0,0,,0,1,10,0,6,234,39.00,0
10,1962,1962-12-02,12,24.182,OAK,@,SDG,L 21-31,0,0,,0,1,0,0,5,190,38.00,0
11,1962,1962-12-09,13,24.189,OAK,@,HOU,L 17-32,0,0,,0,1,13,0,0,0,,0
12,1962,1962-12-16,14,24.196,OAK,,BOS,W 20-0,0,0,,0,1,0,0,0,0,,0
13,1963,1963-09-07,1,25.096,OAK,@,HOU,W 24-13,0,0,,0,3,35,0,0,0,,0
14,1963,1963-09-15,2,25.104,OAK,,BUF,W 35-17,0,0,,0,1,5,0,0,0,,0
15,1963,1963-09-22,3,25.111,OAK,,BOS,L 14-20,0,0,,0,2,16,0,0,0,,0
16,1963,1963-09-28,4,25.117,OAK,@,NYJ,L 7-10,0,0,,0,2,13,0,0,0,,0
17,1963,1963-11-28,11,25.178,OAK,@,DEN,W 26-10,0,0,,0,1,35,0,0,0,,0
18,1964,1964-10-03,4,26.122,OAK,@,BUF,L 20-23,0,0,,0,2,96,0,0,0,,0
19,1964,1964-11-01,8,26.151,OAK,@,SDG,L 17-31,1,0,0.00,0,2,5,0,0,0,,0
