ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2013,2013-09-09,1,22.137,PHI,@,WAS,W 33-27,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
2,2013,2013-09-15,2,22.143,PHI,,SDG,L 30-33,,,,,,,,,,,,,,,,,,,,,
3,2013,2013-09-29,4,22.157,PHI,@,DEN,L 20-52,,,,,,,,,,,,,,,,,,,,,
4,2013,2013-10-27,8,22.185,CLE,@,KAN,L 17-23,,,,,,,,,,,,,,,,,,,,,
5,2013,2013-11-03,9,22.192,CLE,,BAL,W 24-18,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
6,2013,2013-11-17,10,22.206,CLE,@,CIN,L 20-41,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
7,2013,2013-11-24,11,22.213,CLE,,PIT,L 11-27,,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0.0,1,0,0,0,0
8,2013,2013-12-01,12,22.220,CLE,,JAX,L 28-32,,0,0,,0,0,0,,0,3,49,16.33,0,0,0,0.0,0,0,0,0,0
9,2013,2013-12-08,13,22.227,CLE,@,NWE,L 26-27,,0,0,,0,0,0,,0,1,-1,-1.00,0,0,0,0.0,6,0,0,0,0
10,2013,2013-12-15,14,22.234,CLE,,CHI,L 31-38,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
11,2013,2013-12-22,15,22.241,CLE,@,NYJ,L 13-24,,0,0,,0,0,0,,0,2,39,19.50,0,0,0,0.0,3,0,0,0,0
12,2013,2013-12-29,16,22.248,CLE,@,PIT,L 7-20,,0,0,,0,0,0,,0,1,21,21.00,0,0,0,0.0,3,0,0,0,0
13,2014,2014-09-07,1,23.135,CLE,@,PIT,L 27-30,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
14,2014,2014-09-14,2,23.142,CLE,,NOR,W 26-24,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
15,2014,2014-09-21,3,23.149,CLE,,BAL,L 21-23,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
16,2014,2014-10-05,4,23.163,CLE,@,TEN,W 29-28,,0,0,,0,1,14,14.00,0,4,14,3.50,0,0,0,0.0,1,0,0,0,0
17,2014,2014-10-12,5,23.170,CLE,,PIT,W 31-10,,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0.0,1,0,0,0,0
18,2014,2014-10-19,6,23.177,CLE,@,JAX,L 6-24,,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0.0,1,0,0,0,0
19,2014,2014-10-26,7,23.184,CLE,,OAK,W 23-13,,,,,,,,,,,,,,,,,,,,,
20,2014,2014-11-02,8,23.191,CLE,,TAM,W 22-17,,,,,,,,,,,,,,,,,,,,,
21,2014,2014-11-06,9,23.195,CLE,@,CIN,W 24-3,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
22,2014,2014-11-16,10,23.205,CLE,,HOU,L 7-23,,,,,,,,,,,,,,,,,,,,,
