ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1951,1951-09-30,1,22.128,SFO,,CLE,W 24-10,2,11,5.50,0,0,0,,0
2,1951,1951-11-04,6,22.163,SFO,@,RAM,L 16-23,6,22,3.67,0,1,8,8.00,0
3,1951,1951-11-11,7,22.170,SFO,,NYY,W 19-14,0,0,,0,2,28,14.00,0
4,1952,1952-10-05,2,23.133,SFO,@,DTX,W 37-14,7,1,0.14,0,1,60,60.00,1
5,1952,1952-10-12,3,23.140,SFO,@,DET,W 28-0,1,-11,-11.00,0,4,21,5.25,0
6,1952,1952-10-19,4,23.147,SFO,@,CHI,W 40-16,4,27,6.75,1,0,0,,0
7,1952,1952-10-26,5,23.154,SFO,,DTX,W 48-21,4,6,1.50,0,2,46,23.00,1
8,1952,1952-11-02,6,23.161,SFO,,CHI,L 17-20,1,-1,-1.00,0,0,0,,0
9,1952,1952-11-09,7,23.168,SFO,@,NYG,L 14-23,2,4,2.00,0,0,0,,0
10,1952,1952-11-16,8,23.175,SFO,@,WAS,W 23-17,1,0,0.00,0,0,0,,0
11,1952,1952-11-23,9,23.182,SFO,@,RAM,L 9-35,1,2,2.00,0,0,0,,0
12,1952,1952-11-30,10,23.189,SFO,,RAM,L 21-34,1,1,1.00,0,2,32,16.00,0
13,1952,1952-12-07,11,23.196,SFO,,PIT,L 7-24,0,0,,0,2,11,5.50,0
14,1952,1952-12-14,12,23.203,SFO,,GNB,W 24-14,2,4,2.00,0,1,3,3.00,0
