ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,22.040,ATL,@,NOR,L 17-23,,,,,,,0.0%,,,,,,,,,,,
2,2013,2013-09-15,2,22.047,ATL,,STL,W 31-24,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0
3,2013,2013-09-22,3,22.054,ATL,@,MIA,L 23-27,*,1,1,2,2.00,1,100.0%,2.00,0,0,,0,,1,6,0.0,0,0
4,2013,2013-09-29,4,22.061,ATL,,NWE,L 23-30,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,,0,0,0.0,0,0
5,2013,2013-10-07,5,22.069,ATL,,NYJ,L 28-30,,2,2,15,7.50,1,100.0%,7.50,0,0,,0,,1,6,0.0,0,0
6,2013,2013-10-20,6,22.082,ATL,,TAM,W 31-23,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
7,2013,2013-10-27,7,22.089,ATL,@,ARI,L 13-27,,3,3,6,2.00,0,100.0%,2.00,0,0,,0,,0,0,0.0,0,0
8,2013,2013-11-03,8,22.096,ATL,@,CAR,L 10-34,,,,,,,0.0%,,,,,,,,,,,
9,2013,2013-11-10,9,22.103,ATL,,SEA,L 10-33,,,,,,,0.0%,,,,,,,,,,,
10,2013,2013-11-17,10,22.110,ATL,@,TAM,L 28-41,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,,0,0,0.0,0,0
11,2013,2013-11-21,11,22.114,ATL,,NOR,L 13-17,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0
12,2013,2013-12-01,12,22.124,ATL,@,BUF,W 34-31,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,,0,0,0.0,0,0
13,2013,2013-12-08,13,22.131,ATL,@,GNB,L 21-22,,,,,,,0.0%,,,,,,,,,,,
14,2013,2013-12-15,14,22.138,ATL,,WAS,W 27-26,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
15,2013,2013-12-23,15,22.146,ATL,@,SFO,L 24-34,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
16,2013,2013-12-29,16,22.152,ATL,,CAR,L 20-21,*,,,,,,0.0%,,,,,,,,,,,
17,2014,2014-09-07,1,23.039,ATL,,NOR,W 37-34,*,6,3,19,6.33,1,50.0%,3.17,0,0,,0,,1,6,0.0,0,0
18,2014,2014-09-14,2,23.046,ATL,@,CIN,L 10-24,*,3,2,13,6.50,0,66.7%,4.33,0,0,,0,,0,0,0.0,1,0
19,2014,2014-09-18,3,23.050,ATL,,TAM,W 56-14,*,3,2,25,12.50,0,66.7%,8.33,0,0,,0,,0,0,0.0,0,0
20,2014,2014-09-28,4,23.060,ATL,@,MIN,L 28-41,*,2,1,12,12.00,0,50.0%,6.00,0,0,,0,,0,0,0.0,0,0
21,2014,2014-10-05,5,23.067,ATL,@,NYG,L 20-30,*,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
22,2014,2014-10-12,6,23.074,ATL,,CHI,L 13-27,*,6,3,34,11.33,0,50.0%,5.67,1,0,0.00,0,,0,0,0.0,0,0
23,2014,2014-10-19,7,23.081,ATL,@,BAL,L 7-29,*,5,2,20,10.00,0,40.0%,4.00,0,0,,0,,0,0,0.0,0,0
24,2014,2014-10-26,8,23.088,ATL,,DET,L 21-22,*,2,2,26,13.00,0,100.0%,13.00,0,0,,0,,0,0,0.0,0,0
25,2014,2014-11-09,9,23.102,ATL,@,TAM,W 27-17,*,,,,,,0.0%,,,,,,,,,,,
