ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
26,2014,2014-11-16,10,23.109,ATL,@,CAR,W 19-17,*,4,2,23,11.50,0,50.0%,5.75,0,0,,0,,0,0,0.0,0,0
27,2014,2014-11-23,11,23.116,ATL,,CLE,L 24-26,*,3,2,17,8.50,0,66.7%,5.67,0,0,,0,,0,0,0.0,0,0
28,2014,2014-11-30,12,23.123,ATL,,ARI,W 29-18,*,6,4,15,3.75,1,66.7%,2.50,0,0,,0,,1,6,0.0,1,0
29,2014,2014-12-08,13,23.131,ATL,@,GNB,L 37-43,*,3,1,-1,-1.00,0,33.3%,-0.33,0,0,,0,,0,0,0.0,0,0
30,2014,2014-12-14,14,23.137,ATL,,PIT,L 20-27,*,2,1,4,4.00,0,50.0%,2.00,0,0,,0,,0,0,0.0,0,0
31,2014,2014-12-21,15,23.144,ATL,@,NOR,W 30-14,*,4,4,17,4.25,0,100.0%,4.25,0,0,,0,,0,0,0.0,0,0
32,2014,2014-12-28,16,23.151,ATL,,CAR,L 3-34,*,3,2,14,7.00,0,66.7%,4.67,0,0,,0,,0,0,0.0,1,0
33,2015,2015-09-14,1,24.046,ATL,,PHI,W 26-24,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0
34,2015,2015-09-20,2,24.052,ATL,@,NYG,W 24-20,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
35,2015,2015-09-27,3,24.059,ATL,@,DAL,W 39-28,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,1,0,2,0.0,0,0
36,2015,2015-10-04,4,24.066,ATL,,HOU,W 48-21,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
37,2015,2015-10-11,5,24.073,ATL,,WAS,W 25-19,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
38,2015,2015-10-15,6,24.077,ATL,@,NOR,L 21-31,*,3,2,18,9.00,0,66.7%,6.00,0,0,,0,,0,0,0.0,0,0
39,2015,2015-10-25,7,24.087,ATL,@,TEN,W 10-7,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
40,2015,2015-11-01,8,24.094,ATL,,TAM,L 20-23,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0
41,2015,2015-11-08,9,24.101,ATL,@,SFO,L 16-17,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,0,0,0.0,0,0
42,2015,2015-11-22,10,24.115,ATL,,IND,L 21-24,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
43,2015,2015-11-29,11,24.122,ATL,,MIN,L 10-20,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
44,2015,2015-12-06,12,24.129,ATL,@,TAM,L 19-23,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
45,2015,2015-12-13,13,24.136,ATL,@,CAR,L 0-38,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
46,2015,2015-12-20,14,24.143,ATL,@,JAX,W 23-17,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
47,2015,2015-12-27,15,24.150,ATL,,CAR,W 20-13,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
48,2015,2016-01-03,16,24.157,ATL,,NOR,L 17-20,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,0,0
49,2016,2016-09-11,1,25.043,ATL,,TAM,L 24-31,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
50,2016,2016-09-18,2,25.050,ATL,@,OAK,W 35-28,,2,2,21,10.50,0,100.0%,10.50,0,0,,0,,0,0,0.0,0,0
51,2016,2016-09-26,3,25.058,ATL,@,NOR,W 45-32,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
52,2016,2016-10-02,4,25.064,ATL,,CAR,W 48-33,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
53,2016,2016-10-09,5,25.071,ATL,@,DEN,W 23-16,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
54,2016,2016-10-16,6,25.078,ATL,@,SEA,L 24-26,,4,3,69,23.00,1,75.0%,17.25,0,0,,0,,1,6,0.0,0,0
55,2016,2016-10-23,7,25.085,ATL,,SDG,L 30-33,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0
56,2016,2016-10-30,8,25.092,ATL,,GNB,W 33-32,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
57,2016,2016-11-03,9,25.096,ATL,@,TAM,W 43-28,*,1,1,32,32.00,1,100.0%,32.00,0,0,,0,,1,6,0.0,0,0
58,2016,2016-11-13,10,25.106,ATL,@,PHI,L 15-24,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
59,2016,2016-11-27,11,25.120,ATL,,ARI,W 38-19,*,1,1,18,18.00,0,100.0%,18.00,0,0,,0,,0,0,0.0,0,0
60,2016,2016-12-04,12,25.127,ATL,,KAN,L 28-29,*,1,1,42,42.00,0,100.0%,42.00,0,0,,0,,0,0,0.0,0,0
61,2016,2016-12-11,13,25.134,ATL,@,LAR,W 42-14,*,1,1,19,19.00,0,100.0%,19.00,0,0,,0,,0,0,0.0,0,0
62,2016,2016-12-18,14,25.141,ATL,,SFO,W 41-13,*,1,1,30,30.00,0,100.0%,30.00,0,0,,0,,0,0,0.0,0,0
63,2016,2016-12-24,15,25.147,ATL,@,CAR,W 33-16,*,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,0,0,0.0,0,0
64,2016,2017-01-01,16,25.155,ATL,,NOR,W 38-32,*,3,1,18,18.00,0,33.3%,6.00,0,0,,0,,0,0,0.0,0,0
65,2017,2017-09-10,1,26.042,ATL,@,CHI,W 23-17,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
66,2017,2017-09-17,2,26.049,ATL,,GNB,W 34-23,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
67,2017,2017-09-24,3,26.056,ATL,@,DET,W 30-26,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
68,2017,2017-10-01,4,26.063,ATL,,BUF,L 17-23,*,3,3,21,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0
69,2017,2017-10-15,5,26.077,ATL,,MIA,L 17-20,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
70,2017,2017-10-22,6,26.084,ATL,@,NWE,L 7-23,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
71,2017,2017-10-29,7,26.091,ATL,@,NYJ,W 25-20,*,3,2,20,10.00,0,66.7%,6.67,0,0,,0,,0,0,0.0,0,0
72,2017,2017-11-05,8,26.098,ATL,@,CAR,L 17-20,*,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0
73,2017,2017-11-12,9,26.105,ATL,,DAL,W 27-7,*,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,0,0,0.0,0,0
74,2017,2017-11-20,10,26.113,ATL,@,SEA,W 34-31,*,2,2,31,15.50,1,100.0%,15.50,0,0,,0,,1,6,0.0,0,0
75,2017,2017-11-26,11,26.119,ATL,,TAM,W 34-20,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
76,2017,2017-12-03,12,26.126,ATL,,MIN,L 9-14,*,2,2,25,12.50,0,100.0%,12.50,0,0,,0,,0,0,0.0,0,0
77,2017,2017-12-07,13,26.130,ATL,,NOR,W 20-17,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0
78,2017,2017-12-18,14,26.141,ATL,@,TAM,W 24-21,*,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
79,2017,2017-12-24,15,26.147,ATL,@,NOR,L 13-23,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
80,2018,2018-09-10,1,27.042,DET,,NYJ,L 17-48,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0
81,2018,2018-09-16,2,27.048,DET,@,SFO,L 27-30,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
82,2018,2018-09-23,3,27.055,DET,,NWE,W 26-10,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
