ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1971,1971-09-19,1,22.186,NOR,,RAM,W 24-20,1,14,14.00,0,0,0,,0
2,1971,1971-09-26,2,22.193,NOR,,SFO,L 20-38,,,,,,,,
3,1971,1971-10-03,3,22.200,NOR,@,HOU,T 13-13,,,,,,,,
4,1971,1971-10-10,4,22.207,NOR,@,CHI,L 14-35,1,6,6.00,0,0,0,,0
5,1971,1971-10-17,5,22.214,NOR,,DAL,W 24-14,,,,,,,,
6,1971,1971-10-24,6,22.221,NOR,@,ATL,L 6-28,,,,,,,,
7,1971,1971-10-31,7,22.228,NOR,@,WAS,L 14-24,,,,,,,,
8,1971,1971-11-07,8,22.235,NOR,,OAK,T 21-21,,,,,,,,
9,1971,1971-11-14,9,22.242,NOR,@,SFO,W 26-20,1,16,16.00,0,0,0,,0
10,1971,1971-11-21,10,22.249,NOR,,MIN,L 10-23,,,,,,,,
11,1971,1971-11-28,11,22.256,NOR,@,GNB,W 29-21,0,0,,0,1,5,5.00,0
12,1971,1971-12-05,12,22.263,NOR,@,RAM,L 28-45,,,,,,,,
13,1971,1971-12-12,13,22.270,NOR,,CLE,L 17-21,,,,,,,,
14,1971,1971-12-19,14,22.277,NOR,,ATL,L 20-24,,,,,,,,
