ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2008,2008-09-07,1,23.228,HOU,@,PIT,L 17-38,,0,0,,0,0.0,0,1,0,0,0
2,2008,2008-09-21,2,23.242,HOU,@,TEN,L 12-31,,0,0,,0,0.0,0,0,0,0,0
3,2008,2008-09-28,3,23.249,HOU,@,JAX,L 27-30,,0,0,,0,0.0,0,0,0,0,0
4,2008,2008-10-05,4,23.256,HOU,,IND,L 27-31,,,,,,,,,,,
5,2008,2008-10-12,5,23.263,HOU,,MIA,W 29-28,,0,0,,0,0.0,1,1,0,0,0
6,2008,2008-10-19,6,23.270,HOU,,DET,W 28-21,,0,0,,0,0.0,0,0,0,0,0
7,2008,2008-10-26,7,23.277,HOU,,CIN,W 35-6,,0,0,,0,0.0,0,0,0,0,0
8,2008,2008-11-02,8,23.284,HOU,@,MIN,L 21-28,,,,,,,,,,,
9,2008,2008-11-09,9,23.291,HOU,,BAL,L 13-41,,0,0,,0,0.0,0,0,0,0,0
10,2008,2008-11-16,10,23.298,HOU,@,IND,L 27-33,,0,0,,0,0.0,0,1,0,0,0
11,2008,2008-11-23,11,23.305,HOU,@,CLE,W 16-6,,0,0,,0,0.0,0,0,0,0,0
12,2008,2008-12-01,12,23.313,HOU,,JAX,W 30-17,,0,0,,0,0.0,0,0,0,0,0
13,2008,2008-12-07,13,23.319,HOU,@,GNB,W 24-21,,0,0,,0,0.0,0,0,0,0,0
14,2008,2008-12-14,14,23.326,HOU,,TEN,W 13-12,,,,,,,,,,,
15,2009,2009-09-13,1,24.233,HOU,,NYJ,L 7-24,,0,0,,0,0.0,0,1,0,0,0
16,2009,2009-10-25,7,24.275,HOU,,SFO,W 24-21,,,,,,,,,,,
17,2009,2009-11-01,8,24.282,HOU,@,BUF,W 31-10,,,,,,,,,,,
18,2009,2009-11-08,9,24.289,HOU,@,IND,L 17-20,,0,0,,0,0.0,0,0,0,0,0
19,2010,2010-09-26,3,25.246,HOU,,DAL,L 13-27,,,,,,,,,,,
20,2010,2010-10-03,4,25.253,HOU,@,OAK,W 31-24,,,,,,,,,,,
21,2010,2010-10-10,5,25.260,HOU,,NYG,L 10-34,,0,0,,0,0.0,0,0,0,0,0
22,2010,2010-10-17,6,25.267,HOU,,KAN,W 35-31,,0,0,,0,0.0,0,0,0,0,0
23,2010,2010-11-01,7,25.282,HOU,@,IND,L 17-30,,1,0,0.00,0,0.0,0,0,0,0,0
24,2010,2010-11-07,8,25.288,HOU,,SDG,L 23-29,,0,0,,0,0.0,0,1,0,0,0
25,2010,2010-11-14,9,25.295,HOU,@,JAX,L 24-31,,,,,,,,,,,
26,2010,2010-11-21,10,25.302,HOU,@,NYJ,L 27-30,,,,,,,,,,,
27,2010,2010-11-28,11,25.309,HOU,,TEN,W 20-0,,,,,,,,,,,
28,2010,2010-12-02,12,25.313,HOU,@,PHI,L 24-34,,0,0,,0,0.0,0,0,0,0,0
29,2010,2010-12-13,13,25.324,HOU,,BAL,L 28-34,,,,,,,,,,,
30,2010,2010-12-19,14,25.330,HOU,@,TEN,L 17-31,,,,,,,,,,,
31,2010,2010-12-26,15,25.337,HOU,@,DEN,L 23-24,,0,0,,0,0.0,0,0,0,0,0
32,2010,2011-01-02,16,25.344,HOU,,JAX,W 34-17,,,,,,,,,,,
33,2011,2011-09-12,1,26.232,NWE,@,MIA,W 38-24,,,,,,,,,,,
34,2011,2011-09-18,2,26.238,NWE,,SDG,W 35-21,,,,,,,,,,,
35,2011,2011-09-25,3,26.245,NWE,@,BUF,L 31-34,,0,0,,0,0.0,0,1,0,0,0
36,2011,2011-10-02,4,26.252,NWE,@,OAK,W 31-19,,0,0,,0,0.0,2,0,0,0,0
37,2011,2011-10-09,5,26.259,NWE,,NYJ,W 30-21,,0,0,,0,0.0,0,1,0,0,0
38,2011,2011-10-16,6,26.266,NWE,,DAL,W 20-16,,0,0,,0,0.0,2,1,0,0,0
39,2011,2011-10-30,7,26.280,NWE,@,PIT,L 17-25,,0,0,,0,0.0,0,5,0,0,0
40,2011,2011-11-06,8,26.287,NWE,,NYG,L 20-24,,,,,,,,,,,
41,2011,2011-11-13,9,26.294,NWE,@,NYJ,W 37-16,,0,0,,0,0.0,3,0,0,0,0
42,2011,2011-11-21,10,26.302,NWE,,KAN,W 34-3,*,0,0,,0,0.0,4,1,0,0,0
43,2011,2011-11-27,11,26.308,NWE,@,PHI,W 38-20,*,0,0,,0,0.0,3,1,1,27,0
44,2011,2011-12-04,12,26.315,NWE,,IND,W 31-24,,0,0,,0,0.0,0,0,0,0,0
45,2011,2011-12-11,13,26.322,NWE,@,WAS,W 34-27,,,,,,,,,,,
46,2011,2011-12-18,14,26.329,NWE,@,DEN,W 41-23,,0,0,,0,0.0,0,1,0,0,0
47,2011,2011-12-24,15,26.335,NWE,,MIA,W 27-24,,,,,,,,,,,
48,2011,2012-01-01,16,26.343,NWE,,BUF,W 49-21,,0,0,,0,0.0,6,0,1,13,0
49,2012,2012-12-02,12,27.314,JAX,@,BUF,L 18-34,,,,,,,,,,,
50,2012,2012-12-09,13,27.321,JAX,,NYJ,L 10-17,,,,,,,,,,,
51,2012,2012-12-16,14,27.328,JAX,@,MIA,L 3-24,,0,0,,0,0.0,0,0,0,0,0
