ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1970,1970-09-20,1,21.274,BOS,,MIA,W 27-14,0,0,,0,0,0,,0,1,12,12.00,0,0,0,,0
2,1970,1970-09-27,2,21.281,BOS,,NYJ,L 21-31,0,0,,0,0,0,,0,1,26,26.00,0,0,0,,0
3,1970,1970-10-04,3,21.288,BOS,,BAL,L 6-14,2,15,7.50,0,2,22,11.00,0,1,16,16.00,0,0,0,,0
4,1970,1970-10-11,4,21.295,BOS,@,KAN,L 10-23,6,11,1.83,0,0,0,,0,2,47,23.50,0,0,0,,0
5,1970,1970-10-18,5,21.302,BOS,,NYG,L 0-16,0,0,,0,0,0,,0,1,17,17.00,0,0,0,,0
6,1970,1970-10-25,6,21.309,BOS,@,BAL,L 3-27,1,4,4.00,0,0,0,,0,2,39,19.50,0,0,0,,0
7,1970,1970-11-01,7,21.316,BOS,,BUF,L 10-45,0,0,,0,1,5,5.00,0,4,96,24.00,0,0,0,,0
8,1970,1970-11-08,8,21.323,BOS,@,STL,L 0-31,5,7,1.40,0,0,0,,0,2,62,31.00,0,0,0,,0
9,1970,1970-11-15,9,21.330,BOS,,SDG,L 14-16,18,45,2.50,0,1,14,14.00,0,1,52,52.00,0,0,0,,0
10,1970,1970-11-22,10,21.337,BOS,@,NYJ,L 3-17,8,9,1.13,0,1,15,15.00,0,4,68,17.00,0,0,0,,0
11,1970,1970-11-29,11,21.344,BOS,@,BUF,W 14-10,12,4,0.33,0,5,49,9.80,0,1,23,23.00,0,0,0,,0
12,1970,1970-12-06,12,21.351,BOS,@,MIA,L 20-37,4,4,1.00,0,1,8,8.00,0,2,44,22.00,0,1,0,0.00,0
13,1970,1970-12-13,13,21.358,BOS,,MIN,L 14-35,,,,,,,,,,,,,,,,
14,1970,1970-12-20,14,22.000,BOS,@,CIN,L 7-45,0,0,,0,0,0,,0,3,44,14.67,0,0,0,,0
15,1971,1971-09-19,1,22.273,NWE,,OAK,W 20-6,8,8,1.00,0,0,0,,0,0,0,,0,0,0,,0
16,1971,1971-09-26,2,22.280,NWE,,DET,L 7-34,0,0,,0,0,0,,0,2,47,23.50,0,0,0,,0
17,1973,1973-09-16,1,24.270,NOR,,ATL,L 7-62,2,8,4.00,0,1,-9,-9.00,0,0,0,,0,0,0,,0
18,1973,1973-09-24,2,24.278,NOR,@,DAL,L 3-40,3,12,4.00,0,0,0,,0,2,49,24.50,0,0,0,,0
19,1973,1973-09-30,3,24.284,NOR,@,BAL,L 10-14,,,,,,,,,,,,,,,,
20,1973,1973-10-07,4,24.291,NOR,,CHI,W 21-16,,,,,,,,,,,,,,,,
21,1973,1973-10-14,5,24.298,NOR,,DET,W 20-13,0,0,,0,0,0,,0,2,24,12.00,0,0,0,,0
22,1973,1973-10-21,6,24.305,NOR,@,SFO,L 0-40,1,3,3.00,0,1,4,4.00,0,2,24,12.00,0,0,0,,0
23,1973,1973-10-28,7,24.312,NOR,,WAS,W 19-3,,,,,,,,,,,,,,,,
24,1973,1973-11-04,8,24.319,NOR,,BUF,W 13-0,,,,,,,,,,,,,,,,
25,1973,1973-11-11,9,24.326,NOR,@,RAM,L 7-29,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0
26,1973,1973-11-18,10,24.333,NOR,@,SDG,L 14-17,,,,,,,,,,,,,,,,
27,1973,1973-11-25,11,24.340,NOR,,RAM,L 13-24,,,,,,,,,,,,,,,,
28,1973,1973-12-02,12,24.347,NOR,@,GNB,L 10-30,,,,,,,,,,,,,,,,
29,1974,1974-09-15,1,25.269,NOR,,SFO,L 13-17,,,,,,,,,,,,,,,,
30,1974,1974-09-22,2,25.276,NOR,@,RAM,L 0-24,,,,,,,,,,,,,,,,
31,1974,1974-09-29,3,25.283,NOR,,ATL,W 14-13,,,,,,,,,,,,,,,,
32,1974,1974-10-06,4,25.290,NOR,@,CHI,L 10-24,,,,,,,,,,,,,,,,
33,1974,1974-10-13,5,25.297,NOR,@,DEN,L 17-33,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0
34,1974,1974-10-20,6,25.304,NOR,@,ATL,W 13-3,,,,,,,,,,,,,,,,
35,1974,1974-10-27,7,25.311,NOR,,PHI,W 14-10,,,,,,,,,,,,,,,,
36,1974,1974-11-03,8,25.318,NOR,@,DET,L 14-19,,,,,,,,,,,,,,,,
37,1974,1974-11-10,9,25.325,NOR,,MIA,L 0-21,,,,,,,,,,,,,,,,
