ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2015,2015-09-13,1,22.294,IND,@,BUF,L 14-27,,0,0,,0,,0,0,0.0,0,0
2,2015,2015-10-18,6,22.329,IND,,NWE,L 27-34,,0,0,,0,,0,0,0.0,0,0
3,2015,2015-10-25,7,22.336,IND,,NOR,L 21-27,,0,0,,0,,0,0,0.0,0,2
4,2015,2015-11-02,8,22.344,IND,@,CAR,L 26-29,,0,0,,0,,0,0,0.0,0,0
5,2015,2015-11-08,9,22.350,IND,,DEN,W 27-24,,0,0,,0,,0,0,0.0,1,0
6,2015,2015-11-22,10,22.364,IND,@,ATL,W 24-21,,0,0,,0,,0,0,0.0,1,0
7,2015,2015-11-29,11,23.006,IND,,TAM,W 25-12,,0,0,,0,,0,0,0.0,1,0
8,2015,2015-12-06,12,23.013,IND,@,PIT,L 10-45,,1,15,15.00,0,,0,0,0.0,1,0
9,2015,2015-12-13,13,23.020,IND,@,JAX,L 16-51,,0,0,,0,,0,0,0.0,0,1
10,2015,2015-12-20,14,23.027,IND,,HOU,L 10-16,,0,0,,0,,0,0,0.0,1,0
11,2015,2015-12-27,15,23.034,IND,@,MIA,W 18-12,,0,0,,0,1,0,2,2.0,2,0
12,2015,2016-01-03,16,23.041,IND,,TEN,W 30-24,,0,0,,0,,0,0,1.0,1,0
13,2016,2016-09-11,1,23.293,IND,,DET,L 35-39,,0,0,,0,,0,0,0.0,0,0
14,2016,2016-09-18,2,23.300,IND,@,DEN,L 20-34,,0,0,,0,,0,0,0.0,0,0
15,2016,2016-10-09,5,23.321,IND,,CHI,W 29-23,,0,0,,0,,0,0,0.0,1,0
16,2016,2016-10-23,7,23.335,IND,@,TEN,W 34-26,,0,0,,0,,0,0,1.0,1,0
17,2016,2016-10-30,8,23.342,IND,,KAN,L 14-30,,0,0,,0,,0,0,0.0,0,0
18,2016,2016-11-06,9,23.349,IND,@,GNB,W 31-26,,0,0,,0,,0,0,0.0,0,0
19,2016,2016-11-20,10,23.363,IND,,TEN,W 24-17,,0,0,,0,,0,0,0.0,0,0
20,2016,2016-11-24,11,24.001,IND,,PIT,L 7-28,,0,0,,0,,0,0,0.0,0,1
21,2016,2016-12-05,12,24.012,IND,@,NYJ,W 41-10,,0,0,,0,,0,0,0.0,0,0
22,2016,2016-12-11,13,24.018,IND,,HOU,L 17-22,,0,0,,0,,0,0,0.0,0,0
23,2016,2016-12-18,14,24.025,IND,@,MIN,W 34-6,,0,0,,0,,0,0,1.0,1,0
24,2016,2016-12-24,15,24.031,IND,@,OAK,L 25-33,,0,0,,0,,0,0,0.0,0,0
25,2016,2017-01-01,16,24.039,IND,,JAX,W 24-20,,0,0,,0,,0,0,0.0,1,1
26,2017,2017-10-01,4,24.312,CLE,,CIN,L 7-31,,0,0,,0,,0,0,0.0,0,0
27,2017,2017-10-29,8,24.340,CLE,,MIN,L 16-33,,0,0,,0,,0,0,0.0,1,0
28,2017,2017-12-10,13,25.017,CLE,,GNB,L 21-27,,0,0,,0,,0,0,0.0,0,0
