ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2011,2011-09-18,2,22.114,TAM,@,MIN,W 24-20,,,,,,,0.0%,,,,,
2,2011,2011-09-25,3,22.121,TAM,,ATL,W 16-13,,,,,,,0.0%,,,,,
3,2011,2011-10-09,5,22.135,TAM,@,SFO,L 3-48,,,,,,,0.0%,,,,,
4,2011,2011-10-16,6,22.142,TAM,,NOR,W 26-20,,1,1,9,9.00,0,100.0%,9.00,0,0,,0
5,2011,2011-11-06,8,22.163,TAM,@,NOR,L 16-27,,2,2,24,12.00,0,100.0%,12.00,0,0,,0
6,2011,2011-11-13,9,22.170,TAM,,HOU,L 9-37,,1,0,0,,0,0.0%,0.00,0,0,,0
7,2011,2011-11-20,10,22.177,TAM,@,GNB,L 26-35,,,,,,,0.0%,,,,,
8,2011,2011-11-27,11,22.184,TAM,@,TEN,L 17-23,,,,,,,0.0%,,,,,
9,2011,2011-12-04,12,22.191,TAM,,CAR,L 19-38,,,,,,,0.0%,,,,,
10,2011,2011-12-11,13,22.198,TAM,@,JAX,L 14-41,,,,,,,0.0%,,,,,
11,2011,2011-12-17,14,22.204,TAM,,DAL,L 15-31,,1,1,7,7.00,0,100.0%,7.00,1,0,0.00,0
12,2011,2011-12-24,15,22.211,TAM,@,CAR,L 16-48,,,,,,,0.0%,,,,,
13,2011,2012-01-01,16,22.219,TAM,@,ATL,L 24-45,,,,,,,0.0%,,,,,
