ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2011,2011-09-19,2,25.229,STL,@,NYG,L 16-28,,4,90,22.50,0,0,0,,0,0.0,0,0
2,2011,2011-10-02,4,25.242,STL,,WAS,L 10-17,,1,13,13.00,0,1,1,1.00,0,0.0,0,0
3,2011,2011-10-16,5,25.256,STL,@,GNB,L 3-24,,2,40,20.00,0,0,0,,0,0.0,0,0
4,2011,2011-10-23,6,25.263,STL,@,DAL,L 7-34,,5,114,22.80,0,0,0,,0,0.0,0,0
5,2011,2011-10-30,7,25.270,STL,,NOR,W 31-21,,0,0,,0,0,0,,0,0.0,0,0
6,2011,2011-11-06,8,25.277,STL,@,ARI,L 13-19,,3,55,18.33,0,0,0,,0,0.0,0,1
7,2011,2011-11-13,9,25.284,STL,@,CLE,W 13-12,,3,52,17.33,0,0,0,,0,0.0,0,0
8,2011,2011-11-20,10,25.291,STL,,SEA,L 7-24,,1,30,30.00,0,0,0,,0,0.0,0,0
9,2011,2011-11-27,11,25.298,STL,,ARI,L 20-23,,5,137,27.40,0,0,0,,0,0.0,0,0
10,2011,2011-12-04,12,25.305,STL,@,SFO,L 0-26,,1,23,23.00,0,0,0,,0,0.0,0,0
11,2011,2011-12-24,15,25.325,STL,@,PIT,L 0-27,,,,,,,,,,,,
12,2011,2012-01-01,16,25.333,STL,,SFO,L 27-34,,0,0,,0,0,0,,0,0.0,0,0
