ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,23.181,DEN,@,JAX,L 17-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2010,2010-09-19,2,23.188,DEN,,SEA,W 31-14,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2010,2010-10-03,4,23.202,DEN,@,TEN,W 26-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2010,2010-10-17,6,23.216,DEN,,NYJ,L 20-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2010,2010-10-24,7,23.223,DEN,,OAK,L 14-59,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,1,23,23.00,0,0,0,,0,0,0,0.0,0,0
6,2010,2010-10-31,8,23.230,DEN,@,SFO,L 16-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2010,2010-11-14,9,23.244,DEN,,KAN,W 49-29,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2010,2010-11-22,10,23.252,DEN,@,SDG,L 14-35,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2010,2010-11-28,11,23.258,DEN,,STL,L 33-36,,2,2,48,24.00,0,100.0%,24.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,1
10,2010,2010-12-05,12,23.265,DEN,@,KAN,L 6-10,,1,1,28,28.00,0,100.0%,28.00,0,0,,0,0,0,,0,0,0,,,,,,2,42,21.00,0,0,0,,0,0,0,0.0,0,0
11,2010,2010-12-12,13,23.272,DEN,@,ARI,L 13-43,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,7,211,30.14,0,0,0,,0,0,0,0.0,0,0
12,2010,2010-12-19,14,23.279,DEN,@,OAK,L 23-39,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,7,153,21.86,0,0,0,,0,0,0,0.0,0,0
13,2010,2010-12-26,15,23.286,DEN,,HOU,W 24-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,25,25.00,0,0,0,,0,0,0,0.0,0,0
14,2010,2011-01-02,16,23.293,DEN,,SDG,L 28-33,,3,2,22,11.00,1,66.7%,7.33,0,0,,0,0,0,,0,0,0,,,,,,4,102,25.50,0,0,0,,0,1,6,0.0,0,0
15,2011,2011-09-12,1,24.181,DEN,,OAK,L 20-23,,6,3,53,17.67,0,50.0%,8.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,128,25.60,1,0,6,0.0,0,0
16,2011,2011-09-18,2,24.187,DEN,,CIN,W 24-22,*,9,5,113,22.60,2,55.6%,12.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0.0,0,0
17,2011,2011-09-25,3,24.194,DEN,@,TEN,L 14-17,*,13,7,48,6.86,0,53.8%,3.69,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,2,0
18,2011,2011-10-02,4,24.201,DEN,@,GNB,L 23-49,,10,5,56,11.20,2,50.0%,5.60,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0.0,0,0
19,2011,2011-10-09,5,24.208,DEN,,SDG,L 24-29,,5,2,-4,-2.00,0,40.0%,-0.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2011,2011-10-23,6,24.222,DEN,@,MIA,W 18-15,*,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2011,2011-10-30,7,24.229,DEN,,DET,L 10-45,*,12,6,72,12.00,1,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0
22,2011,2011-11-06,8,24.236,DEN,@,OAK,W 38-24,*,5,3,47,15.67,1,60.0%,9.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0
23,2011,2011-11-13,9,24.243,DEN,@,KAN,W 17-10,*,3,1,56,56.00,1,33.3%,18.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0
24,2011,2011-11-17,10,24.247,DEN,,NYJ,W 17-13,*,5,0,0,,0,0.0%,0.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,5,5.00,0,0,0,0.0,0,0
25,2011,2011-11-27,11,24.257,DEN,@,SDG,W 16-13,*,6,3,65,21.67,1,50.0%,10.83,0,0,,0,0,0,,0,0,0,,0,0,,,2,50,25.00,0,0,0,,0,1,6,0.0,0,0
26,2011,2011-12-04,12,24.264,DEN,@,MIN,W 35-32,*,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
