ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2015,2015-09-27,3,21.055,STL,,PIT,L 6-12,,6,9,1.50,0,1,1,5,5.00,0,100.0%,5.00,,0,0
2,2015,2015-10-04,4,21.062,STL,@,ARI,W 24-22,*,19,146,7.68,0,2,2,15,7.50,0,100.0%,7.50,,0,0
3,2015,2015-10-11,5,21.069,STL,@,GNB,L 10-24,*,30,159,5.30,0,0,0,0,,0,0.0%,,,0,0
4,2015,2015-10-25,6,21.083,STL,,CLE,W 24-6,*,19,128,6.74,2,5,4,35,8.75,0,80.0%,7.00,,2,12
5,2015,2015-11-01,7,21.090,STL,,SFO,W 27-6,*,20,133,6.65,1,3,3,13,4.33,0,100.0%,4.33,,1,6
6,2015,2015-11-08,8,21.097,STL,@,MIN,L 18-21,*,24,89,3.71,1,5,3,20,6.67,0,60.0%,4.00,,1,6
7,2015,2015-11-15,9,21.104,STL,,CHI,L 13-37,*,12,45,3.75,1,3,3,44,14.67,0,100.0%,14.67,,1,6
8,2015,2015-11-22,10,21.111,STL,@,BAL,L 13-16,*,25,66,2.64,1,0,0,0,,0,0.0%,,,1,6
9,2015,2015-11-29,11,21.118,STL,@,CIN,L 7-31,*,9,19,2.11,0,2,1,11,11.00,0,50.0%,5.50,,0,0
10,2015,2015-12-06,12,21.125,STL,,ARI,L 3-27,*,9,41,4.56,0,0,0,0,,0,0.0%,,,0,0
11,2015,2015-12-13,13,21.132,STL,,DET,W 21-14,*,16,140,8.75,2,2,1,7,7.00,0,50.0%,3.50,,2,12
12,2015,2015-12-17,14,21.136,STL,,TAM,W 31-23,*,21,48,2.29,1,2,2,31,15.50,0,100.0%,15.50,,1,6
13,2015,2015-12-27,15,21.146,STL,@,SEA,W 23-17,*,19,83,4.37,1,1,1,7,7.00,0,100.0%,7.00,,1,6
14,2016,2016-09-12,1,22.040,LAR,@,SFO,L 0-28,*,17,47,2.76,0,3,1,-5,-5.00,0,33.3%,-1.67,,0,0
15,2016,2016-09-18,2,22.046,LAR,,SEA,W 9-3,*,19,51,2.68,0,1,1,19,19.00,0,100.0%,19.00,,0,0
16,2016,2016-09-25,3,22.053,LAR,@,TAM,W 37-32,*,27,85,3.15,2,2,1,-5,-5.00,0,50.0%,-2.50,,2,12
17,2016,2016-10-02,4,22.060,LAR,@,ARI,W 17-13,*,19,33,1.74,0,5,5,49,9.80,0,100.0%,9.80,,0,0
18,2016,2016-10-09,5,22.067,LAR,,BUF,L 19-30,*,23,72,3.13,1,5,3,36,12.00,0,60.0%,7.20,,1,6
19,2016,2016-10-16,6,22.074,LAR,@,DET,L 28-31,*,14,58,4.14,0,4,4,39,9.75,0,100.0%,9.75,,0,0
20,2016,2016-10-23,7,22.081,LAR,,NYG,L 10-17,*,15,57,3.80,0,7,6,35,5.83,0,85.7%,5.00,,0,0
21,2016,2016-11-06,8,22.095,LAR,,CAR,L 10-13,*,12,48,4.00,0,5,4,26,6.50,0,80.0%,5.20,,0,0
22,2016,2016-11-13,9,22.102,LAR,@,NYJ,W 9-6,*,21,64,3.05,0,1,1,8,8.00,0,100.0%,8.00,,0,0
23,2016,2016-11-20,10,22.109,LAR,,MIA,L 10-14,*,20,76,3.80,1,2,0,0,,0,0.0%,0.00,,1,6
24,2016,2016-11-27,11,22.116,LAR,@,NOR,L 21-49,*,13,50,3.85,0,4,4,39,9.75,0,100.0%,9.75,,0,0
25,2016,2016-12-04,12,22.123,LAR,@,NWE,L 10-26,*,11,38,3.45,0,3,2,9,4.50,0,66.7%,3.00,,0,0
26,2016,2016-12-11,13,22.130,LAR,,ATL,L 14-42,*,16,61,3.81,1,4,3,22,7.33,0,75.0%,5.50,,1,6
27,2016,2016-12-15,14,22.134,LAR,@,SEA,L 3-24,*,14,38,2.71,0,4,1,-2,-2.00,0,25.0%,-0.50,,0,0
28,2016,2016-12-24,15,22.143,LAR,,SFO,L 21-22,*,23,67,2.91,1,3,3,20,6.67,0,100.0%,6.67,,1,6
29,2016,2017-01-01,16,22.151,LAR,,ARI,L 6-44,*,14,40,2.86,0,5,4,37,9.25,0,80.0%,7.40,,0,0
30,2017,2017-09-10,1,23.038,LAR,,IND,W 46-9,*,19,40,2.11,1,6,5,56,11.20,0,83.3%,9.33,,1,6
31,2017,2017-09-17,2,23.045,LAR,,WAS,L 20-27,*,16,88,5.50,1,4,3,48,16.00,1,75.0%,12.00,,2,12
32,2017,2017-09-21,3,23.049,LAR,@,SFO,W 41-39,*,28,113,4.04,2,7,5,36,7.20,1,71.4%,5.14,,3,18
33,2017,2017-10-01,4,23.059,LAR,@,DAL,W 35-30,*,23,121,5.26,0,8,7,94,13.43,1,87.5%,11.75,,1,6
34,2017,2017-10-08,5,23.066,LAR,,SEA,L 10-16,*,14,43,3.07,0,4,2,7,3.50,0,50.0%,1.75,,0,0
35,2017,2017-10-15,6,23.073,LAR,@,JAX,W 27-17,*,23,116,5.04,0,1,1,4,4.00,0,100.0%,4.00,,0,0
36,2017,2017-10-22,7,23.080,LAR,,ARI,W 33-0,*,22,106,4.82,1,8,4,48,12.00,0,50.0%,6.00,,1,6
37,2017,2017-11-05,8,23.094,LAR,@,NYG,W 51-17,*,16,59,3.69,2,3,2,45,22.50,0,66.7%,15.00,,2,12
38,2017,2017-11-12,9,23.101,LAR,,HOU,W 33-7,*,11,68,6.18,0,7,6,68,11.33,0,85.7%,9.71,,0,0
39,2017,2017-11-19,10,23.108,LAR,@,MIN,L 7-24,*,15,37,2.47,1,4,3,19,6.33,0,75.0%,4.75,,1,6
40,2017,2017-11-26,11,23.115,LAR,,NOR,W 26-20,*,17,74,4.35,0,7,4,54,13.50,0,57.1%,7.71,,0,0
41,2017,2017-12-03,12,23.122,LAR,@,ARI,W 32-16,*,19,74,3.89,0,7,6,84,14.00,0,85.7%,12.00,,0,0
42,2017,2017-12-10,13,23.129,LAR,,PHI,L 35-43,*,13,96,7.38,2,5,3,39,13.00,0,60.0%,7.80,,2,12
43,2017,2017-12-17,14,23.136,LAR,@,SEA,W 42-7,*,21,152,7.24,3,3,3,28,9.33,1,100.0%,9.33,,4,24
44,2017,2017-12-24,15,23.143,LAR,@,TEN,W 27-23,*,22,118,5.36,0,13,10,158,15.80,2,76.9%,12.15,,2,12
45,2018,2018-09-10,1,24.038,LAR,@,OAK,W 33-13,*,20,108,5.40,0,5,3,39,13.00,1,60.0%,7.80,,1,6
46,2018,2018-09-16,2,24.044,LAR,,ARI,W 34-0,*,19,42,2.21,3,3,3,31,10.33,0,100.0%,10.33,2,3,22
47,2018,2018-09-23,3,24.051,LAR,,LAC,W 35-23,*,23,105,4.57,1,6,5,51,10.20,0,83.3%,8.50,,1,6
48,2018,2018-09-27,4,24.055,LAR,,MIN,W 38-31,*,17,83,4.88,0,6,4,73,18.25,1,66.7%,12.17,,1,6
