ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1996,1996-09-01,1,23.181,SEA,@,SDG,L 7-29,,,,,,,,,,,
2,1996,1996-09-08,2,23.188,SEA,,DEN,L 20-30,,,,,,,,,,,
3,1996,1996-09-15,3,23.195,SEA,,KAN,L 17-35,,,,,,,,,,,
4,1996,1996-09-22,4,23.202,SEA,@,TAM,W 17-13,,,,,,,,,,,
5,1996,1996-09-29,5,23.209,SEA,,GNB,L 10-31,,,,,,,,,,,
6,1996,1996-10-06,6,23.216,SEA,@,MIA,W 22-15,,0,0,,0,1.0,,,0,0,0
7,1996,1996-10-17,7,23.227,SEA,@,KAN,L 16-34,,,,,,,,,,,
8,1996,1996-10-27,8,23.237,SEA,,SDG,W 32-13,,,,,,,,,,,
9,1996,1996-11-03,9,23.244,SEA,,HOU,W 23-16,,,,,,,,,,,
10,1996,1996-11-10,10,23.251,SEA,,MIN,W 42-23,,,,,,,,,,,
11,1996,1996-11-17,11,23.258,SEA,@,DET,L 16-17,,,,,,,,,,,
12,1996,1996-11-24,12,23.265,SEA,,OAK,L 21-27,,,,,,,,,,,
13,1996,1996-12-01,13,23.272,SEA,@,DEN,L 7-34,,,,,,,,,,,
14,1996,1996-12-08,14,23.279,SEA,,BUF,W 26-18,,,,,,,,,,,
15,1996,1996-12-22,16,23.293,SEA,@,OAK,W 28-21,,0,0,,0,1.0,,,0,0,0
16,1997,1997-08-31,1,24.180,SEA,,NYJ,L 3-41,,0,0,,0,,,,,,
17,1997,1997-09-07,2,24.187,SEA,,DEN,L 14-35,,0,0,,0,,,,,,
18,1997,1997-09-14,3,24.194,SEA,@,IND,W 31-3,,0,0,,0,2.0,,,0,0,0
19,1997,1997-09-21,4,24.201,SEA,,SDG,W 26-22,,0,0,,0,,,,,,
20,1997,1997-10-26,8,24.236,SEA,,OAK,W 45-34,,0,0,,0,,,,,,
21,1997,1997-11-02,9,24.243,SEA,@,DEN,L 27-30,,1,-2,-2.00,0,0.0,,,0,0,0
22,1997,1997-11-09,10,24.250,SEA,@,SDG,W 37-31,,0,0,,0,1.0,,,0,0,0
23,1997,1997-11-16,11,24.257,SEA,@,NOR,L 17-20,,0,0,,0,,,,,,
24,1997,1997-11-23,12,24.264,SEA,,KAN,L 14-19,,0,0,,0,,,,,,
25,1997,1997-11-30,13,24.271,SEA,,ATL,L 17-24,,0,0,,0,,,,,,
26,1997,1997-12-07,14,24.278,SEA,@,BAL,L 24-31,,0,0,,0,,,,,,
27,1997,1997-12-14,15,24.285,SEA,@,OAK,W 22-21,,0,0,,0,1.0,,,0,0,0
28,1997,1997-12-21,16,24.292,SEA,,SFO,W 38-9,,0,0,,0,,,,,,
29,1998,1998-09-06,1,25.186,SEA,@,PHI,W 38-0,,0,0,,0,1.5,,,0,0,0
30,1998,1998-09-13,2,25.193,SEA,,ARI,W 33-14,,0,0,,0,0.5,,,0,0,0
31,1998,1998-11-01,8,25.242,SEA,,OAK,L 18-31,,0,0,,0,2.0,,,0,0,0
32,1998,1998-11-29,12,25.270,SEA,,TEN,W 20-18,,0,0,,0,1.0,,,0,0,0
33,1998,1998-12-27,16,25.298,SEA,@,DEN,L 21-28,,0,0,,0,1.5,,,0,0,0
34,1999,1999-09-12,1,26.192,SEA,,DET,L 20-28,*,0,0,,0,1.0,,,0,0,0
35,1999,1999-09-19,2,26.199,SEA,@,CHI,W 14-13,*,,,,,,,,,,
36,1999,1999-09-26,3,26.206,SEA,@,PIT,W 29-10,*,0,0,,0,1.0,,,0,0,0
37,1999,1999-10-03,4,26.213,SEA,,OAK,W 22-21,*,,,,,,,,,,
38,1999,1999-10-17,5,26.227,SEA,@,SDG,L 10-13,*,,,,,,,,,,
39,1999,1999-10-24,6,26.234,SEA,,BUF,W 26-16,*,0,0,,0,2.0,,,0,0,0
40,1999,1999-11-01,7,26.242,SEA,@,GNB,W 27-7,*,,,,,,,,,,
41,1999,1999-11-07,8,26.248,SEA,,CIN,W 37-20,*,0,0,,0,1.0,,,0,0,0
42,1999,1999-11-14,9,26.255,SEA,,DEN,W 20-17,*,,,,,,,,,,
43,1999,1999-11-21,10,26.262,SEA,@,KAN,W 31-19,*,,,,,,,,,,
44,1999,1999-11-28,11,26.269,SEA,,TAM,L 3-16,*,0,0,,0,1.0,,,0,0,0
45,1999,1999-12-05,12,26.276,SEA,@,OAK,L 21-30,*,,,,,,,,,,
46,1999,1999-12-12,13,26.283,SEA,,SDG,L 16-19,*,,,,,,,,,,
47,1999,1999-12-19,14,26.290,SEA,@,DEN,L 30-36,*,0,0,,0,2.0,,,0,0,0
48,1999,1999-12-26,15,26.297,SEA,,KAN,W 23-14,*,0,0,,0,1.0,,,0,0,0
49,1999,2000-01-02,16,26.304,SEA,@,NYJ,L 9-19,*,,,,,,,,,,
50,2000,2000-09-03,1,27.183,CHI,@,MIN,L 27-30,,0,0,,0,1.0,,,0,0,0
51,2000,2000-09-10,2,27.190,CHI,@,TAM,L 0-41,,0,0,,0,1.0,,,0,0,0
52,2000,2000-09-17,3,27.197,CHI,,NYG,L 7-14,*,,,,,,,,,,
53,2000,2000-09-24,4,27.204,CHI,,DET,L 14-21,*,0,0,,0,1.0,,,0,0,0
54,2000,2000-10-01,5,27.211,CHI,@,GNB,W 27-24,*,0,0,,0,1.0,,,0,0,0
55,2000,2000-10-08,6,27.218,CHI,,NOR,L 10-31,*,,,,,,,,,,
56,2000,2000-10-15,7,27.225,CHI,,MIN,L 16-28,*,,,,,,,,,,
57,2000,2000-10-22,8,27.232,CHI,@,PHI,L 9-13,*,,,,,,,,,,
58,2000,2000-11-05,9,27.246,CHI,,IND,W 27-24,*,0,0,,0,1.0,,,0,0,0
59,2000,2000-11-12,10,27.253,CHI,@,BUF,L 3-20,,,,,,,,,,,
60,2000,2000-11-19,11,27.260,CHI,,TAM,W 13-10,,0,0,,0,1.0,,,0,0,0
61,2000,2000-11-26,12,27.267,CHI,@,NYJ,L 10-17,,,,,,,,,,,
62,2000,2000-12-03,13,27.274,CHI,,GNB,L 6-28,*,,,,,,,,,,
63,2000,2000-12-10,14,27.281,CHI,,NWE,W 24-17,*,,,,,,,,,,
64,2001,2001-09-09,1,28.189,CHI,@,BAL,L 6-17,*,,,,,,,,,,
65,2001,2001-09-23,2,28.203,CHI,,MIN,W 17-10,*,0,0,,0,2.0,,,0,0,0
66,2001,2001-10-07,3,28.217,CHI,@,ATL,W 31-3,*,0,0,,0,1.0,,,0,0,0
67,2001,2001-10-14,4,28.224,CHI,,ARI,W 20-13,*,,,,,,,,,,
68,2001,2001-10-21,5,28.231,CHI,@,CIN,W 24-0,*,,,,,,,,,,
69,2001,2001-10-28,6,28.238,CHI,,SFO,W 37-31,*,,,,,,,,,,
70,2001,2001-11-04,7,28.245,CHI,,CLE,W 27-21,*,0,0,,0,1.0,,,0,0,0
71,2001,2001-11-11,8,28.252,CHI,,GNB,L 12-20,*,,,,,,,,,,
72,2001,2001-11-18,9,28.259,CHI,@,TAM,W 27-24,*,0,0,,0,1.0,,,0,0,0
73,2001,2001-11-25,10,28.266,CHI,@,MIN,W 13-6,*,0,0,,0,1.0,,,0,0,0
74,2001,2001-12-02,11,28.273,CHI,,DET,W 13-10,*,,,,,,,,,,
75,2001,2001-12-09,12,28.280,CHI,@,GNB,L 7-17,*,0,0,,0,1.0,,,0,0,0
76,2001,2001-12-16,13,28.287,CHI,,TAM,W 27-3,*,,,,,,,,,,
77,2001,2001-12-23,14,28.294,CHI,@,WAS,W 20-15,*,0,0,,0,1.0,,,0,0,0
78,2001,2001-12-30,15,28.301,CHI,@,DET,W 24-0,*,0,0,,0,1.0,,,0,0,0
79,2001,2002-01-06,16,28.308,CHI,,JAX,W 33-13,*,,,,,,,,,,
