ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1969,1969-10-05,4,22.276,BOS,,NYJ,L 14-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,47,15.67,0,0,0,,0
2,1969,1969-10-26,7,22.297,BOS,@,NYJ,L 17-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,0,0,,0
3,1970,1970-09-20,1,23.261,BOS,,MIA,W 27-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1970,1970-09-27,2,23.268,BOS,,NYJ,L 21-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1970,1970-10-04,3,23.275,BUF,,NYJ,W 34-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1970,1970-10-11,4,23.282,BUF,@,PIT,L 10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1970,1970-11-15,9,23.317,BOS,,SDG,L 14-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1970,1970-11-22,10,23.324,BOS,@,NYJ,L 3-17,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
9,1970,1970-11-29,11,23.331,BOS,@,BUF,W 14-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1970,1970-12-06,12,23.338,BOS,@,MIA,L 20-37,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1970,1970-12-13,13,23.345,BOS,,MIN,L 14-35,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1970,1970-12-20,14,23.352,BOS,@,CIN,L 7-45,3,10,3.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
13,1971,1971-09-19,1,24.260,NWE,,OAK,W 20-6,11,48,4.36,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,0,0,,0
14,1971,1971-09-26,2,24.267,NWE,,DET,L 7-34,4,11,2.75,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,2,34,17.00,0,0,0,,0
