ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2012,2012-09-10,1,22.273,OAK,,SDG,L 14-22,,,,,,,0.0%,,,,
2,2012,2012-09-30,4,22.293,OAK,@,DEN,L 6-37,,3,2,29,14.50,0,66.7%,9.67,,0,0
3,2012,2012-10-14,5,22.307,OAK,@,ATL,L 20-23,,,,,,,0.0%,,,,
4,2012,2012-10-21,6,22.314,OAK,,JAX,W 26-23,,1,0,0,,0,0.0%,0.00,,0,0
5,2012,2012-10-28,7,22.321,OAK,@,KAN,W 26-16,,2,0,0,,0,0.0%,0.00,,0,0
6,2012,2012-11-04,8,22.328,OAK,,TAM,L 32-42,,,0,0,,0,0.0%,,1,0,2
7,2012,2012-11-11,9,22.335,OAK,@,BAL,L 20-55,,3,2,26,13.00,0,66.7%,8.67,,0,0
8,2012,2012-11-18,10,22.342,OAK,,NOR,L 17-38,,6,3,23,7.67,1,50.0%,3.83,,1,6
9,2012,2012-11-25,11,22.349,OAK,@,CIN,L 10-34,,5,3,23,7.67,0,60.0%,4.60,,0,0
10,2012,2012-12-02,12,22.356,OAK,,CLE,L 17-20,,10,4,26,6.50,0,40.0%,2.60,,0,0
11,2012,2012-12-06,13,22.360,OAK,,DEN,L 13-26,,3,2,24,12.00,0,66.7%,8.00,,0,0
12,2012,2012-12-16,14,23.004,OAK,,KAN,W 15-0,,,,,,,0.0%,,,,
13,2013,2013-11-03,8,23.326,OAK,,PHI,L 20-49,,8,3,32,10.67,0,37.5%,4.00,,0,0
