ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1976,1976-09-12,1,23.028,SDG,@,KAN,W 30-16,2,22,11.00,0,0,0,,0,0,0,,0,0,0
2,1976,1976-09-19,2,23.035,SDG,@,TAM,W 23-0,1,14,14.00,0,0,0,,0,0,0,,0,0,0
3,1976,1976-09-26,3,23.042,SDG,,STL,W 43-24,,,,,,,,,,,,,,
4,1976,1976-10-03,4,23.049,SDG,@,DEN,L 0-26,,,,,,,,,,,,,,
5,1976,1976-10-10,5,23.056,SDG,,OAK,L 17-27,0,0,,0,1,-12,-12.00,0,0,0,,0,0,0
6,1976,1976-10-17,6,23.063,SDG,,HOU,W 30-27,1,13,13.00,0,0,0,,0,0,0,,0,0,0
7,1976,1976-10-24,7,23.070,SDG,@,CLE,L 17-21,1,16,16.00,0,0,0,,0,0,0,,0,0,0
8,1976,1976-10-31,8,23.077,SDG,@,PIT,L 0-23,,,,,,,,,,,,,,
9,1976,1976-11-07,9,23.084,SDG,,BAL,L 21-37,1,19,19.00,0,0,0,,0,0,0,,0,0,0
10,1976,1976-11-14,10,23.091,SDG,,DEN,L 0-17,,,,,,,,,,,,,,
11,1976,1976-11-21,11,23.098,SDG,@,BUF,W 34-13,,,,,,,,,,,,,,
12,1976,1976-11-28,12,23.105,SDG,,KAN,L 20-23,,,,,,,,,,,,,,
13,1976,1976-12-12,14,23.119,SDG,@,OAK,L 0-24,2,24,12.00,0,0,0,,0,0,0,,0,0,0
14,1977,1977-09-18,1,24.034,SDG,@,OAK,L 0-24,,,,,,,,,,,,,,
15,1977,1977-09-25,2,24.041,SDG,@,KAN,W 23-7,,,,,,,,,,,,,,
16,1977,1977-10-02,3,24.048,SDG,,CIN,W 24-3,,,,,,,,,,,,,,
17,1977,1977-10-09,4,24.055,SDG,@,NOR,W 14-0,3,43,14.33,0,0,0,,0,0,0,,0,0,0
18,1977,1977-10-16,5,24.062,SDG,,NWE,L 20-24,,,,,,,,,,,,,,
19,1977,1977-10-23,6,24.069,SDG,,KAN,L 16-21,1,26,26.00,1,0,0,,0,0,0,,0,1,6
20,1977,1977-10-30,7,24.076,SDG,@,MIA,W 14-13,,,,,,,,,,,,,,
21,1977,1977-11-06,8,24.083,SDG,@,DET,L 0-20,2,21,10.50,0,0,0,,0,0,0,,0,0,0
22,1977,1977-11-13,9,24.090,SDG,,DEN,L 14-17,,,,,,,,,,,,,,
23,1977,1977-11-20,10,24.097,SDG,,OAK,W 12-7,,,,,,,,,,,,,,
24,1977,1977-11-27,11,24.104,SDG,@,SEA,W 30-28,,,,,,,,,,,,,,
25,1977,1977-12-04,12,24.111,SDG,,CLE,W 37-14,4,108,27.00,1,0,0,,0,0,0,,0,1,6
26,1977,1977-12-11,13,24.118,SDG,@,DEN,L 9-17,,,,,,,,,,,,,,
27,1978,1978-09-03,1,25.019,KAN,@,CIN,W 24-23,,,,,,,,,,,,,,
28,1978,1978-09-10,2,25.026,KAN,,HOU,L 17-20,,,,,,,,,,,,,,
29,1978,1978-09-17,3,25.033,KAN,@,NYG,L 10-26,1,33,33.00,0,0,0,,0,0,0,,0,0,0
30,1978,1978-09-24,4,25.040,KAN,,DEN,L 17-23,,,,,,,,,,,,,,
31,1978,1978-10-01,5,25.047,KAN,@,BUF,L 13-28,,,,,,,,,,,,,,
32,1978,1978-10-08,6,25.054,KAN,,TAM,L 13-30,,,,,,,,,,,,,,
33,1978,1978-10-15,7,25.061,KAN,@,OAK,L 6-28,1,16,16.00,1,0,0,,0,0,0,,0,1,6
34,1978,1978-10-22,8,25.068,KAN,,CLE,W 17-3,,,,,,,,,,,,,,
35,1978,1978-10-29,9,25.075,KAN,@,PIT,L 24-27,0,0,,0,0,0,,0,1,3,3.00,0,0,0
36,1978,1978-11-05,10,25.082,KAN,,OAK,L 10-20,1,27,27.00,0,0,0,,0,0,0,,0,0,0
37,1978,1978-11-12,11,25.089,KAN,@,SDG,L 23-29,2,37,18.50,0,0,0,,0,0,0,,0,0,0
38,1978,1978-11-19,12,25.096,KAN,,SEA,L 10-13,1,23,23.00,0,0,0,,0,0,0,,0,0,0
39,1978,1978-11-26,13,25.103,KAN,,SDG,W 23-0,1,6,6.00,1,0,0,,0,0,0,,0,1,6
40,1978,1978-12-03,14,25.110,KAN,,BUF,W 14-10,,,,,,,,,,,,,,
41,1978,1978-12-10,15,25.117,KAN,@,DEN,L 3-24,1,8,8.00,0,0,0,,0,0,0,,0,0,0
42,1978,1978-12-17,16,25.124,KAN,@,SEA,L 19-23,1,19,19.00,0,0,0,,0,0,0,,0,0,0
