ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1976,1976-09-12,1,23.222,CIN,,DEN,W 17-7,2,2,100.0,1,3,33.3,0,5,0,0,,0
2,1976,1976-09-19,2,23.229,CIN,@,BAL,L 27-28,3,3,100.0,2,2,100.0,0,9,0,0,,0
3,1976,1976-09-26,3,23.236,CIN,,GNB,W 28-7,4,4,100.0,,4,0.0,0,4,0,0,,0
4,1976,1976-10-03,4,23.243,CIN,@,CLE,W 45-24,6,6,100.0,1,1,100.0,0,9,0,0,,0
5,1976,1976-10-10,5,23.250,CIN,,TAM,W 21-0,3,3,100.0,,1,0.0,0,3,0,0,,0
6,1976,1976-10-17,6,23.257,CIN,@,PIT,L 6-23,,,,2,3,66.7,0,6,0,0,,0
7,1976,1976-10-24,7,23.264,CIN,@,HOU,W 27-7,3,3,100.0,2,3,66.7,0,9,0,0,,0
8,1976,1976-10-31,8,23.271,CIN,,CLE,W 21-6,3,3,100.0,,1,0.0,0,3,0,0,,0
9,1976,1976-11-08,9,23.279,CIN,,RAM,W 20-12,2,3,66.7,,1,0.0,0,2,0,0,,0
10,1976,1976-11-14,10,23.285,CIN,,HOU,W 31-27,4,4,100.0,1,1,100.0,0,7,0,0,,0
11,1976,1976-11-21,11,23.292,CIN,@,KAN,W 27-24,3,4,75.0,,1,0.0,0,3,0,0,,0
12,1976,1976-11-28,12,23.299,CIN,,PIT,L 3-7,,,,1,1,100.0,0,3,0,0,,0
13,1976,1976-12-06,13,23.307,CIN,@,OAK,L 20-35,2,3,66.7,,1,0.0,0,2,0,0,,0
14,1976,1976-12-12,14,23.313,CIN,@,NYJ,W 42-3,4,4,100.0,4,4,100.0,0,16,0,0,,0
15,1977,1977-09-18,1,24.227,CIN,,CLE,L 3-13,,,,1,3,33.3,0,3,0,0,,0
16,1977,1977-09-25,2,24.234,CIN,,SEA,W 42-20,6,6,100.0,,,,0,6,,,,
17,1977,1977-10-02,3,24.241,CIN,@,SDG,L 3-24,,,,1,1,100.0,0,3,0,0,,0
18,1977,1977-10-09,4,24.248,CIN,@,GNB,W 17-7,2,2,100.0,1,2,50.0,0,5,0,0,,0
19,1977,1977-10-17,5,24.256,CIN,@,PIT,L 14-20,2,2,100.0,,,,0,2,,,,
20,1977,1977-10-23,6,24.262,CIN,,DEN,L 13-24,1,1,100.0,2,3,66.7,0,7,0,0,,0
21,1977,1977-10-30,7,24.269,CIN,,HOU,W 13-10,1,1,100.0,2,3,66.7,0,7,0,0,,0
22,1977,1977-11-06,8,24.276,CIN,@,CLE,W 10-7,1,1,100.0,1,1,100.0,0,4,0,0,,0
23,1977,1977-11-13,9,24.283,CIN,@,MIN,L 10-42,1,1,100.0,1,2,50.0,0,4,0,0,,0
24,1977,1977-11-20,10,24.290,CIN,,MIA,W 23-17,2,2,100.0,3,3,100.0,0,11,0,0,,0
25,1977,1977-11-27,11,24.297,CIN,,NYG,W 30-13,3,4,75.0,1,1,100.0,0,6,0,0,,0
26,1977,1977-12-04,12,24.304,CIN,@,KAN,W 27-7,3,3,100.0,2,2,100.0,0,9,2,88,44.00,0
27,1977,1977-12-10,13,24.310,CIN,,PIT,W 17-10,2,2,100.0,1,3,33.3,0,5,0,0,,0
28,1977,1977-12-18,14,24.318,CIN,@,HOU,L 16-21,1,1,100.0,3,3,100.0,0,10,0,0,,0
29,1978,1978-09-03,1,25.212,CIN,,KAN,L 23-24,2,3,66.7,1,1,100.0,0,5,1,13,13.00,0
30,1978,1978-09-10,2,25.219,CIN,@,CLE,L 10-13,1,1,100.0,1,3,33.3,0,4,0,0,,0
31,1978,1978-09-17,3,25.226,CIN,,PIT,L 3-28,,,,1,2,50.0,0,3,0,0,,0
32,1978,1978-09-24,4,25.233,CIN,,NOR,L 18-20,1,1,100.0,3,4,75.0,0,10,0,0,,0
33,1978,1978-10-01,5,25.240,CIN,@,SFO,L 12-28,1,1,100.0,1,1,100.0,0,4,0,0,,0
34,1978,1978-10-09,6,25.248,CIN,@,MIA,L 0-21,,,,,1,0.0,0,0,0,0,,0
35,1978,1978-10-15,7,25.254,CIN,,NWE,L 3-10,,,,1,4,25.0,0,3,0,0,,0
36,1978,1978-10-22,8,25.261,CIN,@,BUF,L 0-5,,,,,,,,,,,,
37,1978,1978-10-29,9,25.268,CIN,,HOU,W 28-13,4,4,100.0,,1,0.0,0,4,1,30,30.00,0
38,1978,1978-11-05,10,25.275,CIN,@,SDG,L 13-22,1,2,50.0,,1,0.0,0,1,0,0,,0
39,1978,1978-11-13,11,25.283,CIN,,OAK,L 21-34,3,3,100.0,,,,0,3,,,,
40,1978,1978-11-19,12,25.289,CIN,@,PIT,L 6-7,,,,2,3,66.7,0,6,1,24,24.00,0
41,1978,1978-11-26,13,25.296,CIN,@,HOU,L 10-17,1,1,100.0,1,2,50.0,0,4,0,0,,0
