ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1979,1979-10-21,8,22.090,GNB,@,TAM,L 3-21,,,,,,,,
2,1979,1979-10-28,9,22.097,GNB,@,MIA,L 7-27,,,,,,,,
3,1979,1979-11-04,10,22.104,GNB,,NYJ,L 22-27,2,32,16.00,0,0,0,,0
4,1979,1979-11-18,12,22.118,GNB,@,BUF,L 12-19,,,,,,,,
5,1979,1979-11-25,13,22.125,GNB,,PHI,L 10-21,,,,,,,,
6,1979,1979-12-02,14,22.132,GNB,@,WAS,L 21-38,,,,,,,,
7,1979,1979-12-09,15,22.139,GNB,,CHI,L 14-15,3,47,15.67,0,0,0,,0
8,1979,1979-12-15,16,22.145,GNB,@,DET,W 18-13,1,23,23.00,0,0,0,,0
9,1980,1980-09-07,1,23.046,GNB,,CHI,W 12-6,,,,,,,,
10,1980,1980-09-14,2,23.053,GNB,,DET,L 7-29,1,13,13.00,0,2,17,8.50,0
11,1980,1980-09-21,3,23.060,GNB,@,RAM,L 21-51,1,28,28.00,0,2,15,7.50,0
12,1980,1980-09-28,4,23.067,GNB,,DAL,L 7-28,,,,,,,,
13,1980,1980-10-05,5,23.074,GNB,,CIN,W 14-9,,,,,,,,
14,1980,1980-10-12,6,23.081,GNB,@,TAM,T 14-14,0,0,,0,4,33,8.25,0
15,1980,1980-10-19,7,23.088,GNB,@,CLE,L 21-26,0,0,,0,1,4,4.00,0
16,1980,1980-10-26,8,23.095,GNB,,MIN,W 16-3,1,14,14.00,0,0,0,,0
17,1980,1980-11-02,9,23.102,GNB,@,PIT,L 20-22,0,0,,0,2,32,16.00,0
18,1980,1980-11-09,10,23.109,GNB,,SFO,W 23-16,0,0,,0,2,2,1.00,0
19,1980,1980-11-16,11,23.116,GNB,@,NYG,L 21-27,0,0,,0,3,28,9.33,0
20,1980,1980-11-23,12,23.123,GNB,@,MIN,W 25-13,,,,,,,,
21,1980,1980-11-30,13,23.130,GNB,,TAM,L 17-20,0,0,,0,1,8,8.00,0
22,1980,1980-12-07,14,23.137,GNB,@,CHI,L 7-61,,,,,,,,
23,1980,1980-12-14,15,23.144,GNB,,HOU,L 3-22,2,54,27.00,0,0,0,,0
24,1981,1981-10-11,6,24.080,GNB,,TAM,L 10-21,0,0,,0,0,0,,0
25,1981,1981-10-18,7,24.087,GNB,,SFO,L 3-13,0,0,,0,0,0,,0
26,1981,1981-10-25,8,24.094,GNB,@,DET,L 27-31,1,6,6.00,0,0,0,,0
27,1981,1981-11-01,9,24.101,GNB,,SEA,W 34-24,0,0,,0,1,0,0.00,0
28,1981,1981-11-08,10,24.108,GNB,,NYG,W 26-24,0,0,,0,0,0,,0
29,1981,1981-11-15,11,24.115,GNB,,CHI,W 21-17,0,0,,0,1,0,0.00,0
30,1981,1981-11-22,12,24.122,GNB,@,TAM,L 3-37,0,0,,0,0,0,,0
31,1981,1981-12-06,14,24.136,GNB,,DET,W 31-17,0,0,,0,0,0,,0
32,1981,1981-12-13,15,24.143,GNB,@,NOR,W 35-7,0,0,,0,0,0,,0
33,1981,1981-12-20,16,24.150,GNB,@,NYJ,L 3-28,0,0,,0,0,0,,0
34,1983,1983-09-04,1,26.043,GNB,@,HOU,W 41-38,,,,,,,,
35,1983,1983-09-11,2,26.050,GNB,,PIT,L 21-25,,,,,,,,
36,1983,1983-09-18,3,26.057,GNB,,RAM,W 27-24,,,,,,,,
37,1983,1983-09-26,4,26.065,GNB,@,NYG,L 3-27,,,,,,,,
38,1983,1983-10-02,5,26.071,GNB,,TAM,W 55-14,,,,,,,,
39,1983,1983-10-17,7,26.086,GNB,,WAS,W 48-47,,,,,,,,
40,1983,1983-10-23,8,26.092,GNB,,MIN,L 17-20,,,,,,,,
41,1983,1983-10-30,9,26.099,GNB,@,CIN,L 14-34,,,,,,,,
42,1983,1983-11-06,10,26.106,GNB,,CLE,W 35-21,,,,,,,,
43,1983,1983-11-13,11,26.113,GNB,@,MIN,W 29-21,,,,,,,,
44,1983,1983-11-20,12,26.120,GNB,,DET,L 20-23,,,,,,,,
45,1983,1983-12-04,14,26.134,GNB,,CHI,W 31-28,,,,,,,,
46,1984,1984-09-02,1,27.041,GNB,,STL,W 24-23,0,0,,0,,,,
47,1984,1984-09-16,3,27.055,GNB,,CHI,L 7-9,0,0,,0,,,,
48,1984,1984-09-23,4,27.062,GNB,@,DAL,L 6-20,1,6,6.00,0,0,0,,0
49,1984,1984-09-30,5,27.069,GNB,@,TAM,L 27-30,0,0,,0,,,,
50,1984,1984-10-07,6,27.076,GNB,,SDG,L 28-34,0,0,,0,,,,
51,1984,1984-10-15,7,27.084,GNB,@,DEN,L 14-17,0,0,,0,,,,
52,1984,1984-10-21,8,27.090,GNB,,SEA,L 24-30,0,0,,0,,,,
53,1984,1984-10-28,9,27.097,GNB,,DET,W 41-9,0,0,,0,,,,
54,1984,1984-11-04,10,27.104,GNB,@,NOR,W 23-13,0,0,,0,,,,
55,1984,1984-11-11,11,27.111,GNB,,MIN,W 45-17,1,10,10.00,0,0,0,,0
56,1984,1984-11-18,12,27.118,GNB,,RAM,W 31-6,0,0,,0,,,,
57,1984,1984-11-22,13,27.122,GNB,@,DET,L 28-31,0,0,,0,,,,
58,1984,1984-12-02,14,27.132,GNB,,TAM,W 27-14,0,0,,0,,,,
59,1984,1984-12-09,15,27.139,GNB,@,CHI,W 20-14,0,0,,0,,,,
60,1984,1984-12-16,16,27.146,GNB,@,MIN,W 38-14,0,0,,0,,,,
