ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1985,1985-09-08,1,21.222,BUF,,SDG,L 9-14,,,3,35,11.67,0,,,1,5,5.00,0,0,0,,0,0,0,,,,,,4,9,2.25,0,0,0
2,1985,1985-09-15,2,21.229,BUF,@,NYJ,L 3-42,,,2,21,10.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,1,3,3.00,0,0,0
3,1985,1985-09-22,3,21.236,BUF,,NWE,L 14-17,,,5,59,11.80,1,,,1,-20,-20.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
4,1985,1985-09-29,4,21.243,BUF,,MIN,L 20-27,,,1,8,8.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,1985,1985-10-06,5,21.250,BUF,@,IND,L 17-49,,,5,57,11.40,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
6,1985,1985-10-13,6,21.257,BUF,@,NWE,L 3-14,,,1,10,10.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
7,1985,1985-10-20,7,21.264,BUF,,IND,W 21-9,,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,1985,1985-10-27,8,21.271,BUF,@,PHI,L 17-21,,,3,20,6.67,1,,,1,14,14.00,1,0,0,,0,0,0,,,,,,0,0,,0,2,12
9,1985,1985-11-03,9,21.278,BUF,,CIN,L 17-23,,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,0,,0,0,
10,1985,1985-11-10,10,21.285,BUF,,HOU,W 20-0,,,4,64,16.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
11,1985,1985-11-17,11,21.292,BUF,@,CLE,L 7-17,,,2,41,20.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
12,1985,1985-11-24,12,21.299,BUF,,MIA,L 14-23,,,6,68,11.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
13,1985,1985-12-01,13,21.306,BUF,@,SDG,L 7-40,,,6,103,17.17,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
14,1985,1985-12-08,14,21.313,BUF,,NYJ,L 7-27,,,5,82,16.40,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
15,1985,1985-12-15,15,21.320,BUF,@,PIT,L 24-30,,,1,21,21.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
16,1985,1985-12-22,16,21.327,BUF,@,MIA,L 0-28,,,3,44,14.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
17,1986,1986-09-07,1,22.221,BUF,,NYJ,L 24-28,,,5,95,19.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
18,1986,1986-09-14,2,22.228,BUF,@,CIN,L 33-36,,,1,19,19.00,0,,,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
19,1986,1986-09-21,3,22.235,BUF,,STL,W 17-10,,,0,0,,0,,,0,0,,0,,,,,,,,,,,,,,,,0,
