ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1986,1986-11-30,13,24.076,ATL,@,MIA,W 20-14,,0,0,,0,,,0,0,,0,1,20,20.00,0,0,0,,0,0,0
2,1986,1986-12-07,14,24.083,ATL,,IND,L 23-28,,1,25,25.00,0,,,0,0,,0,2,22,11.00,0,0,0,,0,0,0
3,1986,1986-12-14,15,24.090,ATL,,NOR,L 9-14,,0,0,,0,,,1,12,12.00,0,0,0,,0,0,0,,0,0,0
4,1986,1986-12-21,16,24.097,ATL,@,DET,W 20-6,,0,0,,0,,,0,0,,0,0,0,,0,,,,,0,
5,1987,1987-09-13,1,24.363,ATL,@,TAM,L 10-48,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
6,1987,1987-09-20,2,25.005,ATL,,WAS,W 21-20,,1,37,37.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
7,1987,1987-10-25,6,25.040,ATL,@,HOU,L 33-37,,2,17,8.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
8,1987,1987-11-01,7,25.047,ATL,,NOR,L 0-38,,3,32,10.67,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
9,1987,1987-11-08,8,25.054,ATL,@,CLE,L 3-38,,5,70,14.00,0,,,1,-4,-4.00,0,0,0,,0,0,0,,0,0,0
10,1987,1987-11-15,9,25.061,ATL,,CIN,L 10-16,,0,0,,0,,,0,0,,0,,,,,,,,,0,
11,1987,1987-11-22,10,25.068,ATL,@,MIN,L 13-24,,2,51,25.50,1,,,0,0,,0,0,0,,0,0,0,,0,1,6
12,1987,1987-11-29,11,25.075,ATL,,STL,L 21-34,,7,115,16.43,2,,,0,0,,0,0,0,,0,0,0,,0,2,12
13,1987,1987-12-06,12,25.082,ATL,@,DAL,W 21-10,,3,45,15.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
14,1987,1987-12-13,13,25.089,ATL,@,RAM,L 0-33,,3,86,28.67,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
15,1987,1987-12-20,14,25.096,ATL,@,SFO,L 7-35,,4,59,14.75,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
16,1987,1987-12-27,15,25.103,ATL,,DET,L 13-30,,1,21,21.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
17,1988,1988-09-04,1,25.355,ATL,@,DET,L 17-31,,2,19,9.50,0,,,0,0,,0,0,0,,0,4,17,4.25,0,0,0
18,1988,1988-09-11,2,25.362,ATL,,NOR,L 21-29,,1,9,9.00,0,,,0,0,,0,0,0,,0,2,9,4.50,0,0,0
19,1988,1988-09-18,3,26.003,ATL,@,SFO,W 34-17,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
20,1988,1988-09-25,4,26.010,ATL,@,DAL,L 20-26,,1,21,21.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
21,1988,1988-11-06,10,26.052,GNB,@,ATL,L 0-20,,0,0,,0,,,0,0,,0,,,,,,,,,0,
22,1988,1988-11-13,11,26.059,GNB,,IND,L 13-20,,4,29,7.25,1,,,0,0,,0,0,0,,0,0,0,,0,1,6
23,1988,1988-11-20,12,26.066,GNB,,DET,L 9-19,,4,33,8.25,1,,,1,4,4.00,0,0,0,,0,0,0,,0,1,6
24,1988,1988-11-27,13,26.073,GNB,@,CHI,L 0-16,,1,6,6.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
25,1988,1988-12-04,14,26.080,GNB,@,DET,L 14-30,,2,40,20.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
26,1988,1988-12-11,15,26.087,GNB,,MIN,W 18-6,,2,25,12.50,0,,,1,1,1.00,0,0,0,,0,0,0,,0,0,0
