ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,23.261,WAS,@,NYG,L 17-23,,0,0,,0,0,0,,0,0.0,0,0
2,2009,2009-09-20,2,23.268,WAS,,STL,W 9-7,,0,0,,0,0,0,,0,0.0,0,0
3,2009,2009-09-27,3,23.275,WAS,@,DET,L 14-19,,,,,,,,,,,,
4,2009,2009-10-04,4,23.282,WAS,,TAM,W 16-13,,,,,,,,,,,,
5,2009,2009-10-11,5,23.289,WAS,@,CAR,L 17-20,,0,0,,0,1,0,0.00,0,0.0,0,0
6,2009,2009-10-18,6,23.296,WAS,,KAN,L 6-14,,0,0,,0,0,0,,0,0.0,0,0
7,2009,2009-10-26,7,23.304,WAS,,PHI,L 17-27,,,,,,,,,,,,
8,2009,2009-11-15,9,23.324,WAS,,DEN,W 27-17,,0,0,,0,0,0,,0,0.0,0,0
9,2009,2009-11-22,10,23.331,WAS,@,DAL,L 6-7,,,,,,,,,,,,
10,2009,2009-11-29,11,23.338,WAS,@,PHI,L 24-27,,0,0,,0,0,0,,0,0.0,0,0
11,2009,2009-12-06,12,23.345,WAS,,NOR,L 30-33,*,0,0,,0,0,0,,0,0.0,2,1
12,2009,2009-12-13,13,23.352,WAS,@,OAK,W 34-13,,,,,,,,,,,,
13,2009,2009-12-21,14,23.360,WAS,,NYG,L 12-45,,,,,,,,,,,,
14,2009,2009-12-27,15,24.001,WAS,,DAL,L 0-17,,0,0,,0,0,0,,0,0.0,0,0
15,2009,2010-01-03,16,24.008,WAS,@,SDG,L 20-23,,,,,,,,,,,,
16,2010,2010-09-12,1,24.260,WAS,,DAL,W 13-7,,0,0,,0,0,0,,0,0.0,0,0
17,2010,2010-09-19,2,24.267,WAS,,HOU,L 27-30,,0,0,,0,0,0,,0,0.0,0,0
18,2010,2010-09-26,3,24.274,WAS,@,STL,L 16-30,,0,0,,0,0,0,,0,0.0,0,0
19,2010,2010-10-03,4,24.281,WAS,@,PHI,W 17-12,,1,0,0.00,0,0,0,,0,0.0,0,0
20,2010,2010-10-10,5,24.288,WAS,,GNB,W 16-13,,1,6,6.00,0,0,0,,0,0.0,0,0
21,2010,2010-10-17,6,24.295,WAS,,IND,L 24-27,,0,0,,0,0,0,,0,0.0,0,0
22,2010,2010-10-24,7,24.302,WAS,@,CHI,W 17-14,,,,,,,,,,,,
23,2010,2010-10-31,8,24.309,WAS,@,DET,L 25-37,,,,,,,,,,,,
24,2010,2010-11-15,9,24.324,WAS,,PHI,L 28-59,,,,,,,,,,,,
25,2010,2010-11-21,10,24.330,WAS,@,TEN,W 19-16,,0,0,,0,0,0,,0,0.0,0,0
26,2010,2010-11-28,11,24.337,WAS,,MIN,L 13-17,,,,,,,,,,,,
27,2010,2010-12-05,12,24.344,WAS,@,NYG,L 7-31,,0,0,,0,0,0,,0,0.0,0,0
28,2010,2010-12-12,13,24.351,WAS,,TAM,L 16-17,,0,0,,0,0,0,,0,0.0,0,0
29,2010,2010-12-19,14,24.358,WAS,@,DAL,L 30-33,,,,,,,,,,,,
30,2010,2010-12-26,15,25.000,WAS,@,JAX,W 20-17,,0,0,,0,0,0,,0,0.0,2,0
31,2010,2011-01-02,16,25.007,WAS,,NYG,L 14-17,,0,0,,0,0,0,,0,0.0,2,1
32,2011,2011-09-11,1,25.259,WAS,,NYG,W 28-14,,0,0,,0,0,0,,0,0.0,0,1
33,2011,2011-09-18,2,25.266,WAS,,ARI,W 22-21,,0,0,,0,0,0,,0,0.0,3,3
34,2011,2011-09-26,3,25.274,WAS,@,DAL,L 16-18,,0,0,,0,0,0,,0,0.0,0,0
35,2011,2011-10-02,4,25.280,WAS,@,STL,W 17-10,,0,0,,0,0,0,,0,0.0,1,0
36,2011,2011-10-16,5,25.294,WAS,,PHI,L 13-20,,,,,,,,,,,,
37,2011,2011-10-30,7,25.308,WAS,@,BUF,L 0-23,,,,,,,,,,,,
38,2011,2011-11-06,8,25.315,WAS,,SFO,L 11-19,,0,0,,0,0,0,,0,0.0,0,0
39,2011,2011-11-13,9,25.322,WAS,@,MIA,L 9-20,,,,,,,,,,,,
40,2011,2011-11-20,10,25.329,WAS,,DAL,L 24-27,,0,0,,0,0,0,,0,0.0,0,0
41,2011,2011-11-27,11,25.336,WAS,@,SEA,W 23-17,,0,0,,0,0,0,,0,0.0,0,0
42,2011,2011-12-04,12,25.343,WAS,,NYJ,L 19-34,,0,0,,0,0,0,,0,0.0,0,0
43,2011,2011-12-11,13,25.350,WAS,,NWE,L 27-34,,,,,,,,,,,,
44,2011,2011-12-18,14,25.357,WAS,@,NYG,W 23-10,,0,0,,0,0,0,,0,0.0,1,1
45,2011,2011-12-24,15,25.363,WAS,,MIN,L 26-33,,,,,,,,,,,,
46,2011,2012-01-01,16,26.006,WAS,@,PHI,L 10-34,,0,0,,0,0,0,,0,0.0,4,0
