ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1987,1987-09-13,1,23.164,IND,,CIN,L 21-23,,0,0,,0,,,,,,
2,1987,1987-09-20,2,23.171,IND,,MIA,L 10-23,,0,0,,0,,,,,,
3,1987,1987-10-11,4,23.192,IND,,NYJ,W 6-0,,1,5,5.00,0,,,0,0,,0
4,1987,1987-11-01,7,23.213,IND,@,NYJ,W 19-14,,0,0,,0,,,,,,
5,1987,1987-11-08,8,23.220,IND,,SDG,L 13-16,,0,0,,0,,,,,,
6,1987,1987-11-15,9,23.227,IND,@,MIA,W 40-21,,2,16,8.00,0,,,0,0,,0
7,1987,1987-11-22,10,23.234,IND,@,NWE,L 0-24,,0,0,,0,,,,,,
8,1987,1987-11-29,11,23.241,IND,,HOU,W 51-27,,2,14,7.00,0,,,0,0,,0
9,1987,1987-12-06,12,23.248,IND,@,CLE,W 9-7,,0,0,,0,,,,,,
10,1987,1987-12-13,13,23.255,IND,,BUF,L 3-27,,0,0,,0,,,,,,
11,1987,1987-12-20,14,23.262,IND,@,SDG,W 20-7,,0,0,,0,,,,,,
12,1987,1987-12-27,15,23.269,IND,,TAM,W 24-6,,0,0,,0,,,,,,
13,1988,1988-09-04,1,24.155,IND,,HOU,L 14-17,,,,,,,,,,,
14,1988,1988-09-11,2,24.162,IND,,CHI,L 13-17,,,,,,,,,,,
15,1988,1988-09-19,3,24.170,IND,@,CLE,L 17-23,,,,,,,,,,,
16,1988,1988-09-25,4,24.176,IND,,MIA,W 15-13,,,,,,,,,,,
17,1988,1988-10-02,5,24.183,IND,@,NWE,L 17-21,,,,,,,,,,,
18,1988,1988-10-09,6,24.190,IND,@,BUF,L 23-34,,,,,,,,,,,
19,1988,1988-10-16,7,24.197,IND,,TAM,W 35-31,,,,,,,,,,,
20,1988,1988-10-23,8,24.204,IND,@,SDG,W 16-0,,,,,,,,,,,
21,1988,1988-10-31,9,24.212,IND,,DEN,W 55-23,,,,,,,,,,,
22,1988,1988-11-06,10,24.218,IND,,NYJ,W 38-14,,,,,,,,,,,
23,1988,1988-11-13,11,24.225,IND,@,GNB,W 20-13,,,,,,,,,,,
24,1988,1988-11-20,12,24.232,IND,@,MIN,L 3-12,,,,,,,,,,,
25,1988,1988-11-27,13,24.239,IND,,NWE,W 24-21,,,,,,,,,,,
26,1988,1988-12-04,14,24.246,IND,@,MIA,W 31-28,,,,,,,,,,,
27,1988,1988-12-10,15,24.252,IND,@,NYJ,L 16-34,,,,,,,,,,,
28,1988,1988-12-18,16,24.260,IND,,BUF,W 17-14,,,,,,,,,,,
29,1989,1989-09-10,1,25.161,IND,,SFO,L 24-30,,,,,,,,,,,
30,1989,1989-09-17,2,25.168,IND,@,RAM,L 17-31,,,,,,,,,,,
31,1989,1989-09-24,3,25.175,IND,,ATL,W 13-9,,,,,,,,,,,
32,1989,1989-10-01,4,25.182,IND,@,NYJ,W 17-10,,,,,,,,,,,
33,1989,1989-10-08,5,25.189,IND,,BUF,W 37-14,,,,,,,,,,,
34,1989,1989-10-15,6,25.196,IND,@,DEN,L 3-14,,,,,,,,,,,
35,1989,1989-10-22,7,25.203,IND,@,CIN,W 23-12,,,,,,,,,,,
36,1989,1989-10-29,8,25.210,IND,,NWE,L 20-23,,,,,,,,,,,
