ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2015,2016-01-03,16,22.233,STL,@,SFO,L 16-19,,4,17,4.25,0,1,1,-2,-2.00,0,100.0%,-2.00,,0,0
2,2016,2016-09-12,1,23.120,LAR,@,SFO,L 0-28,,1,5,5.00,0,1,1,8,8.00,0,100.0%,8.00,,0,0
3,2016,2016-09-18,2,23.126,LAR,,SEA,W 9-3,,0,0,,0,0,0,0,,0,0.0%,,,0,0
4,2016,2016-09-25,3,23.133,LAR,@,TAM,W 37-32,,0,0,,0,0,0,0,,0,0.0%,,,0,0
5,2016,2016-10-02,4,23.140,LAR,@,ARI,W 17-13,,0,0,,0,0,0,0,,0,0.0%,,,0,0
6,2016,2016-10-09,5,23.147,LAR,,BUF,L 19-30,,2,2,1.00,0,1,1,26,26.00,0,100.0%,26.00,,0,0
7,2016,2016-10-16,6,23.154,LAR,@,DET,L 28-31,,0,0,,0,0,0,0,,0,0.0%,,,0,0
8,2016,2016-10-23,7,23.161,LAR,,NYG,L 10-17,,0,0,,0,0,0,0,,0,0.0%,,,0,0
9,2016,2016-11-06,8,23.175,LAR,,CAR,L 10-13,,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0
10,2016,2016-11-13,9,23.182,LAR,@,NYJ,W 9-6,,0,0,,0,0,0,0,,0,0.0%,,,0,0
11,2016,2016-11-20,10,23.189,LAR,,MIA,L 10-14,,0,0,,0,0,0,0,,0,0.0%,,,0,0
12,2016,2016-11-27,11,23.196,LAR,@,NOR,L 21-49,,3,9,3.00,0,0,0,0,,0,0.0%,,,0,0
13,2016,2016-12-04,12,23.203,LAR,@,NWE,L 10-26,,0,0,,0,0,0,0,,0,0.0%,,,0,0
14,2016,2016-12-11,13,23.210,LAR,,ATL,L 14-42,,4,14,3.50,0,0,0,0,,0,0.0%,,,0,0
15,2016,2016-12-15,14,23.214,LAR,@,SEA,L 3-24,,1,-4,-4.00,0,1,1,12,12.00,0,100.0%,12.00,,0,0
16,2016,2016-12-24,15,23.223,LAR,,SFO,L 21-22,,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0
17,2016,2017-01-01,16,23.231,LAR,,ARI,L 6-44,,5,11,2.20,0,0,0,0,,0,0.0%,,,0,0
18,2017,2017-09-10,1,24.118,LAR,,IND,W 46-9,,7,16,2.29,1,0,0,0,,0,0.0%,,,1,6
19,2017,2017-09-17,2,24.125,LAR,,WAS,L 20-27,,0,0,,0,1,1,-4,-4.00,0,100.0%,-4.00,,0,0
20,2017,2017-10-01,4,24.139,LAR,@,DAL,W 35-30,,1,0,0.00,0,1,1,14,14.00,0,100.0%,14.00,,0,0
21,2017,2017-10-08,5,24.146,LAR,,SEA,L 10-16,,0,0,,0,2,2,29,14.50,0,100.0%,14.50,,0,0
22,2017,2017-10-15,6,24.153,LAR,@,JAX,W 27-17,,3,17,5.67,0,0,0,0,,0,0.0%,,,1,0
23,2017,2017-10-22,7,24.160,LAR,,ARI,W 33-0,,11,48,4.36,0,1,1,7,7.00,0,100.0%,7.00,,0,0
24,2017,2017-11-05,8,24.174,LAR,@,NYG,W 51-17,,15,57,3.80,0,0,0,0,,0,0.0%,,,0,0
25,2017,2017-12-10,13,24.209,LAR,,PHI,L 35-43,,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0
26,2017,2017-12-17,14,24.216,LAR,@,SEA,W 42-7,,10,45,4.50,0,1,0,0,,0,0.0%,0.00,,0,0
27,2017,2017-12-24,15,24.223,LAR,@,TEN,W 27-23,,1,4,4.00,0,0,0,0,,0,0.0%,,,0,0
28,2017,2017-12-31,16,24.230,LAR,,SFO,L 13-34,*,14,54,3.86,0,5,4,7,1.75,0,80.0%,1.40,,0,0
29,2018,2018-09-10,1,25.118,LAR,@,OAK,W 33-13,,1,5,5.00,0,2,2,18,9.00,0,100.0%,9.00,,0,0
30,2018,2018-09-16,2,25.124,LAR,,ARI,W 34-0,,12,46,3.83,0,1,0,0,,0,0.0%,0.00,1,0,2
31,2018,2018-09-23,3,25.131,LAR,,LAC,W 35-23,,5,42,8.40,0,1,0,0,,0,0.0%,0.00,,0,0
32,2018,2018-09-27,4,25.135,LAR,,MIN,W 38-31,,0,0,,0,0,0,0,,0,0.0%,,,0,0
