ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1987,1987-10-04,3,23.357,NYJ,,DAL,L 24-38,1,9,9.00,0,1,9,9.00,0,0,0,,0
2,1987,1987-10-11,4,23.364,NYJ,@,IND,L 0-6,0,0,,0,0,0,,0,2,8,4.00,0
3,1987,1987-10-18,5,24.006,NYJ,,MIA,W 37-31,0,0,,0,0,0,,0,0,0,,0
