ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,22.283,CIN,,ARI,W 24-21,,,,,,,,,,
2,1997,1997-09-07,2,22.290,NWE,@,IND,W 31-6,,,,,,,,,,
3,1997,1997-09-21,3,22.304,CIN,@,DEN,L 20-38,,0,0,,0,0,0,1,29,0
4,1997,1997-09-28,4,22.311,CIN,,NYJ,L 14-31,,,,,,,,,,
5,1998,1998-09-06,1,23.289,CIN,,TEN,L 14-23,,2,44,22.00,0,0,0,0,0,0
6,1998,1998-09-13,2,23.296,CIN,@,DET,W 34-28,,2,44,22.00,0,0,0,0,0,0
7,1998,1998-09-20,3,23.303,CIN,,GNB,L 6-13,,4,120,30.00,0,0,0,0,0,0
8,1998,1998-09-27,4,23.310,CIN,@,BAL,L 24-31,,6,189,31.50,1,1,6,0,0,0
9,1998,1998-10-11,5,23.324,CIN,,PIT,W 25-20,,5,86,17.20,0,0,0,0,0,0
10,1998,1998-10-18,6,23.331,CIN,@,TEN,L 14-44,,2,49,24.50,0,0,0,0,0,0
11,1998,1998-10-25,7,23.338,CIN,@,OAK,L 10-27,,3,88,29.33,0,0,0,0,0,0
12,1998,1998-11-01,8,23.345,CIN,,DEN,L 26-33,,7,212,30.29,0,0,0,0,0,0
13,1998,1998-11-08,9,23.352,CIN,@,JAX,L 11-24,,5,128,25.60,0,0,0,0,0,0
14,1998,1998-11-15,10,23.359,CIN,@,MIN,L 3-24,,1,35,35.00,0,0,0,0,0,0
15,1998,1998-11-22,11,24.001,CIN,,BAL,L 13-20,,4,84,21.00,0,0,0,0,0,0
16,1998,1998-11-29,12,24.008,CIN,,JAX,L 17-34,,4,86,21.50,0,0,0,0,0,0
17,1999,1999-10-10,5,24.323,CIN,@,CLE,W 18-17,,4,88,22.00,0,0,0,0,0,0
18,1999,1999-10-17,6,24.330,CIN,,PIT,L 3-17,,1,28,28.00,0,0,0,0,0,0
19,1999,1999-10-24,7,24.337,CIN,@,IND,L 10-31,,6,157,26.17,0,0,0,0,0,0
20,1999,1999-10-31,8,24.344,CIN,,JAX,L 10-41,,6,149,24.83,0,0,0,0,0,0
21,1999,1999-11-07,9,24.351,CIN,@,SEA,L 20-37,,7,132,18.86,0,0,0,0,0,0
22,1999,1999-11-14,10,24.358,CIN,,TEN,L 14-24,,4,187,46.75,1,1,6,0,0,0
23,1999,1999-11-21,11,25.000,CIN,,BAL,L 31-34,,4,105,26.25,0,0,0,0,0,0
24,1999,1999-11-28,12,25.007,CIN,@,PIT,W 27-20,,3,69,23.00,0,0,0,0,0,0
25,1999,1999-12-05,13,25.014,CIN,,SFO,W 44-30,,6,189,31.50,0,0,0,0,0,0
26,1999,1999-12-12,14,25.021,CIN,,CLE,W 44-28,,1,55,55.00,0,0,0,0,0,0
27,1999,1999-12-26,15,25.035,CIN,@,BAL,L 0-22,,5,124,24.80,0,0,0,0,0,0
28,1999,2000-01-02,16,25.042,CIN,@,JAX,L 7-24,,4,99,24.75,0,0,0,0,0,0
29,2000,2000-09-10,1,25.294,CIN,,CLE,L 7-24,,4,124,31.00,0,0,0,0,0,0
30,2000,2000-09-17,2,25.301,CIN,@,JAX,L 0-13,,4,82,20.50,0,0,0,0,0,0
31,2000,2000-09-24,3,25.308,CIN,@,BAL,L 0-37,,2,40,20.00,0,0,0,0,0,0
32,2000,2000-10-01,4,25.315,CIN,,MIA,L 16-31,,4,70,17.50,0,0,0,0,0,0
33,2000,2000-10-08,5,25.322,CIN,,TEN,L 14-23,,1,36,36.00,0,0,0,0,0,0
34,2000,2000-10-15,6,25.329,CIN,@,PIT,L 0-15,,2,42,21.00,0,0,0,0,0,0
35,2000,2000-10-22,7,25.336,CIN,,DEN,W 31-21,,3,71,23.67,0,0,0,0,0,0
36,2000,2000-10-29,8,25.343,CIN,@,CLE,W 12-3,,1,17,17.00,0,0,0,0,0,0
37,2000,2000-11-05,9,25.350,CIN,,BAL,L 7-27,,4,107,26.75,0,0,0,0,0,0
38,2000,2000-11-12,10,25.357,CIN,@,DAL,L 6-23,,5,102,20.40,0,0,0,0,0,0
39,2000,2000-11-19,11,25.364,CIN,@,NWE,L 13-16,,3,57,19.00,0,0,0,0,0,0
40,2000,2000-11-26,12,26.005,CIN,,PIT,L 28-48,,5,73,14.60,0,0,0,0,0,0
41,2000,2000-12-03,13,26.012,CIN,,ARI,W 24-13,,2,26,13.00,0,0,0,0,0,0
42,2000,2000-12-10,14,26.019,CIN,@,TEN,L 3-35,,5,103,20.60,0,0,0,0,0,0
43,2000,2000-12-17,15,26.026,CIN,,JAX,W 17-14,,1,11,11.00,0,0,0,0,0,0
44,2000,2000-12-24,16,26.033,CIN,@,PHI,L 7-16,,4,75,18.75,0,0,0,0,0,0
