ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-18,2,21.338,JAX,@,NYJ,L 3-32,,5,6,83.33,52,0,0,102.8,1,10,8.67,8.67,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
2,2011,2011-09-25,3,21.345,JAX,@,CAR,L 10-16,*,12,21,57.14,139,1,1,73.3,2,10,6.62,5.43,4,2,0.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
3,2011,2011-10-02,4,21.352,JAX,,NOR,L 10-23,*,16,42,38.10,196,1,1,51.3,3,26,4.67,4.07,2,14,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
4,2011,2011-10-09,5,21.359,JAX,,CIN,L 20-30,*,15,28,53.57,221,1,0,91.5,3,21,7.89,8.61,5,11,2.20,0,0,0,0,,0,0.0%,,0,0,0.0,1,0
5,2011,2011-10-16,6,22.001,JAX,@,PIT,L 13-17,*,12,26,46.15,109,1,0,70.8,5,33,4.19,4.96,3,16,5.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
6,2011,2011-10-24,7,22.009,JAX,,BAL,W 12-7,*,9,20,45.00,93,0,0,59.0,4,20,4.65,4.65,5,-1,-0.20,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2011,2011-10-30,8,22.015,JAX,@,HOU,L 14-24,*,10,30,33.33,97,1,2,26.7,1,7,3.23,0.90,4,14,3.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
8,2011,2011-11-13,9,22.029,JAX,@,IND,W 17-3,*,14,21,66.67,118,1,1,77.1,2,8,5.62,4.43,6,8,1.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
9,2011,2011-11-20,10,22.036,JAX,@,CLE,L 10-14,*,22,41,53.66,210,0,0,68.1,1,15,5.12,5.12,2,10,5.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
10,2011,2011-11-27,11,22.043,JAX,,HOU,L 13-20,*,13,29,44.83,136,0,1,44.6,6,35,4.69,3.14,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
11,2011,2011-12-05,12,22.051,JAX,,SDG,L 14-38,*,19,33,57.58,195,2,1,82.3,2,18,5.91,5.76,6,19,3.17,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
12,2011,2011-12-11,13,22.057,JAX,,TAM,W 41-14,*,19,33,57.58,217,2,2,72.4,1,8,6.58,5.06,4,-3,-0.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
13,2011,2011-12-15,14,22.061,JAX,@,ATL,L 14-41,*,12,22,54.55,141,1,1,70.5,5,50,6.41,5.27,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
14,2011,2011-12-24,15,22.070,JAX,@,TEN,L 17-23,*,21,42,50.00,198,0,1,53.5,1,11,4.71,3.64,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
15,2011,2012-01-01,16,22.078,JAX,,IND,W 19-13,*,11,19,57.89,92,1,0,88.0,3,21,4.84,5.89,3,-3,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
16,2012,2012-09-09,1,22.330,JAX,@,MIN,L 23-26,*,23,39,58.97,260,2,0,96.1,2,18,6.67,7.69,5,6,1.20,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
17,2012,2012-09-16,2,22.337,JAX,,HOU,L 7-27,*,7,19,36.84,53,1,0,62.8,3,24,2.79,3.84,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
18,2012,2012-09-23,3,22.344,JAX,@,IND,W 22-17,*,10,21,47.62,155,1,0,88.4,1,7,7.38,8.33,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
19,2012,2012-09-30,4,22.351,JAX,,CIN,L 10-27,*,23,34,67.65,186,1,1,78.8,6,43,5.47,4.74,3,19,6.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
20,2012,2012-10-07,5,22.358,JAX,,CHI,L 3-41,*,17,33,51.52,142,0,2,37.7,3,13,4.30,1.58,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
