ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1969,1969-10-26,7,22.069,NYJ,,BOS,W 23-17,1,9,9.00,0,0,0,,0,0,0
2,1969,1969-11-30,12,22.104,NYJ,,OAK,L 14-27,1,4,4.00,0,0,0,,0,0,0
3,1969,1969-12-14,14,22.118,NYJ,@,MIA,W 27-9,3,26,8.67,0,0,0,,0,0,0
4,1970,1970-09-21,1,23.034,NYJ,@,CLE,L 21-31,1,7,7.00,0,0,0,,0,0,0
5,1970,1970-09-27,2,23.040,NYJ,@,BOS,W 31-21,,,,,,,,,,
6,1970,1970-10-04,3,23.047,NYJ,@,BUF,L 31-34,,,,,,,,,,
7,1970,1970-10-10,4,23.053,NYJ,,MIA,L 6-20,,,,,,,,,,
8,1970,1970-10-18,5,23.061,NYJ,,BAL,L 22-29,,,,,,,,,,
9,1970,1970-10-25,6,23.068,NYJ,,BUF,L 6-10,,,,,,,,,,
10,1970,1970-11-01,7,23.075,NYJ,,NYG,L 10-22,,,,,,,,,,
11,1971,1971-12-04,12,24.108,NYJ,@,DAL,L 10-52,,,,,,,,,,
12,1971,1971-12-12,13,24.116,NYJ,,NWE,W 13-6,,,,,,,,,,
13,1971,1971-12-19,14,24.123,NYJ,,CIN,W 35-21,,,,,,,,,,
14,1972,1972-09-17,1,25.030,NYJ,@,BUF,W 41-24,1,22,22.00,0,0,0,,0,0,0
15,1972,1972-09-24,2,25.037,NYJ,@,BAL,W 44-34,,,,,,,,,,
16,1972,1972-10-01,3,25.044,NYJ,@,HOU,L 20-26,,,,,,,,,,
17,1972,1972-10-08,4,25.051,NYJ,,MIA,L 17-27,,,,,,,,,,
18,1972,1972-10-15,5,25.058,NYJ,@,NWE,W 41-13,,,,,,,,,,
19,1972,1972-10-22,6,25.065,NYJ,,BAL,W 24-20,,,,,,,,,,
20,1972,1972-10-29,7,25.072,NYJ,,NWE,W 34-10,,,,,,,,,,
21,1972,1972-11-05,8,25.079,NYJ,,WAS,L 17-35,,,,,,,,,,
22,1972,1972-11-12,9,25.086,NYJ,,BUF,W 41-3,,,,,,,,,,
23,1972,1972-11-19,10,25.093,NYJ,@,MIA,L 24-28,1,4,4.00,1,0,0,,0,1,6
24,1972,1972-11-23,11,25.097,NYJ,@,DET,L 20-37,,,,,,,,,,
25,1972,1972-12-03,12,25.107,NYJ,,NOR,W 18-17,,,,,,,,,,
26,1972,1972-12-11,13,25.115,NYJ,@,OAK,L 16-24,,,,,,,,,,
27,1972,1972-12-17,14,25.121,NYJ,,CLE,L 10-26,,,,,,,,,,
28,1974,1974-09-15,1,27.028,SDG,@,HOU,L 14-21,1,29,29.00,0,0,0,,0,0,0
29,1974,1974-09-22,2,27.035,SDG,@,CIN,W 20-17,,,,,,,,,,
30,1974,1974-09-29,3,27.042,SDG,,MIA,L 21-28,3,71,23.67,1,1,1,1.00,0,1,6
31,1974,1974-10-06,4,27.049,SDG,,PHI,L 7-13,1,11,11.00,0,0,0,,0,0,0
32,1974,1974-10-13,5,27.056,SDG,,OAK,L 10-14,3,31,10.33,0,0,0,,0,0,0
33,1974,1974-10-20,6,27.063,SDG,@,DEN,L 7-27,2,19,9.50,0,0,0,,0,0,0
34,1974,1974-10-27,7,27.070,SDG,,KAN,L 14-24,3,53,17.67,0,0,0,,0,0,0
35,1974,1974-11-03,8,27.077,SDG,,CLE,W 36-35,,,,,,,,,,
36,1974,1974-11-10,9,27.084,SDG,@,KAN,W 14-7,,,,,,,,,,
37,1974,1974-11-17,10,27.091,SDG,@,OAK,L 10-17,2,27,13.50,0,0,0,,0,0,0
38,1974,1974-11-24,11,27.098,SDG,@,GNB,L 0-34,2,18,9.00,0,0,0,,0,0,0
39,1974,1974-12-01,12,27.105,SDG,@,NYJ,L 14-27,1,13,13.00,0,0,0,,0,0,0
40,1974,1974-12-08,13,27.112,SDG,,CHI,W 28-21,,,,,,,,,,
41,1974,1974-12-15,14,27.119,SDG,,DEN,W 17-0,1,11,11.00,0,0,0,,0,0,0
