ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1982,1982-09-12,1,23.253,MIN,,TAM,W 17-10,10,33,3.30,0,,2,24,12.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
2,1982,1982-09-16,2,23.257,MIN,@,BUF,L 22-23,3,10,3.33,0,,2,38,19.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
3,1982,1982-11-21,3,23.323,MIN,@,GNB,L 7-26,4,-5,-1.25,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
4,1982,1982-11-28,4,23.330,MIN,,CHI,W 35-7,11,6,0.55,0,,2,11,5.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
5,1982,1982-12-05,5,23.337,MIN,@,MIA,L 14-22,6,36,6.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,19,19.00,0,0,0,,0,0,0
6,1982,1982-12-26,8,23.358,MIN,,NYJ,L 14-42,8,48,6.00,0,,2,15,7.50,0,,,0,0,,0,0,0,,,,,,2,38,19.00,0,0,0,,0,0,0
7,1982,1983-01-03,9,24.001,MIN,,DAL,W 31-27,2,8,4.00,0,,1,12,12.00,0,,,0,0,,0,0,0,,,,,,3,75,25.00,0,0,0,,0,0,0
8,1983,1983-09-04,1,24.245,MIN,@,CLE,W 27-21,10,70,7.00,0,,2,19,9.50,0,,,0,0,,0,0,0,,,,,,1,21,21.00,0,0,0,,0,0,0
9,1983,1983-09-08,2,24.249,MIN,,SFO,L 17-48,3,15,5.00,0,,2,13,6.50,0,,,0,0,,0,0,0,,,,,,1,42,42.00,0,0,0,,0,0,0
10,1983,1983-09-18,3,24.259,MIN,@,TAM,W 19-16,8,15,1.88,0,,1,5,5.00,0,,,0,0,,0,0,0,,,,,,2,32,16.00,0,0,0,,0,0,0
11,1983,1983-09-25,4,24.266,MIN,,DET,W 20-17,10,19,1.90,0,,3,43,14.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
12,1983,1983-10-02,5,24.273,MIN,,DAL,L 24-37,7,15,2.14,0,,5,68,13.60,0,,,0,0,,0,0,0,,,,,,3,88,29.33,0,0,0,,0,0,0
13,1983,1983-10-09,6,24.280,MIN,@,CHI,W 23-14,10,78,7.80,1,,1,29,29.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
14,1983,1983-10-16,7,24.287,MIN,,HOU,W 34-14,13,74,5.69,0,,4,57,14.25,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
15,1983,1983-10-23,8,24.294,MIN,@,GNB,W 20-17,11,28,2.55,0,,5,40,8.00,0,,,0,0,,0,0,0,,,,,,1,21,21.00,0,0,0,,0,0,0
16,1983,1983-10-30,9,24.301,MIN,@,STL,L 31-41,10,14,1.40,0,,5,65,13.00,0,,,0,0,,0,0,0,,,,,,1,50,50.00,0,0,0,,0,0,0
