ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2017,2017-10-15,6,22.030,NYG,@,DEN,W 23-10,,1,0,0,,0,0.0%,0.00
2,2017,2017-10-22,7,22.037,NYG,,SEA,L 7-24,,6,3,32,10.67,0,50.0%,5.33
3,2017,2017-11-05,8,22.051,NYG,,LAR,L 17-51,,0,0,0,,0,0.0%,
4,2017,2017-11-19,10,22.065,NYG,,KAN,W 12-9,,6,3,34,11.33,0,50.0%,5.67
5,2017,2017-11-23,11,22.069,NYG,@,WAS,L 10-20,,2,0,0,,0,0.0%,0.00
6,2017,2017-12-24,15,22.100,NYG,@,ARI,L 0-23,,2,1,6,6.00,0,50.0%,3.00
7,2017,2017-12-31,16,22.107,NYG,,WAS,W 18-10,*,4,1,29,29.00,0,25.0%,7.25
