ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1984,1984-09-02,1,22.017,NOR,,ATL,L 28-36,1,31,31.00,0,2,15,7.50,0,0,0
2,1984,1984-09-09,2,22.024,NOR,,TAM,W 17-13,1,29,29.00,0,1,14,14.00,0,0,0
3,1984,1984-09-16,3,22.031,NOR,@,SFO,L 20-30,2,36,18.00,0,4,26,6.50,0,0,0
4,1984,1984-09-23,4,22.038,NOR,,STL,W 34-24,3,51,17.00,0,2,64,32.00,0,0,0
5,1984,1984-10-07,6,22.052,NOR,@,CHI,L 7-20,1,22,22.00,0,1,5,5.00,0,0,0
6,1984,1984-10-28,9,22.073,NOR,@,CLE,W 16-14,0,0,,0,3,12,4.00,0,0,0
7,1984,1984-11-04,10,22.080,NOR,,GNB,L 13-23,0,0,,0,3,25,8.33,0,0,0
8,1984,1984-11-11,11,22.087,NOR,@,ATL,W 17-13,0,0,,0,3,31,10.33,0,0,0
9,1984,1984-11-19,12,22.095,NOR,,PIT,W 27-24,0,0,,0,2,12,6.00,0,0,0
10,1984,1984-11-25,13,22.101,NOR,,SFO,L 3-35,4,92,23.00,0,0,0,,0,0,0
11,1984,1984-12-02,14,22.108,NOR,@,RAM,L 21-34,4,55,13.75,0,1,8,8.00,0,0,0
12,1984,1984-12-09,15,22.115,NOR,,CIN,L 21-24,1,15,15.00,0,4,24,6.00,0,0,0
13,1984,1984-12-15,16,22.121,NOR,@,NYG,W 10-3,2,25,12.50,0,1,0,0.00,0,0,0
14,1987,1987-10-04,3,25.049,IND,@,BUF,W 47-6,,,,,,,,,,
15,1987,1987-10-18,5,25.063,KAN,,DEN,L 17-26,1,13,13.00,0,2,123,61.50,1,1,6
16,1987,1987-11-01,7,25.077,KAN,@,CHI,L 28-31,0,0,,0,0,0,,0,,
17,1987,1987-12-13,13,25.119,KAN,,RAI,W 16-10,0,0,,0,3,6,2.00,0,0,0
18,1987,1987-12-19,14,25.125,KAN,@,DEN,L 17-20,0,0,,0,2,26,13.00,0,0,0
19,1987,1987-12-27,15,25.133,KAN,,SEA,W 41-20,0,0,,0,1,6,6.00,0,0,0
