ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1985,1985-09-08,1,23.285,HOU,,MIA,W 26-23,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,85,42.50,0
2,1985,1985-09-15,2,23.292,HOU,@,WAS,L 13-16,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,271,45.17,0
3,1985,1985-09-22,3,23.299,HOU,@,PIT,L 0-20,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,7,267,38.14,0
4,1985,1985-09-29,4,23.306,HOU,,DAL,L 10-17,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,278,46.33,0
5,1985,1985-10-06,5,23.313,HOU,@,DEN,L 20-31,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,7,315,45.00,0
6,1985,1985-10-13,6,23.320,HOU,,CLE,L 6-21,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,8,398,49.75,0
7,1985,1985-10-20,7,23.327,HOU,,CIN,W 44-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,137,45.67,0
8,1985,1985-10-27,8,23.334,HOU,@,STL,W 20-10,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,209,34.83,0
9,1985,1985-11-03,9,23.341,HOU,,KAN,W 23-20,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,104,52.00,0
10,1985,1985-11-10,10,23.348,HOU,@,BUF,L 0-20,,1,0,0.00,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,181,30.17,0
11,1985,1985-11-17,11,23.355,HOU,,PIT,L 7-30,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,294,49.00,0
12,1985,1985-11-24,12,23.362,HOU,,SDG,W 37-35,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,173,43.25,0
13,1985,1985-12-01,13,24.004,HOU,@,CIN,L 27-45,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,177,35.40,0
14,1985,1985-12-08,14,24.011,HOU,,NYG,L 14-35,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,239,47.80,0
15,1985,1985-12-15,15,24.018,HOU,@,CLE,L 21-28,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,174,29.00,0
16,1985,1985-12-22,16,24.025,HOU,@,IND,L 16-34,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,162,40.50,0
17,1986,1986-09-07,1,24.284,HOU,@,GNB,W 31-3,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,1,40,40.00,0
18,1986,1986-09-14,2,24.291,HOU,,CLE,L 20-23,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,145,36.25,0
19,1986,1986-09-21,3,24.298,HOU,@,KAN,L 13-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,7,318,45.43,0
20,1986,1986-09-28,4,24.305,HOU,,PIT,L 16-22,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,7,327,46.71,0
