ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2003,2003-09-07,1,22.334,SDG,@,KAN,L 14-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2003,2003-09-14,2,22.341,SDG,,DEN,L 13-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,2003-09-21,3,22.348,SDG,,BAL,L 10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2003,2003-09-28,4,22.355,SDG,@,OAK,L 31-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2003,2003-10-05,5,22.362,SDG,@,JAX,L 21-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2003,2003-10-19,6,23.011,SDG,@,CLE,W 26-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2003,2003-10-27,7,23.019,SDG,,MIA,L 10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2003,2003-11-02,8,23.025,SDG,@,CHI,L 7-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2003,2003-11-09,9,23.032,SDG,,MIN,W 42-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2003,2003-11-16,10,23.039,SDG,@,DEN,L 8-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2003,2003-11-23,11,23.046,SDG,,CIN,L 27-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2003,2003-11-30,12,23.053,SDG,,KAN,L 24-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2003,2003-12-07,13,23.060,SDG,@,DET,W 14-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2003,2003-12-14,14,23.067,SDG,,GNB,L 21-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2003,2003-12-21,15,23.074,SDG,@,PIT,L 24-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2003,2003-12-28,16,23.081,SDG,,OAK,W 21-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2004,2004-09-12,1,23.340,SDG,@,HOU,W 27-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,4,156,39.00,0
18,2004,2004-09-19,2,23.347,SDG,,NYJ,L 28-34,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,4,157,39.25,0
19,2004,2004-09-26,3,23.354,SDG,@,DEN,L 13-23,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,6,295,49.17,0
20,2004,2004-10-03,4,23.361,SDG,,TEN,W 38-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,4,176,44.00,0
21,2004,2004-10-10,5,24.002,SDG,,JAX,W 34-21,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,4,166,41.50,0
22,2004,2004-10-17,6,24.009,SDG,@,ATL,L 20-21,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,5,217,43.40,0
23,2004,2004-10-24,7,24.016,SDG,@,CAR,W 17-6,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,5,175,35.00,0
24,2004,2004-10-31,8,24.023,SDG,,OAK,W 42-14,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,3,146,48.67,0
25,2004,2004-11-07,9,24.030,SDG,,NOR,W 43-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,1,31,31.00,0
26,2004,2004-11-21,10,24.044,SDG,@,OAK,W 23-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,4,173,43.25,0
27,2004,2004-11-28,11,24.051,SDG,@,KAN,W 34-31,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,3,135,45.00,0
28,2004,2004-12-05,12,24.058,SDG,,DEN,W 20-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,8,372,46.50,0
29,2004,2004-12-12,13,24.065,SDG,,TAM,W 31-24,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,4,187,46.75,0
30,2004,2004-12-19,14,24.072,SDG,@,CLE,W 21-0,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,6,233,38.83,0
31,2004,2004-12-26,15,24.079,SDG,@,IND,L 31-34,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,0.0,,,4,199,49.75,0
32,2004,2005-01-02,16,24.086,SDG,,KAN,W 24-17,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,,,,,,,0,0,0.0,,,4,156,39.00,0
33,2005,2005-09-11,1,24.338,SDG,,DAL,L 24-28,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,2,63,31.50,0
34,2005,2005-09-18,2,24.345,SDG,@,DEN,L 17-20,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,6,275,45.83,0
35,2005,2005-09-25,3,24.352,SDG,,NYG,W 45-23,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,2,85,42.50,0
36,2005,2005-10-02,4,24.359,SDG,@,NWE,W 41-17,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,3,151,50.33,0
37,2005,2005-10-10,5,25.002,SDG,,PIT,L 22-24,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,4,193,48.25,0
38,2005,2005-10-16,6,25.008,SDG,@,OAK,W 27-14,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,7,298,42.57,0
39,2005,2005-10-23,7,25.015,SDG,@,PHI,L 17-20,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,7,312,44.57,0
40,2005,2005-10-30,8,25.022,SDG,,KAN,W 28-20,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,6,295,49.17,0
41,2005,2005-11-06,9,25.029,SDG,@,NYJ,W 31-26,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,2,115,57.50,0
42,2005,2005-11-20,10,25.043,SDG,,BUF,W 48-10,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,1,53,53.00,0
43,2005,2005-11-27,11,25.050,SDG,@,WAS,W 23-17,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,6,230,38.33,0
