ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2017,2017-09-17,1,23.084,MIA,@,LAC,W 19-17,,0,0,,0,0,0,,0,0,,,3,130,43.33,0
2,2017,2017-09-24,2,23.091,MIA,@,NYJ,L 6-20,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,7,333,47.57,0
3,2017,2017-10-01,3,23.098,MIA,,NOR,L 0-20,,0,0,,0,0,0,,0,0,,,6,263,43.83,0
4,2017,2017-10-08,4,23.105,MIA,,TEN,W 16-10,,0,0,,0,0,0,,0,0,,,9,459,51.00,0
5,2017,2017-10-15,5,23.112,MIA,@,ATL,W 20-17,,0,0,,0,0,0,,0,0,,,2,80,40.00,0
6,2017,2017-10-22,6,23.119,MIA,,NYJ,W 31-28,,0,0,,0,0,0,,0,0,,,6,267,44.50,0
7,2017,2017-10-26,7,23.123,MIA,@,BAL,L 0-40,,0,0,,0,0,0,,0,0,,,8,328,41.00,0
8,2017,2017-11-05,8,23.133,MIA,,OAK,L 24-27,,0,0,,0,0,0,,0,0,,,5,221,44.20,0
9,2017,2017-11-13,9,23.141,MIA,@,CAR,L 21-45,,0,0,,0,0,0,,0,0,,,4,167,41.75,0
10,2017,2017-11-19,10,23.147,MIA,,TAM,L 20-30,,0,0,,0,0,0,,0,0,,,2,106,53.00,0
11,2017,2017-11-26,11,23.154,MIA,@,NWE,L 17-35,,0,0,,0,0,0,,0,0,,,5,208,41.60,0
12,2017,2017-12-03,12,23.161,MIA,,DEN,W 35-9,,0,0,,0,0,0,,0,0,,,9,386,42.89,0
13,2017,2017-12-11,13,23.169,MIA,,NWE,W 27-20,,0,0,,0,0,0,,0,0,,,7,315,45.00,0
14,2017,2017-12-17,14,23.175,MIA,@,BUF,L 16-24,,0,0,,0,0,0,,0,0,,,4,187,46.75,0
15,2017,2017-12-24,15,23.182,MIA,@,KAN,L 13-29,,0,0,,0,0,0,,0,0,,,2,59,29.50,0
16,2017,2017-12-31,16,23.189,MIA,,BUF,L 16-22,,0,0,,0,0,0,,0,0,,,4,186,46.50,0
17,2018,2018-09-09,1,24.076,MIA,,TEN,W 27-20,,0,0,,0,0,0,,0,0,,,4,215,53.75,0
18,2018,2018-09-16,2,24.083,MIA,@,NYJ,W 20-12,,0,0,,0,0,0,,0,0,,,6,295,49.17,0
19,2018,2018-09-23,3,24.090,MIA,,OAK,W 28-20,,0,0,,0,0,0,,0,0,,,6,282,47.00,0
