ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-11-17,10,22.359,WAS,@,PHI,L 16-24,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,1,0,0.00,0,1,0,2,0.0,0,0
2,2013,2013-12-01,12,23.008,WAS,,NYG,L 17-24,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
3,2013,2013-12-15,14,23.022,WAS,@,ATL,L 26-27,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
4,2013,2013-12-22,15,23.029,WAS,,DAL,L 23-24,,0,0,0,,0,0.0%,,4,95,23.75,0,0,0,,0,,0,0,0.0,0,0
5,2013,2013-12-29,16,23.036,WAS,@,NYG,L 6-20,,6,0,0,,0,0.0%,0.00,5,93,18.60,0,0,0,,0,,0,0,0.0,2,0
6,2015,2015-09-14,1,24.295,ATL,,PHI,W 26-24,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
7,2015,2015-09-20,2,24.301,ATL,@,NYG,W 24-20,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
8,2015,2015-09-27,3,24.308,ATL,@,DAL,W 39-28,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
9,2015,2015-10-04,4,24.315,ATL,,HOU,W 48-21,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
10,2015,2015-10-11,5,24.322,ATL,,WAS,W 25-19,,4,1,13,13.00,0,25.0%,3.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
11,2015,2015-10-15,6,24.326,ATL,@,NOR,L 21-31,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
12,2015,2015-10-25,7,24.336,ATL,@,TEN,W 10-7,,5,3,43,14.33,0,60.0%,8.60,0,0,,0,0,0,,0,,0,0,0.0,0,0
13,2015,2015-11-08,9,24.350,ATL,@,SFO,L 16-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
14,2015,2015-11-29,11,25.006,ATL,,MIN,L 10-20,,4,3,16,5.33,1,75.0%,4.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
15,2015,2015-12-06,12,25.013,ATL,@,TAM,L 19-23,,2,1,5,5.00,1,50.0%,2.50,0,0,,0,0,0,,0,,1,6,0.0,0,0
16,2015,2015-12-13,13,25.020,ATL,@,CAR,L 0-38,,4,4,40,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
17,2015,2015-12-20,14,25.027,ATL,@,JAX,W 23-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
18,2015,2015-12-27,15,25.034,ATL,,CAR,W 20-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
19,2015,2016-01-03,16,25.041,ATL,,NOR,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
20,2016,2016-12-11,13,26.018,ATL,@,LAR,W 42-14,,5,4,49,12.25,0,80.0%,9.80,0,0,,0,0,0,,0,,0,0,0.0,0,0
21,2016,2017-01-01,16,26.039,ATL,,NOR,W 38-32,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
22,2017,2017-10-01,4,26.312,ATL,,BUF,L 17-23,,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
