ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2007,2007-10-01,4,24.017,CIN,,NWE,L 13-34,,,,,,,,,,
2,2007,2007-10-14,5,24.030,CIN,@,KAN,L 20-27,,,,,,,,,,
3,2007,2007-11-04,8,24.051,CIN,@,BUF,L 21-33,,,,,,,,,,
4,2007,2007-11-11,9,24.058,CIN,@,BAL,W 21-7,,,,,,,,,,
5,2007,2007-12-30,16,24.107,CIN,@,MIA,W 38-25,,,,,,,,,,
6,2008,2008-09-07,1,24.359,CIN,@,BAL,L 10-17,*,,0,0,0.0,4,2,0,0,0
7,2008,2008-09-14,2,25.000,CIN,,TEN,L 7-24,*,,0,0,0.0,3,2,0,0,0
8,2008,2008-09-21,3,25.007,CIN,@,NYG,L 23-26,,,0,0,0.0,1,1,0,0,0
9,2008,2008-09-28,4,25.014,CIN,,CLE,L 12-20,,,0,0,0.0,1,0,0,0,0
10,2008,2008-10-05,5,25.021,CIN,@,DAL,L 22-31,,,0,0,0.0,2,0,0,0,0
11,2008,2008-10-12,6,25.028,CIN,@,NYJ,L 14-26,,,0,0,1.0,2,0,0,0,0
12,2008,2008-10-19,7,25.035,CIN,,PIT,L 10-38,,,0,0,0.0,0,0,0,0,0
13,2008,2008-10-26,8,25.042,CIN,@,HOU,L 6-35,,,,,,,,,,
14,2008,2008-11-02,9,25.049,CIN,,JAX,W 21-19,,,0,0,0.0,0,1,0,0,0
15,2008,2008-11-16,10,25.063,CIN,,PHI,T 13-13,*,,0,0,0.0,2,2,0,0,0
16,2008,2008-11-20,11,25.067,CIN,@,PIT,L 10-27,*,,0,0,0.0,0,1,0,0,0
17,2009,2009-10-04,4,26.020,CIN,@,CLE,W 23-20,,,0,0,0.0,1,0,0,0,0
18,2009,2009-10-11,5,26.027,CIN,@,BAL,W 17-14,,,0,0,0.0,0,1,0,0,0
19,2009,2009-10-25,7,26.041,CIN,,CHI,W 45-10,,,0,0,1.0,2,0,0,0,0
20,2009,2009-11-08,8,26.055,CIN,,BAL,W 17-7,,,0,0,0.0,0,2,0,0,0
21,2009,2009-11-15,9,26.062,CIN,@,PIT,W 18-12,,,0,0,0.0,0,0,1,26,0
22,2009,2009-11-22,10,26.069,CIN,@,OAK,L 17-20,,,0,0,0.0,1,0,0,0,0
23,2009,2009-11-29,11,26.076,CIN,,CLE,W 16-7,,,0,0,0.0,1,1,0,0,0
24,2009,2009-12-06,12,26.083,CIN,,DET,W 23-13,,,,,,,,,,
25,2009,2009-12-13,13,26.090,CIN,@,MIN,L 10-30,,,0,0,0.0,1,0,0,0,0
26,2009,2009-12-20,14,26.097,CIN,@,SDG,L 24-27,,,,,,,,,,
27,2009,2009-12-27,15,26.104,CIN,,KAN,W 17-10,,,0,0,0.0,0,1,0,0,0
28,2009,2010-01-03,16,26.111,CIN,@,NYJ,L 0-37,*,,0,0,0.0,1,1,0,0,0
29,2010,2010-09-12,1,26.363,CIN,@,NWE,L 24-38,,,0,0,0.0,1,0,0,0,0
30,2010,2010-09-19,2,27.005,CIN,,BAL,W 15-10,,,,,,,,,,
31,2010,2010-09-26,3,27.012,CIN,@,CAR,W 20-7,,,0,0,1.0,2,0,0,0,0
32,2010,2010-10-03,4,27.019,CIN,@,CLE,L 20-23,,,0,0,0.0,0,1,0,0,0
33,2010,2010-10-10,5,27.026,CIN,,TAM,L 21-24,,,0,0,0.0,0,1,0,0,0
34,2010,2010-10-24,6,27.040,CIN,@,ATL,L 32-39,*,,0,0,0.0,1,1,0,0,0
35,2010,2010-10-31,7,27.047,CIN,,MIA,L 14-22,*,,0,0,0.0,1,3,0,0,0
