ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1965,1965-09-19,2,23.216,BOS,@,HOU,L 10-31,2,9,4.50,0,1,0,0
2,1965,1965-10-24,7,23.251,BOS,@,OAK,L 21-30,1,6,6.00,0,0,0,0
3,1965,1965-10-31,8,23.258,BOS,@,SDG,W 22-6,1,1,1.00,0,1,14,0
4,1965,1965-12-12,13,23.300,BOS,@,DEN,W 28-20,1,5,5.00,0,0,0,0
5,1966,1966-09-10,1,24.207,BOS,@,SDG,L 0-24,2,10,5.00,0,0,0,0
6,1966,1966-09-25,3,24.222,BOS,,KAN,L 24-43,1,0,0.00,0,0,0,0
7,1966,1966-10-02,4,24.229,BOS,,NYJ,T 24-24,0,0,,0,2,60,0
8,1966,1966-10-08,5,24.235,BOS,@,BUF,W 20-10,1,7,7.00,0,0,0,0
9,1966,1966-10-30,7,24.257,BOS,,OAK,W 24-21,2,16,8.00,0,1,24,0
10,1966,1966-11-20,10,24.278,BOS,@,KAN,T 27-27,0,0,,0,1,0,0
11,1966,1966-11-27,11,24.285,BOS,@,MIA,W 20-14,0,0,,0,1,15,0
12,1966,1966-12-04,12,24.292,BOS,,BUF,W 14-3,0,0,,0,1,0,0
13,1966,1966-12-17,14,24.305,BOS,@,NYJ,L 28-38,1,6,6.00,0,0,0,0
