ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
32,2009,2009-10-25,7,23.186,BUF,@,CAR,W 20-9,*,17,40,2.35,1,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
33,2009,2009-11-01,8,23.193,BUF,,HOU,L 10-31,*,9,43,4.78,0,5,3,6,2.00,0,60.0%,1.20,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
34,2009,2009-11-15,9,23.207,BUF,@,TEN,L 17-41,*,9,37,4.11,0,6,4,18,4.50,0,66.7%,3.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
35,2009,2009-11-22,10,23.214,BUF,@,JAX,L 15-18,*,8,18,2.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,1,0
36,2009,2009-11-29,11,23.221,BUF,,MIA,W 31-14,,3,6,2.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
37,2009,2009-12-03,12,23.225,BUF,,NYJ,L 13-19,,6,60,10.00,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
38,2009,2009-12-13,13,23.235,BUF,@,KAN,W 16-10,,12,84,7.00,0,3,3,10,3.33,0,100.0%,3.33,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
39,2009,2009-12-20,14,23.242,BUF,,NWE,L 10-17,,8,25,3.13,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
40,2009,2009-12-27,15,23.249,BUF,@,ATL,L 3-31,,3,3,1.00,0,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
41,2009,2010-01-03,16,23.256,BUF,,IND,W 30-7,,1,0,0.00,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
42,2010,2010-09-12,1,24.143,BUF,,MIA,L 10-15,,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
43,2010,2010-09-19,2,24.150,BUF,@,GNB,L 7-34,*,17,64,3.76,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
44,2010,2010-09-26,3,24.157,BUF,@,NWE,L 30-38,*,13,79,6.08,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
45,2010,2010-10-03,4,24.164,BUF,,NYJ,L 14-38,*,4,8,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
46,2010,2010-10-17,5,24.178,SEA,@,CHI,W 23-20,*,17,44,2.59,1,3,3,9,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
47,2010,2010-10-24,6,24.185,SEA,,ARI,W 22-10,*,24,89,3.71,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
48,2010,2010-10-31,7,24.192,SEA,@,OAK,L 3-33,*,9,7,0.78,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,1
49,2010,2010-11-07,8,24.199,SEA,,NYG,L 7-41,*,11,48,4.36,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
50,2010,2010-11-14,9,24.206,SEA,@,ARI,W 36-18,*,13,29,2.23,1,2,2,33,16.50,0,100.0%,16.50,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
51,2010,2010-11-21,10,24.213,SEA,@,NOR,L 19-34,*,7,36,5.14,0,6,4,19,4.75,0,66.7%,3.17,0,0,,0,0,0,,,,,,,0,0,0.0,1,0
52,2010,2010-11-28,11,24.220,SEA,,KAN,L 24-42,*,7,20,2.86,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
53,2010,2010-12-05,12,24.227,SEA,,CAR,W 31-14,*,21,83,3.95,3,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,,,,,,3,18,0.0,0,0
54,2010,2010-12-12,13,24.234,SEA,@,SFO,L 21-40,*,10,29,2.90,0,8,7,37,5.29,0,87.5%,4.63,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
55,2010,2010-12-19,14,24.241,SEA,,ATL,L 18-34,*,12,60,5.00,1,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
56,2010,2010-12-26,15,24.248,SEA,@,TAM,L 15-38,*,14,53,3.79,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
57,2010,2011-01-02,16,24.255,SEA,,STL,W 16-6,,20,75,3.75,0,1,1,-7,-7.00,0,100.0%,-7.00,0,0,,0,0,0,,,,,,,0,0,0.0,1,0
