ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2017,2017-10-22,7,23.184,JAX,@,IND,W 27-0,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
2,2017,2017-11-05,8,23.198,JAX,,CIN,W 23-7,,0,0,0,,0,0.0%,,0,0,,0,3,82,27.33,1,1,6
3,2017,2017-11-12,9,23.205,JAX,,LAC,W 20-17,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,7,30,4.29,0,0,0
4,2017,2017-11-19,10,23.212,JAX,@,CLE,W 19-7,,0,0,0,,0,0.0%,,0,0,,0,4,38,9.50,0,0,0
5,2017,2017-11-26,11,23.219,JAX,@,ARI,L 24-27,,0,0,0,,0,0.0%,,1,0,0.00,0,1,14,14.00,0,0,0
6,2017,2017-12-03,12,23.226,JAX,,IND,W 30-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
7,2017,2017-12-10,13,23.233,JAX,,SEA,W 30-24,,0,0,0,,0,0.0%,,1,20,20.00,0,3,72,24.00,0,0,0
8,2017,2017-12-17,14,23.240,JAX,,HOU,W 45-7,,5,4,61,15.25,2,80.0%,12.20,0,0,,0,5,38,7.60,0,2,12
9,2017,2017-12-24,15,23.247,JAX,@,SFO,L 33-44,,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,,0,0,0
10,2017,2017-12-31,16,23.254,JAX,@,TEN,L 10-15,,0,0,0,,0,0.0%,,0,0,,0,4,13,3.25,0,0,0
11,2018,2018-09-09,1,24.141,JAX,@,NYG,W 20-15,,0,0,0,,0,0.0%,,2,45,22.50,0,2,10,5.00,0,0,0
12,2018,2018-09-16,2,24.148,JAX,,NWE,W 31-20,,0,0,0,,0,0.0%,,1,26,26.00,0,2,21,10.50,0,0,0
13,2018,2018-09-23,3,24.155,JAX,,TEN,L 6-9,,0,0,0,,0,0.0%,,1,25,25.00,0,2,11,5.50,0,0,0
