ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,2016,2016-09-11,1,22.251,TEN,,MIN,L 16-25,*,5,3,0.60,0,2,2,41,20.50,0,100.0%,20.50,0,0,,0,0,0,,0,0,,,0,0
2,2016,2016-09-18,2,22.258,TEN,@,DET,W 16-15,,9,40,4.44,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,0,0
3,2016,2016-09-25,3,22.265,TEN,,OAK,L 10-17,,10,45,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
4,2016,2016-10-02,4,22.272,TEN,@,HOU,L 20-27,,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
5,2016,2016-10-09,5,22.279,TEN,@,MIA,W 30-17,,7,54,7.71,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
6,2016,2016-10-16,6,22.286,TEN,,CLE,W 28-26,,2,7,3.50,0,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,0,0
7,2016,2016-10-23,7,22.293,TEN,,IND,L 26-34,,1,3,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0
8,2016,2016-10-27,8,22.297,TEN,,JAX,W 36-22,,16,60,3.75,1,5,4,37,9.25,0,80.0%,7.40,0,0,,0,0,0,,0,0,,,1,6
9,2016,2016-11-13,10,22.314,TEN,,GNB,W 47-25,,9,31,3.44,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
10,2016,2016-11-20,11,22.321,TEN,@,IND,L 17-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
11,2016,2016-11-27,12,22.328,TEN,@,CHI,W 27-21,,8,60,7.50,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,6
12,2016,2016-12-11,13,22.342,TEN,,DEN,W 13-10,,12,42,3.50,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0
13,2016,2016-12-18,14,22.349,TEN,@,KAN,W 19-17,,9,58,6.44,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,12
