ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2005,2005-09-11,1,23.225,CHI,@,WAS,L 7-9,,4,1,22,22.00,0,25.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,4,70,17.50,0,0,0
2,2005,2005-09-18,2,23.232,CHI,,DET,W 38-6,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
3,2005,2005-09-25,3,23.239,CHI,,CIN,L 7-24,,8,2,26,13.00,0,25.0%,3.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
4,2005,2005-10-09,4,23.253,CHI,@,CLE,L 10-20,*,8,4,33,8.25,0,50.0%,4.13,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,2005,2005-10-16,5,23.260,CHI,,MIN,W 28-3,*,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
6,2005,2005-10-23,6,23.267,CHI,,BAL,W 10-6,*,7,4,37,9.25,0,57.1%,5.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
7,2005,2005-10-30,7,23.274,CHI,@,DET,W 19-13,*,5,5,88,17.60,0,100.0%,17.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,2005,2005-11-06,8,23.281,CHI,@,NOR,W 20-17,,,0,,,,0.0%,,,,,,,,,,,,,,,,,0,,,,,
9,2006,2006-09-17,2,24.231,CHI,,DET,W 34-7,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
10,2006,2006-09-24,3,24.238,CHI,@,MIN,W 19-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
11,2006,2006-11-12,9,24.287,CHI,@,NYG,W 38-20,,6,4,79,19.75,1,66.7%,13.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
12,2006,2006-11-19,10,24.294,CHI,@,NYJ,W 10-0,,5,4,80,20.00,1,80.0%,16.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
13,2006,2006-11-26,11,24.301,CHI,@,NWE,L 13-17,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
14,2006,2006-12-03,12,24.308,CHI,,MIN,W 23-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
15,2006,2006-12-11,13,24.316,CHI,@,STL,W 42-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
16,2006,2006-12-17,14,24.322,CHI,,TAM,W 34-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
17,2006,2006-12-24,15,24.329,CHI,@,DET,W 26-21,,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
18,2006,2006-12-31,16,24.336,CHI,,GNB,L 7-26,,1,1,75,75.00,1,100.0%,75.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
19,2007,2007-09-09,1,25.223,CHI,@,SDG,L 3-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
20,2007,2007-09-16,2,25.230,CHI,,KAN,W 20-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
21,2007,2007-09-23,3,25.237,CHI,,DAL,L 10-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
22,2007,2007-09-30,4,25.244,CHI,@,DET,L 27-37,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
23,2007,2007-10-07,5,25.251,CHI,@,GNB,W 27-20,,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
24,2007,2007-10-14,6,25.258,CHI,,MIN,L 31-34,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
25,2007,2007-10-21,7,25.265,CHI,@,PHI,W 19-16,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
26,2007,2007-10-28,8,25.272,CHI,,DET,L 7-16,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
27,2007,2007-11-11,9,25.286,CHI,@,OAK,W 17-6,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
28,2007,2007-11-25,11,25.300,CHI,,DEN,W 37-34,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
