ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1950,1950-09-17,1,27.288,RAM,,CHI,L 20-24,3,47,15.67,0,0,0,,0
2,1950,1950-09-22,2,27.293,RAM,,NYY,W 45-28,2,44,22.00,1,0,0,,0
3,1950,1950-10-01,3,27.302,RAM,@,SFO,W 35-14,4,87,21.75,0,0,0,,0
4,1950,1950-10-07,4,27.308,RAM,@,PHI,L 20-56,9,123,13.67,0,0,0,,0
5,1950,1950-10-15,5,27.316,RAM,@,DET,W 30-28,7,99,14.14,0,0,0,,0
6,1950,1950-10-22,6,27.323,RAM,,BAL,W 70-27,5,83,16.60,1,0,0,,0
7,1950,1950-10-29,7,27.330,RAM,,DET,W 65-24,6,85,14.17,2,0,0,,0
8,1950,1950-11-05,8,27.337,RAM,,SFO,W 28-21,5,53,10.60,0,0,0,,0
9,1950,1950-11-12,9,27.344,RAM,@,GNB,W 45-14,7,128,18.29,1,0,0,,0
10,1950,1950-11-19,10,27.351,RAM,@,NYY,W 43-35,8,92,11.50,0,0,0,,0
11,1950,1950-11-26,11,27.358,RAM,@,CHI,L 14-24,10,86,8.60,0,0,0,,0
12,1950,1950-12-03,12,28.000,RAM,,GNB,W 51-14,18,189,10.50,2,0,0,,0
13,1951,1951-09-28,1,28.299,RAM,,NYY,W 54-14,7,162,23.14,0,0,0,,0
14,1951,1951-10-07,2,28.308,RAM,,CLE,L 23-38,5,45,9.00,0,0,0,,0
15,1951,1951-10-14,3,28.315,RAM,@,DET,W 27-21,4,77,19.25,1,0,0,,0
16,1951,1951-12-02,10,28.364,RAM,@,CHI,W 42-17,5,68,13.60,1,0,0,,0
17,1951,1951-12-09,11,29.006,RAM,,DET,L 22-24,5,93,18.60,0,0,0,,0
18,1951,1951-12-16,12,29.013,RAM,,GNB,W 42-14,6,83,13.83,1,0,0,,0
19,1952,1952-09-28,1,29.300,RAM,@,CLE,L 7-37,2,42,21.00,0,0,0,,0
20,1952,1952-10-12,3,29.314,RAM,@,GNB,W 30-28,5,61,12.20,0,0,0,,0
21,1952,1952-10-19,4,29.321,RAM,@,DET,L 16-24,3,37,12.33,1,0,0,,0
22,1952,1952-10-26,5,29.328,RAM,,CHI,W 31-7,3,51,17.00,1,0,0,,0
23,1952,1952-11-02,6,29.335,RAM,,DTX,W 42-20,8,112,14.00,1,1,0,0.00,0
24,1952,1952-11-09,7,29.342,RAM,@,DTX,W 27-6,2,12,6.00,1,0,0,,0
25,1952,1952-11-16,8,29.349,RAM,@,CHI,W 40-24,2,21,10.50,0,0,0,,0
26,1952,1952-11-23,9,29.356,RAM,,SFO,W 35-9,3,46,15.33,0,0,0,,0
27,1952,1952-11-30,10,29.363,RAM,@,SFO,W 34-21,6,45,7.50,0,0,0,,0
28,1952,1952-12-07,11,30.004,RAM,,GNB,W 45-27,4,51,12.75,0,0,0,,0
29,1952,1952-12-14,12,30.011,RAM,,PIT,W 28-14,10,122,12.20,2,0,0,,0
30,1953,1953-09-27,1,30.298,RAM,,NYG,W 21-7,5,54,10.80,1,0,0,,0
31,1953,1953-10-18,4,30.319,RAM,@,DET,W 31-19,2,26,13.00,0,0,0,,0
32,1953,1953-11-29,10,30.361,RAM,@,CHI,L 21-24,8,104,13.00,1,0,0,,0
33,1953,1953-12-05,11,31.002,RAM,,BAL,W 45-2,4,43,10.75,1,0,0,,0
34,1953,1953-12-12,12,31.009,RAM,,GNB,W 33-17,4,51,12.75,1,0,0,,0
35,1954,1954-10-24,5,31.325,RAM,,CHI,W 42-38,4,46,11.50,1,0,0,,0
36,1954,1954-10-31,6,31.332,RAM,,DET,L 24-27,3,71,23.67,0,0,0,,0
37,1954,1954-11-07,7,31.339,RAM,@,SFO,W 42-34,4,52,13.00,0,0,0,,0
38,1954,1954-11-21,9,31.353,RAM,@,NYG,W 17-16,9,136,15.11,1,1,10,10.00,0
39,1954,1954-11-28,10,31.360,RAM,@,CHI,L 13-24,7,134,19.14,0,0,0,,0
40,1954,1954-12-04,11,32.001,RAM,,BAL,L 21-22,3,33,11.00,0,0,0,,0
41,1954,1954-12-12,12,32.009,RAM,,GNB,W 35-27,6,74,12.33,1,0,0,,0
42,1955,1955-09-25,1,32.296,RAM,@,SFO,W 23-14,2,19,9.50,0,0,0,,0
43,1955,1955-10-02,2,32.303,RAM,,PIT,W 27-26,4,43,10.75,1,0,0,,0
