ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2014,2014-09-07,1,23.325,TAM,,CAR,L 14-20,,0,0,,0,2,52,26.00,0,4,56,14.00,0
2,2014,2014-09-14,2,23.332,TAM,,STL,L 17-19,,0,0,,0,3,71,23.67,0,1,0,0.00,0
3,2014,2014-09-18,3,23.336,TAM,@,ATL,L 14-56,,0,0,,0,4,78,19.50,0,1,9,9.00,0
4,2014,2014-09-28,4,23.346,TAM,@,PIT,W 27-24,,1,19,19.00,0,2,45,22.50,0,2,29,14.50,0
5,2014,2014-10-05,5,23.353,TAM,@,NOR,L 31-37,,0,0,,0,3,75,25.00,0,1,11,11.00,0
6,2014,2014-10-12,6,23.360,TAM,,BAL,L 17-48,,0,0,,0,3,72,24.00,0,1,7,7.00,0
7,2014,2014-12-07,13,24.051,TAM,@,DET,L 17-34,,0,0,,0,1,23,23.00,0,0,0,,0
