ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1988,1988-09-04,1,22.181,NWE,,NYJ,W 28-3,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,99,33.00,0
2,1988,1988-09-11,2,22.188,NWE,@,MIN,L 6-36,,1,0,0.00,0,0,0,,0,0,0,,,,,,0.0,,,4,154,38.50,0
3,1988,1988-09-18,3,22.195,NWE,,BUF,L 14-16,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,232,38.67,0
4,1988,1988-09-25,4,22.202,NWE,@,HOU,L 6-31,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,197,32.83,0
5,1988,1988-10-02,5,22.209,NWE,,IND,W 21-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,331,47.29,0
6,1988,1988-10-09,6,22.216,NWE,@,GNB,L 3-45,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,172,34.40,0
7,1988,1988-10-16,7,22.223,NWE,,CIN,W 27-21,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,207,41.40,0
8,1988,1988-10-23,8,22.230,NWE,@,BUF,L 20-23,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,191,38.20,0
9,1988,1988-10-30,9,22.237,NWE,,CHI,W 30-7,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,224,37.33,0
10,1988,1988-11-06,10,22.244,NWE,,MIA,W 21-10,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,279,46.50,0
11,1988,1988-11-13,11,22.251,NWE,@,NYJ,W 14-13,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,9,290,32.22,0
12,1988,1988-11-20,12,22.258,NWE,@,MIA,W 6-3,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,185,37.00,0
13,1988,1988-11-27,13,22.265,NWE,@,IND,L 21-24,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,123,41.00,0
14,1988,1988-12-04,14,22.272,NWE,,SEA,W 13-7,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,258,36.86,0
15,1988,1988-12-11,15,22.279,NWE,,TAM,W 10-7,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,8,290,36.25,0
16,1988,1988-12-17,16,22.285,NWE,@,DEN,L 10-21,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,250,41.67,0
17,1989,1989-09-10,1,23.187,NWE,@,NYJ,W 27-24,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,2,75,37.50,1
18,1989,1989-09-17,2,23.194,NWE,,MIA,L 10-24,,0,0,,0,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0.0,,,3,112,37.33,0
19,1989,1989-09-24,3,23.201,NWE,,SEA,L 3-24,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,4,164,41.00,0
20,1989,1989-10-01,4,23.208,NWE,@,BUF,L 10-31,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,6,247,41.17,0
21,1989,1989-10-08,5,23.215,NWE,,HOU,W 23-13,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,3,96,32.00,0
22,1989,1989-10-15,6,23.222,NWE,@,ATL,L 15-16,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,6,263,43.83,0
23,1989,1989-10-22,7,23.229,NWE,@,SFO,L 20-37,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,1,35,35.00,0
24,1989,1989-10-29,8,23.236,NWE,@,IND,W 23-20,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,5,229,45.80,0
25,1989,1989-11-05,9,23.243,NWE,,NYJ,L 26-27,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,3,117,39.00,0
26,1989,1989-11-12,10,23.250,NWE,,NOR,L 24-28,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,4,110,27.50,0
27,1989,1989-11-19,11,23.257,NWE,,BUF,W 33-24,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,4,133,33.25,0
28,1989,1989-11-26,12,23.264,NWE,@,RAI,L 21-24,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,6,229,38.17,0
29,1989,1989-12-03,13,23.271,NWE,,IND,W 22-16,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,2,40,20.00,0
30,1989,1989-12-10,14,23.278,NWE,@,MIA,L 10-31,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,5,186,37.20,0
31,1989,1989-12-17,15,23.285,NWE,@,PIT,L 10-28,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,5,209,41.80,0
32,1989,1989-12-24,16,23.292,NWE,,RAM,L 20-24,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,4,147,36.75,0
33,1990,1990-09-09,1,24.186,PHI,@,NYG,L 20-27,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,6,280,46.67,0
34,1990,1990-09-16,2,24.193,PHI,,PHO,L 21-23,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,4,174,43.50,0
35,1990,1990-09-23,3,24.200,PHI,@,RAM,W 27-21,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,1,10,10.00,0
36,1990,1990-09-30,4,24.207,PHI,,IND,L 23-24,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,3,114,38.00,0
37,1990,1990-10-15,5,24.222,PHI,,MIN,W 32-24,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,7,280,40.00,0
38,1990,1990-10-21,6,24.228,PHI,@,WAS,L 7-13,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,7,304,43.43,0
39,1990,1990-10-28,7,24.235,PHI,@,DAL,W 21-20,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,4,153,38.25,1
40,1990,1990-11-04,8,24.242,PHI,,NWE,W 48-20,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,2,94,47.00,0
41,1990,1990-11-12,9,24.250,PHI,,WAS,W 28-14,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0.0,,,6,238,39.67,0
42,1990,1990-11-18,10,24.256,PHI,@,ATL,W 24-23,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,6,267,44.50,0
43,1990,1990-11-25,11,24.263,PHI,,NYG,W 31-13,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,2,107,53.50,0
44,1990,1990-12-02,12,24.270,PHI,@,BUF,L 23-30,,1,3,3.00,0,0,0,,0,0,0,,0,,,,0.0,,,5,219,43.80,1
45,1990,1990-12-09,13,24.277,PHI,@,MIA,L 20-23,,1,0,0.00,0,0,0,,0,0,0,,0,,,,0.0,,,6,244,40.67,0
46,1990,1990-12-16,14,24.284,PHI,,GNB,W 31-0,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,5,179,35.80,0
47,1990,1990-12-23,15,24.291,PHI,,DAL,W 17-3,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,4,194,48.50,0
48,1990,1990-12-29,16,24.297,PHI,@,PHO,W 23-21,,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,4,169,42.25,0
49,1991,1991-09-01,1,25.178,PHI,@,GNB,W 20-3,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,308,44.00,0
50,1991,1991-09-08,2,25.185,PHI,,PHO,L 10-26,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,279,46.50,0
51,1991,1991-09-15,3,25.192,PHI,@,DAL,W 24-0,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,245,49.00,0
52,1991,1991-09-22,4,25.199,PHI,,PIT,W 23-14,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,117,39.00,0
53,1991,1991-09-30,5,25.207,PHI,@,WAS,L 0-23,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,9,359,39.89,0
54,1991,1991-10-06,6,25.213,PHI,@,TAM,L 13-14,,2,-1,-0.50,0,0,0,,0,0,0,,,,,,0.0,,,6,244,40.67,0
55,1991,1991-10-13,7,25.220,PHI,,NOR,L 6-13,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,92,30.67,0
56,1991,1991-10-27,8,25.234,PHI,,SFO,L 7-23,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,134,44.67,0
57,1991,1991-11-04,9,25.242,PHI,,NYG,W 30-7,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,144,36.00,0
58,1991,1991-11-10,10,25.248,PHI,@,CLE,W 32-30,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,187,46.75,0
59,1991,1991-11-17,11,25.255,PHI,,CIN,W 17-10,,1,0,0.00,0,0,0,,0,0,0,,,,,,0.0,,,4,181,45.25,0
60,1991,1991-11-24,12,25.262,PHI,@,PHO,W 34-14,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,296,42.29,0
61,1991,1991-12-02,13,25.270,PHI,@,HOU,W 13-6,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,9,366,40.67,0
62,1991,1991-12-08,14,25.276,PHI,@,NYG,W 19-14,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,110,36.67,1
63,1991,1991-12-15,15,25.283,PHI,,DAL,L 13-25,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,241,40.17,0
64,1991,1991-12-22,16,25.290,PHI,,WAS,W 24-22,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,8,337,42.13,0
65,1992,1992-09-06,1,26.183,PHI,,NOR,W 15-13,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,213,42.60,0
66,1992,1992-09-13,2,26.190,PHI,@,PHO,W 31-14,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,134,44.67,0
67,1992,1992-09-20,3,26.197,PHI,,DEN,W 30-0,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,157,39.25,0
68,1992,1992-10-05,4,26.212,PHI,,DAL,W 31-7,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,211,52.75,0
69,1992,1992-10-11,5,26.218,PHI,@,KAN,L 17-24,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,112,37.33,0
70,1992,1992-10-18,6,26.225,PHI,@,WAS,L 12-16,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,207,41.40,0
71,1992,1992-10-25,7,26.232,PHI,,PHO,W 7-3,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,201,40.20,0
72,1992,1992-11-01,8,26.239,PHI,@,DAL,L 10-20,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,8,365,45.63,0
73,1992,1992-11-08,9,26.246,PHI,,RAI,W 31-10,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,232,38.67,0
74,1992,1992-11-15,10,26.253,PHI,@,GNB,L 24-27,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,161,40.25,0
75,1992,1992-11-22,11,26.260,PHI,@,NYG,W 47-34,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,212,42.40,0
76,1992,1992-11-29,12,26.267,PHI,@,SFO,L 14-20,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,8,361,45.13,0
77,1992,1992-12-06,13,26.274,PHI,,MIN,W 28-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,2,85,42.50,0
78,1992,1992-12-13,14,26.281,PHI,@,SEA,W 20-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,10,425,42.50,0
79,1992,1992-12-20,15,26.288,PHI,,WAS,W 17-13,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,3,120,40.00,0
80,1992,1992-12-27,16,26.295,PHI,,NYG,W 20-10,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,263,37.57,0
81,1993,1993-09-05,1,27.182,PHI,,PHO,W 23-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,175,35.00,0
82,1993,1993-09-12,2,27.189,PHI,@,GNB,W 20-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,1,51,51.00,0
83,1993,1993-09-19,3,27.196,PHI,,WAS,W 34-31,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,212,42.40,0
84,1993,1993-10-03,4,27.210,PHI,@,NYJ,W 35-30,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,221,44.20,0
85,1993,1993-10-10,5,27.217,PHI,,CHI,L 6-17,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,276,46.00,0
86,1993,1993-10-17,6,27.224,PHI,@,NYG,L 10-21,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,168,33.60,0
87,1993,1993-10-31,7,27.238,PHI,,DAL,L 10-23,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,5,240,48.00,0
88,1993,1993-11-07,8,27.245,PHI,@,PHO,L 3-16,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,4,185,46.25,0
89,1993,1993-11-14,9,27.252,PHI,,MIA,L 14-19,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,7,302,43.14,0
90,1993,1993-11-21,10,27.259,PHI,,NYG,L 3-7,,1,6,6.00,0,0,0,,0,0,0,,,,,,0.0,,,8,308,38.50,0
91,1993,1993-11-28,11,27.266,PHI,@,WAS,W 17-14,,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,6,216,36.00,0
