ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2005,2005-09-11,1,24.248,TEN,@,PIT,L 7-34,*,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0
2,2005,2005-09-18,2,24.255,TEN,,BAL,W 25-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
3,2005,2005-09-25,3,24.262,TEN,@,STL,L 27-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
4,2005,2005-10-02,4,24.269,TEN,,IND,L 10-31,,7,7,39,5.57,1,100.0%,5.57,0,0,,0,0,0,,0,1,6
5,2005,2005-10-09,5,24.276,TEN,@,HOU,W 34-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
6,2005,2005-10-16,6,24.283,TEN,,CIN,L 23-31,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0
7,2005,2005-10-23,7,24.290,TEN,@,ARI,L 10-20,,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0
8,2005,2005-10-30,8,24.297,TEN,,OAK,L 25-34,*,6,5,19,3.80,0,83.3%,3.17,0,0,,0,0,0,,0,0,0
9,2005,2005-11-06,9,24.304,TEN,@,CLE,L 14-20,,8,5,59,11.80,0,62.5%,7.38,0,0,,0,0,0,,0,0,0
10,2005,2005-11-20,10,24.318,TEN,,JAX,L 28-31,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
11,2005,2005-11-27,11,24.325,TEN,,SFO,W 33-22,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
12,2005,2005-12-04,12,24.332,TEN,@,IND,L 3-35,,10,6,53,8.83,0,60.0%,5.30,0,0,,0,0,0,,0,0,0
13,2005,2005-12-11,13,24.339,TEN,,HOU,W 13-10,*,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0
14,2005,2005-12-18,14,24.346,TEN,,SEA,L 24-28,*,5,2,13,6.50,0,40.0%,2.60,0,0,,0,0,0,,0,0,0
15,2005,2005-12-24,15,24.352,TEN,@,MIA,L 10-24,,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,0,0,0
16,2005,2006-01-01,16,24.360,TEN,@,JAX,L 13-40,,6,2,15,7.50,1,33.3%,2.50,0,0,,0,0,0,,0,1,6
17,2006,2006-09-10,1,25.247,TEN,,NYJ,L 16-23,*,4,1,12,12.00,0,25.0%,3.00,0,0,,0,1,15,15.00,0,0,0
18,2006,2006-09-17,2,25.254,TEN,@,SDG,L 7-40,,4,3,53,17.67,0,75.0%,13.25,0,0,,0,0,0,,0,0,0
