ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1996,1996-09-01,1,23.062,WAS,,PHI,L 14-17,2,2,100.0,,1,0.0,0,2,0,0,,0
2,1996,1996-09-08,2,23.069,WAS,,CHI,W 10-3,1,1,100.0,1,2,50.0,0,4,0,0,,0
3,1996,1996-09-15,3,23.076,WAS,@,NYG,W 31-10,4,4,100.0,1,1,100.0,0,7,0,0,,0
4,1996,1996-09-22,4,23.083,WAS,@,STL,W 17-10,2,2,100.0,1,1,100.0,0,5,0,0,,0
5,1996,1996-09-29,5,23.090,WAS,,NYJ,W 31-16,4,4,100.0,1,1,100.0,0,7,0,0,,0
6,1996,1996-10-13,6,23.104,WAS,@,NWE,W 27-22,3,3,100.0,2,3,66.7,0,9,0,0,,0
7,1996,1996-10-20,7,23.111,WAS,,NYG,W 31-21,4,4,100.0,1,1,100.0,0,7,0,0,,0
8,1996,1996-10-27,8,23.118,WAS,,IND,W 31-16,4,4,100.0,1,1,100.0,0,7,0,0,,0
9,1996,1996-11-03,9,23.125,WAS,@,BUF,L 13-38,1,1,100.0,,,,0,1,,,,
10,1996,1996-11-10,10,23.132,WAS,,ARI,L 34-37,4,4,100.0,2,3,66.7,0,10,0,0,,0
11,1996,1996-11-17,11,23.139,WAS,@,PHI,W 26-21,2,2,100.0,4,4,100.0,0,14,0,0,,0
12,1996,1996-11-24,12,23.146,WAS,,SFO,L 16-19,1,1,100.0,3,3,100.0,0,10,2,84,42.00,0
13,1996,1996-11-28,13,23.150,WAS,@,DAL,L 10-21,1,1,100.0,1,2,50.0,0,4,0,0,,0
14,1996,1996-12-08,14,23.160,WAS,@,TAM,L 10-24,1,1,100.0,1,2,50.0,0,4,0,0,,0
15,1996,1996-12-15,15,23.167,WAS,@,ARI,L 26-27,2,2,100.0,4,4,100.0,0,14,0,0,,0
16,1996,1996-12-22,16,23.174,WAS,,DAL,W 37-10,4,4,100.0,3,3,100.0,0,13,0,0,,0
17,1997,1997-08-31,1,24.061,WAS,@,CAR,W 24-10,3,3,100.0,1,1,100.0,0,6,0,0,,0
18,1997,1997-09-07,2,24.068,WAS,@,PIT,L 13-14,1,1,100.0,2,2,100.0,0,7,0,0,,0
19,1997,1997-09-14,3,24.075,WAS,,ARI,W 19-13,1,1,100.0,2,4,50.0,0,7,0,0,,0
20,1997,1997-09-28,4,24.089,WAS,,JAX,W 24-12,3,3,100.0,1,2,50.0,0,6,0,0,,0
21,1997,1997-10-05,5,24.096,WAS,@,PHI,L 10-24,1,1,100.0,1,1,100.0,0,4,0,0,,0
22,1997,1997-10-13,6,24.104,WAS,,DAL,W 21-16,3,3,100.0,,,,0,3,,,,
23,1997,1997-10-19,7,24.110,WAS,@,TEN,L 14-28,2,2,100.0,,1,0.0,0,2,0,0,,0
24,1997,1997-10-26,8,24.117,WAS,,BAL,L 17-20,2,2,100.0,1,1,100.0,0,5,0,0,,0
25,1997,1997-10-26,8,24.117,SDG,,IND,W 35-19,,,,,,,,,,,,
26,1997,1997-11-02,9,24.124,WAS,@,CHI,W 31-8,4,4,100.0,1,1,100.0,0,7,0,0,,0
27,1997,1997-11-09,10,24.131,WAS,,DET,W 30-7,3,3,100.0,3,5,60.0,0,12,0,0,,0
28,1997,1997-11-16,11,24.138,WAS,@,DAL,L 14-17,2,2,100.0,,,,0,2,,,,
29,1997,1997-11-23,12,24.145,WAS,,NYG,T 7-7,1,1,100.0,,2,0.0,0,1,0,0,,0
30,1997,1997-11-30,13,24.152,WAS,,STL,L 20-23,2,2,100.0,2,2,100.0,0,8,0,0,,0
31,1997,1997-12-07,14,24.159,WAS,@,ARI,W 38-28,5,5,100.0,1,1,100.0,0,8,0,0,,0
32,1997,1997-12-13,15,24.165,WAS,@,NYG,L 10-30,1,1,100.0,1,1,100.0,0,4,0,0,,0
33,1998,1998-09-06,1,25.067,WAS,@,NYG,L 24-31,3,3,100.0,1,1,100.0,0,6,0,0,,0
34,1998,1998-09-14,2,25.075,WAS,,SFO,L 10-45,1,1,100.0,1,3,33.3,0,4,0,0,,0
