ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1955,1955-10-16,4,28.021,BAL,@,CHI,L 10-38,1,10,10.00,0,,,,,,,
2,1958,1958-11-09,7,31.045,BAL,@,NYG,L 21-24,1,-1,-1.00,0,,,,,,,
3,1960,1960-11-13,8,33.049,BAL,@,CHI,W 24-20,0,0,,0,0,0,,0,1,4,0
4,1960,1960-12-18,12,33.084,BAL,@,SFO,L 10-34,0,0,,0,2,11,5.50,0,0,0,0
5,1961,1961-10-29,7,34.034,BAL,,CHI,L 20-21,0,0,,0,0,0,,0,2,5,0
6,1961,1961-11-19,10,34.055,BAL,,STL,W 16-0,0,0,,0,0,0,,0,1,4,0
7,1962,1962-10-21,6,35.026,BAL,@,CHI,L 15-35,0,0,,0,0,0,,0,1,8,0
8,1962,1962-10-28,7,35.033,BAL,,GNB,L 6-17,0,0,,0,0,0,,0,1,21,0
9,1964,1964-10-25,7,37.030,BAL,@,DET,W 34-0,0,0,,0,0,0,,0,1,7,0
10,1964,1964-11-15,10,37.051,BAL,,MIN,W 17-14,0,0,,0,0,0,,0,1,13,0
