ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,def_int,def_int_yds,def_int_td
1,1998,1998-09-13,2,22.167,PIT,,CHI,W 17-12,,,,,,,,,
2,1998,1998-09-20,3,22.174,PIT,@,MIA,L 0-21,,,,,,,,,
3,1998,1998-09-27,4,22.181,PIT,,SEA,W 13-10,,,,,,,,,
4,1998,1998-10-11,5,22.195,PIT,@,CIN,L 20-25,,,,,,,,,
5,1998,1998-12-28,16,22.273,PIT,@,JAX,L 3-21,,,,,,,,,
6,1999,1999-09-12,1,23.166,PIT,@,CLE,W 43-0,,,,,,,,,
7,1999,1999-09-19,2,23.173,PIT,@,BAL,W 23-20,,,,,,,,,
8,1999,1999-09-26,3,23.180,PIT,,SEA,L 10-29,,,,,,,,,
9,1999,1999-10-03,4,23.187,PIT,,JAX,L 3-17,,,,,,,,,
10,1999,1999-10-10,5,23.194,PIT,@,BUF,L 21-24,,,,,,,,,
11,1999,1999-10-17,6,23.201,PIT,@,CIN,W 17-3,,,,,,,,,
12,1999,1999-10-25,7,23.209,PIT,,ATL,W 13-9,,,,,,,,,
13,1999,1999-11-07,8,23.222,PIT,@,SFO,W 27-6,,,,,,,,,
14,1999,1999-11-14,9,23.229,PIT,,CLE,L 15-16,,,,,,,,,
15,1999,1999-11-21,10,23.236,PIT,@,TEN,L 10-16,,,,,,,,,
16,1999,1999-11-28,11,23.243,PIT,,CIN,L 20-27,,,,,,,,,
17,1999,1999-12-02,12,23.247,PIT,@,JAX,L 6-20,,,,,,,,,
18,1999,1999-12-12,13,23.257,PIT,,BAL,L 24-31,,,,,,,,,
19,1999,1999-12-18,14,23.263,PIT,@,KAN,L 19-35,,,,,,,,,
20,1999,1999-12-26,15,23.271,PIT,,CAR,W 30-20,,,,,,,,,
21,1999,2000-01-02,16,23.278,PIT,,TEN,L 36-47,,,,,,,,,
22,2000,2000-09-03,1,24.157,PIT,,BAL,L 0-16,,,,,,,,,
23,2000,2000-09-17,2,24.171,PIT,@,CLE,L 20-23,,,,,,,,,
24,2000,2000-09-24,3,24.178,PIT,,TEN,L 20-23,,,,,,,,,
25,2000,2000-10-01,4,24.185,PIT,@,JAX,W 24-13,,,,,,,,,
26,2000,2000-10-08,5,24.192,PIT,@,NYJ,W 20-3,,,,,,,,,
27,2000,2000-10-15,6,24.199,PIT,,CIN,W 15-0,,,,,,,,,
28,2000,2000-10-22,7,24.206,PIT,,CLE,W 22-0,,,,,,,,,
29,2000,2000-10-29,8,24.213,PIT,@,BAL,W 9-6,,,,,,,,,
30,2000,2000-11-05,9,24.220,PIT,@,TEN,L 7-9,,,,,,,,,
31,2000,2000-11-12,10,24.227,PIT,,PHI,L 23-26,,,,,,,,,
32,2000,2000-11-19,11,24.234,PIT,,JAX,L 24-34,,,,,,,,,
33,2000,2000-12-03,13,24.248,PIT,,OAK,W 21-20,,,,,,,,,
34,2000,2000-12-10,14,24.255,PIT,@,NYG,L 10-30,,,,,,,,,
35,2000,2000-12-16,15,24.261,PIT,,WAS,W 24-3,,,,,,,,,
36,2000,2000-12-24,16,24.269,PIT,@,SDG,W 34-21,,,,,,,,,
37,2001,2001-09-09,1,25.163,PIT,@,JAX,L 3-21,,,,,,,,,
38,2001,2001-09-30,2,25.184,PIT,@,BUF,W 20-3,,,,,,,,,
39,2001,2001-10-07,3,25.191,PIT,,CIN,W 16-7,,,,,,,,,
40,2001,2001-10-14,4,25.198,PIT,@,KAN,W 20-17,,,,,,,,,
41,2001,2001-10-21,5,25.205,PIT,@,TAM,W 17-10,,,,,,,,,
42,2001,2001-10-29,6,25.213,PIT,,TEN,W 34-7,,,,,,,,,
43,2001,2001-11-04,7,25.219,PIT,,BAL,L 10-13,,,,,,,,,
44,2001,2001-11-18,9,25.233,PIT,,JAX,W 20-7,,,,,,,,,
45,2001,2001-12-09,12,25.254,PIT,,NYJ,W 18-7,,,,,,,,,
46,2001,2001-12-16,13,25.261,PIT,@,BAL,W 26-21,,,,,,,,,
47,2001,2001-12-23,14,25.268,PIT,,DET,W 47-14,,,,,,,,,
48,2001,2001-12-30,15,25.275,PIT,@,CIN,L 23-26,,,,,,,,,
49,2002,2002-09-08,1,26.162,HOU,,DAL,W 19-10,,,,,,,,,
50,2002,2002-09-15,2,26.169,HOU,@,SDG,L 3-24,,,,,,,,,
51,2002,2002-09-22,3,26.176,HOU,,IND,L 3-23,,,,,,,,,
52,2002,2002-09-29,4,26.183,HOU,@,PHI,L 17-35,,,,,,,,,
53,2002,2002-10-13,5,26.197,HOU,,BUF,L 24-31,,,,,,,,,
54,2002,2002-10-27,7,26.211,HOU,@,JAX,W 21-19,,0,0,,0,1.0,0,0,0
55,2002,2002-11-03,8,26.218,HOU,,CIN,L 3-38,,,,,,,,,
56,2002,2002-11-10,9,26.225,HOU,@,TEN,L 10-17,,,,,,,,,
57,2002,2002-11-17,10,26.232,HOU,,JAX,L 21-24,,,,,,,,,
58,2002,2002-11-24,11,26.239,HOU,,NYG,W 16-14,,,,,,,,,
59,2002,2002-12-01,12,26.246,HOU,@,IND,L 3-19,,,,,,,,,
60,2002,2002-12-08,13,26.253,HOU,@,PIT,W 24-6,,,,,,,,,
61,2002,2002-12-15,14,26.260,HOU,,BAL,L 19-23,,,,,,,,,
62,2002,2002-12-22,15,26.267,HOU,@,WAS,L 10-26,,,,,,,,,
63,2002,2002-12-29,16,26.274,HOU,,TEN,L 3-13,,,,,,,,,
64,2003,2003-09-07,1,27.161,HOU,@,MIA,W 21-20,,,,,,,,,
65,2003,2003-09-14,2,27.168,HOU,@,NOR,L 10-31,,1,7,7.00,0,0.0,0,0,0
66,2003,2003-09-21,3,27.175,HOU,,KAN,L 14-42,,,,,,,,,
67,2003,2003-09-28,4,27.182,HOU,,JAX,W 24-20,,,,,,,,,
68,2003,2003-10-12,5,27.196,HOU,@,TEN,L 17-38,*,,,,,,,,
69,2003,2003-10-19,6,27.203,HOU,,NYJ,L 14-19,,,,,,,,,
70,2003,2003-10-26,7,27.210,HOU,@,IND,L 21-30,,,,,,,,,
71,2003,2003-11-02,8,27.217,HOU,,CAR,W 14-10,,,,,,,,,
72,2003,2003-11-09,9,27.224,HOU,@,CIN,L 27-34,,,,,,,,,
73,2003,2003-11-16,10,27.231,HOU,@,BUF,W 12-10,,,,,,,,,
74,2003,2003-11-23,11,27.238,HOU,,NWE,L 20-23,,,,,,,,,
75,2003,2003-11-30,12,27.245,HOU,,ATL,W 17-13,,,,,,,,,
76,2003,2003-12-07,13,27.252,HOU,@,JAX,L 0-27,,,,,,,,,
77,2003,2003-12-14,14,27.259,HOU,@,TAM,L 3-16,,,,,,,,,
78,2003,2003-12-21,15,27.266,HOU,,TEN,L 24-27,,,,,,,,,
79,2003,2003-12-28,16,27.273,HOU,,IND,L 17-20,*,,,,,,,,
80,2004,2004-09-12,1,28.166,HOU,,SDG,L 20-27,,,,,,,,,
81,2004,2004-09-19,2,28.173,HOU,@,DET,L 16-28,,,,,,,,,
82,2004,2004-09-26,3,28.180,HOU,@,KAN,W 24-21,,1,1,1.00,0,0.0,0,0,0
83,2004,2004-10-03,4,28.187,HOU,,OAK,W 30-17,,,,,,,,,
84,2004,2004-10-10,5,28.194,HOU,,MIN,L 28-34,*,,,,,,,,
85,2004,2004-10-17,6,28.201,HOU,@,TEN,W 20-10,*,,,,,,,,
86,2004,2004-12-12,13,28.257,HOU,,IND,L 14-23,*,,,,,,,,
87,2004,2004-12-19,14,28.264,HOU,@,CHI,W 24-5,*,,,,,,,,
88,2004,2004-12-26,15,28.271,HOU,@,JAX,W 21-0,*,,,,,,,,
89,2004,2005-01-02,16,28.278,HOU,,CLE,L 14-22,*,0,0,,0,0.0,1,0,0
90,2005,2005-09-11,1,29.165,HOU,@,BUF,L 7-22,,0,0,,0,1.0,0,0,0
91,2005,2005-09-18,2,29.172,HOU,,PIT,L 7-27,,,,,,,,,
92,2005,2005-10-02,3,29.186,HOU,@,CIN,L 10-16,,,,,,,,,
93,2005,2005-10-09,4,29.193,HOU,,TEN,L 20-34,,,,,,,,,
94,2005,2005-10-16,5,29.200,HOU,@,SEA,L 10-42,,,,,,,,,
95,2005,2005-10-23,6,29.207,HOU,,IND,L 20-38,*,,,,,,,,
96,2005,2005-10-30,7,29.214,HOU,,CLE,W 19-16,,,,,,,,,
97,2005,2005-11-06,8,29.221,HOU,@,JAX,L 14-21,,,,,,,,,
98,2005,2005-11-13,9,29.228,HOU,@,IND,L 17-31,,,,,,,,,
99,2005,2005-12-04,12,29.249,HOU,@,BAL,L 15-16,,,,,,,,,
100,2005,2005-12-11,13,29.256,HOU,@,TEN,L 10-13,,,,,,,,,
101,2005,2005-12-18,14,29.263,HOU,,ARI,W 30-19,,,,,,,,,
102,2005,2005-12-24,15,29.269,HOU,,JAX,L 20-38,,,,,,,,,
103,2005,2006-01-01,16,29.277,HOU,@,SFO,L 17-20,,,,,,,,,
104,2006,2006-09-10,1,30.164,HOU,,PHI,L 10-24,,0,0,,0,0.0,1,11,0
105,2006,2006-09-17,2,30.171,HOU,@,IND,L 24-43,,,,,,,,,
106,2006,2006-09-24,3,30.178,HOU,,WAS,L 15-31,,,,,,,,,
107,2006,2006-10-01,4,30.185,HOU,,MIA,W 17-15,,,,,,,,,
108,2006,2006-10-15,5,30.199,HOU,@,DAL,L 6-34,,,,,,,,,
109,2006,2006-10-22,6,30.206,HOU,,JAX,W 27-7,*,,,,,,,,
110,2006,2006-10-29,7,30.213,HOU,@,TEN,L 22-28,,,,,,,,,
111,2006,2006-11-05,8,30.220,HOU,@,NYG,L 10-14,,,,,,,,,
112,2006,2006-11-12,9,30.227,HOU,@,JAX,W 13-10,,,,,,,,,
113,2006,2006-11-19,10,30.234,HOU,,BUF,L 21-24,,,,,,,,,
114,2006,2006-11-26,11,30.241,HOU,@,NYJ,L 11-26,,,,,,,,,
115,2006,2006-12-03,12,30.248,HOU,@,OAK,W 23-14,,,,,,,,,
116,2006,2006-12-10,13,30.255,HOU,,TEN,L 20-26,,,,,,,,,
117,2006,2006-12-17,14,30.262,HOU,@,NWE,L 7-40,*,1,0,0.00,0,0.0,0,0,0
118,2006,2006-12-24,15,30.269,HOU,,IND,W 27-24,,,,,,,,,
119,2006,2006-12-31,16,30.276,HOU,,CLE,W 14-6,,,,,,,,,
120,2007,2007-09-09,1,31.163,HOU,,KAN,W 20-3,*,,,,,,,,
