ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1987,1987-10-25,6,24.230,IND,,NWE,W 30-16,,0,0,,0,0,0,,0,,,,,,,
2,1987,1987-12-13,13,24.279,IND,,BUF,L 3-27,,8,12,66.67,68,0,2,41.7,2,18,5.67,-1.83,0,0,,0
3,1992,1992-09-20,3,29.195,MIN,,TAM,W 26-20,,12,22,54.55,162,1,0,93.4,5,29,7.36,8.27,1,0,0.00,0
4,1992,1992-09-27,4,29.202,MIN,@,CIN,W 42-7,,3,6,50.00,32,0,0,66.0,0,0,5.33,5.33,0,0,,0
5,1992,1992-10-15,6,29.220,MIN,,DET,W 31-14,,13,24,54.17,149,1,0,87.0,0,0,6.21,7.04,1,3,3.00,0
6,1992,1992-11-02,8,29.238,MIN,@,CHI,W 38-10,,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,0,0,,0
7,1992,1992-11-08,9,29.244,MIN,@,TAM,W 35-7,,2,3,66.67,39,0,0,109.7,2,22,13.00,13.00,0,0,,0
8,1992,1992-11-22,11,29.258,MIN,,CLE,W 17-13,,4,12,33.33,30,1,0,70.1,1,4,2.50,4.17,4,-4,-1.00,0
9,1992,1992-11-29,12,29.265,MIN,@,RAM,W 31-17,*,23,34,67.65,238,0,1,75.4,0,0,7.00,5.68,1,-2,-2.00,0
10,1992,1992-12-06,13,29.272,MIN,@,PHI,L 17-28,*,12,23,52.17,122,0,1,49.5,5,41,5.30,3.35,1,-1,-1.00,0
11,1992,1992-12-20,15,29.286,MIN,@,PIT,W 6-3,*,7,17,41.18,131,0,0,68.5,1,10,7.71,7.71,3,4,1.33,0
