ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2015,2015-11-15,9,24.207,BAL,,JAX,L 20-22,,1,1,21,21.00,0,100.0%,21.00
2,2015,2015-11-22,10,24.214,BAL,,STL,W 16-13,,5,4,45,11.25,0,80.0%,9.00
3,2015,2015-11-30,11,24.222,BAL,@,CLE,W 33-27,,4,3,27,9.00,0,75.0%,6.75
4,2015,2015-12-06,12,24.228,BAL,@,MIA,L 13-15,,5,4,43,10.75,0,80.0%,8.60
5,2015,2015-12-13,13,24.235,BAL,,SEA,L 6-35,,10,7,72,10.29,0,70.0%,7.20
6,2015,2015-12-20,14,24.242,BAL,,KAN,L 14-34,,5,3,60,20.00,0,60.0%,12.00
7,2015,2015-12-27,15,24.249,BAL,,PIT,W 20-17,,6,3,38,12.67,0,50.0%,6.33
8,2015,2016-01-03,16,24.256,BAL,@,CIN,L 16-24,,8,6,57,9.50,0,75.0%,7.13
9,2016,2016-11-06,9,25.198,SDG,,TEN,W 43-35,,1,1,5,5.00,0,100.0%,5.00
10,2016,2016-11-27,11,25.219,SDG,@,HOU,W 21-13,,1,1,6,6.00,0,100.0%,6.00
11,2016,2016-12-04,12,25.226,SDG,,TAM,L 21-28,,0,0,0,,0,0.0%,
12,2016,2016-12-11,13,25.233,SDG,@,CAR,L 16-28,,0,0,0,,0,0.0%,
